handle,current_title,draft_title,title_chars,preserved_codes,notes
u-shape-height-adjustable-desk-suite-zira,U-Shape Height Adjustable Desk Suite Zira,Global Zira U-shape height-adjustable desk suite,48,,no model code in source
l-shape-desk-hutch,L-Shape Desk & Hutch,L-shape desk with hutch,23,,no brand or model code in source
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,Electric height-adjustable sit-to-stand desk,44,,no model code in source; no brand surfaced
obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort High back Chair 1240-3,ObusForme 1240-3 Comfort high-back chair,40,1240-3,
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,Medicine Wheel Indigenous round table,37,,no model code in source; no brand surfaced
u-shape-height-adjust-desk,U-Shape Height Adjust Desk,U-shape height-adjustable desk,30,,no brand or model code in source
training-flip-top-tables-1,Training Flip Top Tables,Training flip-top tables,24,,no brand or model code in source
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)","Premium Series lateral file cabinet — 2, 3, 4 & 5 drawer",56,,no brand or model code in source
l-shape-desk-8-sizes-9-colour-options,L-Shape Desk (8 Sizes & 9 Colour options),"L-shape desk — 8 sizes, 9 colours",33,,no brand or model code in source
premium-height-adjustable-table-1,Premium Height Adjustable Table,Premium height-adjustable table,31,,no brand or model code in source
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),"L-shape desk — 8 sizes, 9 colours",33,,no brand or model code in source
roma-1900-nesting-chair,Roma 1900 Nesting Chair,Roma 1900 Nesting chair,23,,no brand surfaced
overtime-high-back-multi-tilter-chair-mvl2756,Overtime | High Back Multi-Tilter Chair MVL2756,Global Overtime MVL2756 High-back multi-tilter chair,52,MVL2756,
l-shape-height-adjustable-desk-set,L-Shape Height Adjustable Desk Set,L-shape height-adjustable desk set,34,,no brand or model code in source
loop-leg-table,LOOP Leg Table,Loop leg table,14,,no model code in source; brand unclear — skipped
ibex-upholstered-seat-mesh-back-multi-tilter-1,Ibex | Upholstered Seat & Mesh Back Multi-Tilter MVL2803,Ibex MVL2803 Upholstered seat & mesh back multi-tilter,54,MVL2803,code preserved
table-desk-1,Table Desk,Table desk,10,,No brand or model code in source.
format-high-mesh-back-synchro-tilter,Format | High Mesh Back Synchro-Tilter,Format High mesh back synchro-tilter chair,42,,no model code in source
mvl11886-caman-high-back-tilter-bonded-leather,MVL11886 Caman | High Back Tilter Bonded Leather,Global MVL11886 Caman high-back tilter — bonded leather,55,MVL11886,code preserved
ashmont-medium-back-guest-chair-mvl2782,Ashmont | Medium Back Guest Chair MVL2782,Global Ashmont MVL2782 Medium-back guest chair,46,MVL2782,
executive-u-shape-desk-set,Executive U-Shape Desk Set,Executive U-shape desk set,26,,no brand or model code in source
sidero-guest-chair-28-colour-options,Sidero Guest Chair 28 Colour Options,Sidero Guest chair — 28 colour options,38,,No brand surfaced; colour count retained as key spec
square-table-x-base-3-sizes,Square Table - X-Base 3 Sizes,"Square table, X-base — 3 sizes",30,,no brand or model code in source
ergo-boss-high-back-multi-tilter-chair-1,Ergo Boss™ High Back Multi-Tilter Chair,Ergo Boss High-back multi-tilter chair,38,,no model code in source; trademark symbol dropped
height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,Height-adjustable L-shape table,31,,no brand or model code in source
robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475,Robust High Back Multi-Tilter Chair 500lb Weight Capacity GLB74475,Global GLB74475 High-back multi-tilter chair — 500 lb capacity,62,GLB74475,code preserved
ibex-mesh-seat-back-multi-tilter-1,Ibex | Mesh Seat & Back Multi-Tilter,Ibex mesh seat & back multi-tilter chair,40,,no model code in source
pneumatic-height-adjustable-table,Pneumatic Height Adjustable Table,Pneumatic height-adjustable table,33,,no brand or model code in source
chevron-ultra-high-back-multi-tilter-chair-high-back-bao11203-1,Chevron Ultra High Back Multi-Tilter Chair - High Back BAO11203,BAO11203 Chevron ultra high-back multi-tilter chair,51,BAO11203,code preserved
outdoor-steel-bench,Outdoor Steel Bench,Outdoor steel bench,19,,no brand or model code in source
l-shape-desk-8-sizes-9-colour-options-2,L-Shape Desk (8 Sizes & 9 Colour options),"L-shape desk — 8 sizes, 9 colours",33,,No brand or model code in source.
vion-mesh-high-back-chair-1,VION Mesh High Back Chair,VION Mesh high-back chair,25,,No model code in source; brand VION retained as-is.
ultra-high-back-tilter-with-arms-mvl11730,Ultra | High Back Tilter with Arms MVL11730,Global Ultra MVL11730 High-back tilter with arms,48,MVL11730,
raven-high-back-heavy-duty-synchro-tilter-chair-otg10703b,Raven High Back Heavy Duty Synchro-Tilter Chair OTG10703B,OTG OTG10703B Raven high-back heavy-duty synchro-tilter chair,61,OTG10703B,code preserved
innovation-l-shape-curved-corner,Innovation L-Shape Curved Corner,Innovation L-shape curved corner desk,37,,no model code in source
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,Wood laminate storage cabinets,30,,no brand or model code in source
credenza-scmsu,Credenza SCMSU,SCMSU Credenza,14,,no brand surfaced; model code preserved
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,Bar leaner 1-span collaborative table,37,,no brand surfaced; no model code in source
otg13026-safari-medium-mesh-back-tilter-chair,OTG13026 Safari | Medium Mesh Back Tilter Chair,OTG OTG13026 Safari medium mesh-back tilter chair,49,OTG13026,
desk-single-pedestal-bbf,Desk Single Pedestal BBF,Single-pedestal desk with BBF,29,,no model code in source; 'BBF' preserved as spec
ashton-high-back-tilter,Ashton | High Back Tilter,Ashton High-back tilter chair,29,,no model code in source
willow-bariatric-chair,Willow Bariatric Chair,Willow Bariatric chair,22,,no model code in source
u-shape-desk-nlp205,U-Shape Desk NLP205,NLP205 U-shape desk,19,NLP205,no brand surfaced
overtime-350-high-back-heavy-duty-multi-tilter-mvl13040,Overtime 350 | High Back Heavy Duty Multi-Tilter MVL13040,Global Overtime 350 MVL13040 High-back heavy-duty multi-tilter,62,MVL13040,code preserved
pedestal-box-box-file-with-or-without-wheels,Pedestal - Box/Box/File (With or without wheels),Box/box/file pedestal — with or without wheels,46,,no brand or model code in source
d-top-table,D-Top Table With or Without Modesty,D-top table with optional modesty panel,39,,no brand or model code in source
basics-comfort-time-ultra-multi-tilter-chairs-mvl1873-1,Basics® Comfort-Time™ Ultra Multi-Tilter Chairs MVL1873 MVL1875 (Available with a headrest),Basics MVL1873 MVL1875 Comfort-Time Ultra multi-tilter chair,60,"MVL1873,MVL1875",two codes preserved; headrest note dropped — over cap
lounge-seating-3-sizes-suburb,Lounge Seating 3 sizes Suburb,Suburb lounge seating — 3 sizes,31,,no brand surfaced; no model code in source
offices-to-go-newland-l-shaped-suite-nlp420,Offices to Go® Newland™ L-Shaped Suite NLP420,Newland NLP420 L-shaped desk suite,34,NLP420,
brighton-high-back-tilter-mvl2787,Brighton | High Back Tilter MVL2787,Global Brighton MVL2787 High-back tilter chair,46,MVL2787,
overtime-350-high-back-heavy-duty-multi-tilter,Overtime 350 | High Back Heavy Duty Multi-Tilter,Overtime 350 High-back heavy duty multi-tilter,46,,no model code in source
innovations-double-pedestal-desk-bf-bf-5-sizes-8-colours,"INNOVATIONS Double Pedestal Desk bf/bf 5 Sizes, 8 Colours","Innovations double pedestal desk BF/BF — 5 sizes, 8 colours",59,,No model code in source; BF/BF preserved as spec notation
sirena-lounge-chair-3371,Sirena Lounge Chair,Sirena lounge chair,19,,no brand or model code in source
six-31-medium-back-multi-tilter-glbotg11631b,Global GLBOTG11631B Six 31 medium-back multi-tilter chair,Global GLBOTG11631B Six 31 medium-back multi-tilter chair,64,,code preserved (manual fix 2026-05-01)
chair-black-steel-frame-2,Chair Black Steel Frame,Black steel frame chair,23,,no brand or model code in source
l-shape-reception-72-x-72-x-41-1,"L-Shape Reception - 72"" x 72"" x 41""","L-shape reception desk — 72"" x 72"" x 41""",40,,no brand or model code in source
citi-lounge-seating-3-sizes-available,Lounge Seating (3 sizes available),Lounge seating — 3 sizes,24,,no brand or model code in source
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",26-451 4-drawer vertical file — legal,37,26-451,no brand surfaced; code preserved
folding-chair-plastic-4-pack,Folding Chair-Plastic 4/Pack,"Folding chair — plastic, 4-pack",31,,no brand surfaced; no model code in source
napa-boardroom-conference-table,Napa Boardroom Conference Table,Napa boardroom conference table,31,,no brand or model code in source
newland-box-file-mobile-pedestal,Newland Box/File Mobile Pedestal NLMP23BF,Newland NLMP23BF Box/file mobile pedestal,41,NLMP23BF,
multi-storage-cabinet-93365msl,Multi-Storage Cabinet 93365MSL,Multi-storage cabinet 93365MSL,30,,no brand surfaced
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours","L-shape desk — 6 sizes, 13 colours",34,,no brand or model code in source
l-shape-loop-leg-desk,L-Shape Loop Leg Desk,L-shape loop-leg desk,21,,no brand or model code in source
vertical-file-2-drawer-letter,Vertical File 2 Drawer Letter,Vertical file cabinet — 2-drawer letter,39,,no model code in source
innovation-l-shape-set,Innovation L-Shape Set,Innovation L-shape set,22,,no brand surfaced; no model code in source
mobile-pedestal-drawer-box-file,Mobile Pedestal Drawer Box/File,Mobile pedestal drawer box/file,31,,No brand or model code in source.
storage-cabinet-medium-duty-72x18x36w,"Storage Cabinet Medium Duty 72""x18""x36""W","Storage cabinet, medium duty — 72""×18""×36""W",43,,no brand or model code in source
kaysee-high-back-tilter-otg12112b,Kaysee | High Back Tilter OTG12112B,OTG Kaysee OTG12112B High-back tilter chair,43,OTG12112B,
round-table-42-high-bar-height,"Round Table 42"" High Bar Height","Round bar-height table — 42"" dia.",33,,No brand or model code in source; size retained as key spec
4-drawer-letter-width-vertical-file,4 Drawer Letter Width Vertical File,4-drawer letter-width vertical file,35,,no brand or model code in source
bookcase-15-sizes-available,Bookcase (15 Sizes Available),Bookcase — 15 sizes,19,,no brand or model code in source
boat-shaped-conference-table,Boat Shaped Conference Table,Boat-shaped conference table,28,,No brand or model code in source.
format-high-back-synchro-tilter-with-adjustable-headrest-chair-mvl3192,Format | High Back Synchro-Tilter with Adjustable Headrest Chair MVL3192,Global MVL3192 Format high-back synchro-tilter with headrest,60,MVL3192,code preserved
upscale-table-1,UPSCALE Table,Upscale table,13,,no brand surfaced; no model code in source
