hero_rank,handle,title,type_tag,room_tag,industry_tag,sold_revenue,sold_orders,selection_reason,admin_url
1,u-shape-height-adjustable-desk-suite-zira,U-Shape Height Adjustable Desk Suite Zira,type:desks,room:private-office,industry:business,14762.0,2,type-quota:desks,https://admin.shopify.com/store/office-central/products/9688255365433
2,l-shape-desk-hutch,L-Shape Desk & Hutch,type:desks,room:private-office,industry:business,12879.92,5,type-quota:desks,https://admin.shopify.com/store/office-central/products/9666764865849
3,height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,type:desks,room:private-office,industry:business,11199.86,10,type-quota:desks,https://admin.shopify.com/store/office-central/products/9687458873657
4,obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort High back Chair 1240-3,type:chairs,,industry:business,10495.84,9,type-quota:chairs,https://admin.shopify.com/store/office-central/products/9039326609721
5,medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,type:tables,room:boardroom,industry:business,9795.95,3,type-quota:tables,https://admin.shopify.com/store/office-central/products/9683112067385
6,u-shape-height-adjust-desk,U-Shape Height Adjust Desk,type:desks,room:private-office,industry:business,9599.96,3,type-quota:desks,https://admin.shopify.com/store/office-central/products/9499674050873
7,training-flip-top-tables-1,Training Flip Top Tables,type:tables,room:training-room,industry:business,9289.79,4,type-quota:tables,https://admin.shopify.com/store/office-central/products/9686674637113
8,premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",type:storage,room:private-office,industry:business,8879.93,2,type-quota:storage,https://admin.shopify.com/store/office-central/products/9114485391673
9,l-shape-desk-8-sizes-9-colour-options,L-Shape Desk (8 Sizes & 9 Colour options),type:desks,room:private-office,industry:business,7529.92,4,type-quota:desks,https://admin.shopify.com/store/office-central/products/9746797494585
10,premium-height-adjustable-table-1,Premium Height Adjustable Table,type:tables,room:boardroom,industry:business,6898.95,5,type-quota:tables,https://admin.shopify.com/store/office-central/products/9665360331065
11,l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),type:desks,room:private-office,industry:business,6518.95,3,type-quota:desks,https://admin.shopify.com/store/office-central/products/9746754732345
12,roma-1900-nesting-chair,Roma 1900 Nesting Chair,type:chairs,,industry:business,5399.88,1,type-quota:chairs,https://admin.shopify.com/store/office-central/products/9719788732729
13,overtime-high-back-multi-tilter-chair-mvl2756,Overtime | High Back Multi-Tilter Chair MVL2756,type:chairs,,industry:business,5299.87,7,type-quota:chairs,https://admin.shopify.com/store/office-central/products/9666757919033
14,l-shape-height-adjustable-desk-set,L-Shape Height Adjustable Desk Set,type:desks,room:private-office,industry:business,5198.0,1,type-quota:desks,https://admin.shopify.com/store/office-central/products/9665339851065
15,loop-leg-table,LOOP Leg Table,type:tables,room:boardroom,industry:business,5099.87,2,type-quota:tables,https://admin.shopify.com/store/office-central/products/9724647440697
16,ibex-upholstered-seat-mesh-back-multi-tilter-1,Ibex | Upholstered Seat & Mesh Back Multi-Tilter MVL2803,type:chairs,,industry:business,4869.89,3,type-quota:chairs,https://admin.shopify.com/store/office-central/products/9664289014073
17,table-desk-1,Table Desk,type:desks,room:private-office,industry:business,4349.9,3,type-quota:desks,https://admin.shopify.com/store/office-central/products/9782640640313
18,format-high-mesh-back-synchro-tilter,Format | High Mesh Back Synchro-Tilter,type:chairs,,industry:business,3999.9,6,type-quota:chairs,https://admin.shopify.com/store/office-central/products/9666761457977
19,mvl11886-caman-high-back-tilter-bonded-leather,MVL11886 Caman | High Back Tilter Bonded Leather,type:chairs,,industry:business,3899.87,2,type-quota:chairs,https://admin.shopify.com/store/office-central/products/9816456495417
