Handle,Title,Tier,VariantSKU,Option1,Option2,Option3,Price
ashmont-medium-back-guest-chair-mvl2782,Ashmont | Medium Back Guest Chair MVL2782,A,GLB MVL2782,Default Title,,,319.99
ergo-boss-high-back-multi-tilter-chair-1,Ergo Boss™ High Back Multi-Tilter Chair,A,GLB=BAO2872-3,Default Title,,,869.99
executive-u-shape-desk-set,Executive U-Shape Desk Set,A,INNOVATIONS PKG,Default Title,,,1899.99
height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,A,HDL-CAL-E1-3LEG-3060+2448 Top,"60""x66"" (30""x60""+24""x36"")",,,1499.99
height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,A,HDL-CAL-E1-3LEG-3066+2436 Top,"66""x66"" (30""x66""+24""x36"")",,,1549.99
height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,A,HDL-CAL-E1-3LEG-3066+2442 Top,"66""x72"" (30""x66""+24""x42"")",,,1600.00
height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,A,HDL-CAL-E1-3LEG-3072+2442 Top,"72""x72"" (30""x72""+24""x42"")",,,1699.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,CLIE1-INV2442TOP,"24""x42""",Black,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x42""",Silver,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x42""",White,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,CLIE12LEG- INV2448TOP (Reduced),"24""x48""",Black,,789.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x48""",Silver,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x48""",White,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x60""",Black,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x60""",Silver,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x60""",White,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x72""",Black,,789.00
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x72""",Silver,,789.00
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"24""x72""",White,,789.00
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,CLIE12LEG-INV3060TOP (Reduced),"30""x60""",Black,,799.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"30""x60""",Silver,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"30""x60""",White,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,CLIE12LEG-INV3072TOP,"30""x72""",Black,,839.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"30""x72""",Silver,,769.99
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,A,,"30""x72""",White,,769.99
ibex-mesh-seat-back-multi-tilter-1,Ibex | Mesh Seat & Back Multi-Tilter,A,MVL2823,Default Title,,,519.99
ibex-upholstered-seat-mesh-back-multi-tilter-1,Ibex | Upholstered Seat & Mesh Back Multi-Tilter MVL2803,A,MVL2803,Default Title,,,439.99
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),A,HDLINV3060DS-INV2430RS-INVFPUF,"60""x60""",,,999.99
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),A,HDLINV3060DS-INV2436RS-INVFPUF,"60""x66""",,,1019.00
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),A,HDLINV3060DS-INV2442RS-INVFPUF,"60""x72""",,,1029.99
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),A,HDLINV3066DS-INV2436RS-INVFPUF,"66""x66""",,,999.99
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),A,HDLINV3066DS-INV2442RS-INVFPUF,"66""x72""",,,1029.99
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),A,HDLINV3066DS-INV2448RS-INVFPUF,"66""x78""",,,1099.99
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),A,HDLINV3072DS-INV2442RS-INVFPUF,"72""x 72""",,,1099.99
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),A,HDLINV3072DS-INV2448RS-INVFPUF,"72""x78""",,,1199.99
l-shape-desk-hutch,L-Shape Desk & Hutch,A,HDL-INV-LAYOUT 10A,"60""x60""",,,1449.99
l-shape-desk-hutch,L-Shape Desk & Hutch,A,HDL-INV-LAYOUT 5A & INV-66HDRS,"66""x66""",,,1599.99
l-shape-desk-hutch,L-Shape Desk & Hutch,A,HDL-INV-LAYOUT 6A,"71""x71""",,,1769.99
l-shape-height-adjustable-desk-set,L-Shape Height Adjustable Desk Set,A,HT-ADJ-Layout 5,Default Title,,,2599.00
loop-leg-table,LOOP Leg Table,A,HDL-INV-2436TBL-LOOP,"24""x36""",,,299.99
loop-leg-table,LOOP Leg Table,A,HDL-INV-2442TBL-LOOP,"24""x42""",,,369.99
loop-leg-table,LOOP Leg Table,A,HDL-INV-2448TBL-LOOP,"24""x48""",,,399.99
loop-leg-table,LOOP Leg Table,A,HDL-INV-3060TBL-LOOP,"30""x60""",,,499.99
loop-leg-table,LOOP Leg Table,A,HDL-INV-3066TBL-LOOP,"30""x66""",,,549.99
loop-leg-table,LOOP Leg Table,A,HDL-INV-3072TBL-LOOP,"30""x72""",,,569.99
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,A,MTY- E120CRESMED#,"120""",,,3999.99
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,A,MTY- E48RSLDMW,48,,,1448.99
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,A,MTY- E72MED#,"72""",,,1749.00
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,A,MTY- E96MED#,"96""",,,2499.00
mvl11886-caman-high-back-tilter-bonded-leather,MVL11886 Caman | High Back Tilter Bonded Leather,A,GLOMVL11886,Default Title,,,299.99
obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort High back Chair 1240-3,A,GLB-1240-3,Default Title,,,655.99
overtime-high-back-multi-tilter-chair-mvl2756,Overtime | High Back Multi-Tilter Chair MVL2756,A,GLB-MVL2756,Default Title,,,419.99
premium-height-adjustable-table-1,Premium Height Adjustable Table,A,HDL-CALE1-INV-2442TOP,"24""x42""",,,999.99
premium-height-adjustable-table-1,Premium Height Adjustable Table,A,HTWCAL2448TBL2L (Reduced),"24""x48""",,,1049.00
premium-height-adjustable-table-1,Premium Height Adjustable Table,A,HTWCAL3060TBL2L (Reduced),"30""x60""",,,1199.99
premium-height-adjustable-table-1,Premium Height Adjustable Table,A,HTWCAL3072TBL2L (Reduced),"30""x72""",,,1299.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9330-2F1H,2 Drawer,"30"" Wide",Fixed Front,599.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9330-2R1H,2 Drawer,"30"" Wide",Recessed Front,659.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9336-2F1H,2 Drawer,"36"" Wide",Fixed Front,649.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9336-2R1H,2 Drawer,"36"" Wide",Recessed Front,689.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9342-2F1H,2 Drawer,"42"" Wide",Fixed Front,679.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9342-2R1H,2 Drawer,"42"" Wide",Recessed Front,749.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9330-3F1H,3 Drawer,"30"" Wide",Fixed Front,759.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9330-3R1H,3 Drawer,"30"" Wide",Recessed Front,849.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9336-3F1H,3 Drawer,"36"" Wide",Fixed Front,799.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9336-3R1H,3 Drawer,"36"" Wide",Recessed Front,889.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9342-3F1H,3 Drawer,"42"" Wide",Fixed Front,849.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9342-3R1H,3 Drawer,"42"" Wide",Recessed Front,939.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9330-4F1H,4 Drawer,"30"" Wide",Fixed Front,1029.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9330-4R1H,4 Drawer,"30"" Wide",Recessed Front,1159.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9336-4F1H,4 Drawer,"36"" Wide",Fixed Front,1069.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9336-4R1H,4 Drawer,"36"" Wide",Recessed Front,1199.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9342-4F1H,4 Drawer,"42"" Wide",Fixed Front,1129.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9342-4R1H,4 Drawer,"42"" Wide",Recessed Front,1259.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9330-5F1H,5 Drawer,"30"" Wide",Fixed Front,1269.90
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9330-5R1H,5 Drawer,"30"" Wide",Recessed Front,1399.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9336-5F1H,5 Drawer,"36"" Wide",Fixed Front,1329.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9336-5R1H,5 Drawer,"36"" Wide",Recessed Front,1459.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9342-5F1H,5 Drawer,"42"" Wide",Fixed Front,1379.99
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",A,GLB9342-5R1H,5 Drawer,"42"" Wide",Recessed Front,1549.99
roma-1900-nesting-chair,Roma 1900 Nesting Chair,A,GLO-1900,Default Title,,,449.99
sidero-guest-chair-28-colour-options,Sidero Guest Chair 28 Colour Options,A,GLO-6900,Default Title,,,269.99
square-table-x-base-3-sizes,Square Table - X-Base 3 Sizes,A,GLBNL36SX22,"22"" High",,,329.99
square-table-x-base-3-sizes,Square Table - X-Base 3 Sizes,A,GLBNL36SX,"29"" High",,,349.99
square-table-x-base-3-sizes,Square Table - X-Base 3 Sizes,A,GLBNL36SX42,"42"" Bar Height",,,369.99
training-flip-top-tables-1,Training Flip Top Tables,A,GLB-NL4824FT,"24""x48""",,,399.99
training-flip-top-tables-1,Training Flip Top Tables,A,GLB-NL6024FT,"24""x60""",,,429.99
training-flip-top-tables-1,Training Flip Top Tables,A,GLBNL7224FT,"24""x72""",,,449.99
u-shape-height-adjust-desk,U-Shape Height Adjust Desk,A,INNO-LAYOUT 67,Default Title,,,2399.99
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",B,,Black,,,494.99
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",B,,Grey,,,494.99
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",B,,White,,,494.99
ashton-high-back-tilter,Ashton | High Back Tilter,B,OTG11858B,Default Title,,,399.99
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL1260BLKWHI,"48""x24""",,,699.99
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL1275BLKWHI,"48""x30""",,,799.99
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL1560BLKWHI,"60""x24""",,,749.99
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL1575BLKWHI,"60""x30""",,,799.99
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL1860BLKWHI,"72""x24""",,,736.00
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL1875BLKWHI,"72""x30""",,,849.99
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL1890BLKWHI,"72""x36""",,,849.99
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL1812BLKWHI,"72""x48""",,,999.99
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,B,WS48-AXBL2412BLKWHI,"96""x48""",,,1199.99
brighton-high-back-tilter-mvl2787,Brighton | High Back Tilter MVL2787,B,GLBMVL2787,Default Title,,,449.67
chair-black-steel-frame-2,Chair Black Steel Frame,B,GLBMVL2748JN02,Default Title,,,134.00
