code,name,strategy,url,performance,accessibility,best_practices,seo,lcp_ms,fcp_ms,tbt_ms,cls,si_ms,tti_ms,top_opportunity_1,top_opportunity_2,top_opportunity_3,a11y_failed_count,a11y_failed_audits
01,Homepage,desktop,https://www.brantbusinessinteriors.com/,80,95,96,100,2042,443,251,0.001,1167,2960,lcp-discovery-insight (impact 100),network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),2,heading-order|target-size
01,Homepage,mobile,https://www.brantbusinessinteriors.com/,58,98,96,100,9976,2326,430,0.0,4925,14766,lcp-discovery-insight (impact 100),network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),1,heading-order
02,OECM,desktop,https://www.brantbusinessinteriors.com/pages/oecm,89,95,96,92,1158,454,231,0.0,1293,2959,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,heading-order|target-size
02,OECM,mobile,https://www.brantbusinessinteriors.com/pages/oecm,63,98,92,92,4801,1884,575,0,4715,13867,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),cache-insight (impact 50),1,heading-order
03,Industries-Hub,desktop,https://www.brantbusinessinteriors.com/pages/industries,60,95,96,100,1467,468,970,0.0,2757,3340,lcp-breakdown-insight (impact 100),network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),2,heading-order|target-size
03,Industries-Hub,mobile,https://www.brantbusinessinteriors.com/pages/industries,54,98,92,100,13782,3586,345,0,6772,14617,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),legacy-javascript-insight (impact 100),1,heading-order
04,Healthcare,desktop,https://www.brantbusinessinteriors.com/pages/healthcare,96,95,96,100,1158,443,119,0.0,1131,2512,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,heading-order|target-size
04,Healthcare,mobile,https://www.brantbusinessinteriors.com/pages/healthcare,58,98,92,100,13768,4454,145,0,7404,15071,network-dependency-tree-insight (impact 100),cache-insight (impact 100),forced-reflow-insight (impact 100),1,heading-order
05,Education,desktop,https://www.brantbusinessinteriors.com/pages/education,95,95,92,92,1127,465,137,0.0,1223,2924,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,target-size|heading-order
05,Education,mobile,https://www.brantbusinessinteriors.com/pages/education,55,98,92,92,14130,3631,316,0,6382,15293,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),legacy-javascript-insight (impact 100),1,heading-order
06,Government,desktop,https://www.brantbusinessinteriors.com/pages/government,71,95,96,92,1130,464,806,0.005,934,2979,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,heading-order|target-size
06,Government,mobile,https://www.brantbusinessinteriors.com/pages/government,50,98,92,92,13987,3580,482,0,6624,14669,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),cache-insight (impact 50),1,heading-order
07,Quote,desktop,https://www.brantbusinessinteriors.com/pages/quote,81,95,96,100,1119,443,387,0.001,1046,3225,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,target-size|heading-order
07,Quote,mobile,https://www.brantbusinessinteriors.com/pages/quote,45,98,96,100,12877,3653,681,0,6575,14494,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),legacy-javascript-insight (impact 100),1,heading-order
08,Delivery,desktop,https://www.brantbusinessinteriors.com/pages/delivery,98,95,96,92,1081,446,61,0.0,886,2961,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,heading-order|target-size
08,Delivery,mobile,https://www.brantbusinessinteriors.com/pages/delivery,57,98,92,92,13853,4548,196,0,7021,14929,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),legacy-javascript-insight (impact 100),1,heading-order
09,Design-Services,desktop,https://www.brantbusinessinteriors.com/pages/design-services,93,95,92,100,1081,463,172,0.0,1116,2684,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,heading-order|target-size
09,Design-Services,mobile,https://www.brantbusinessinteriors.com/pages/design-services,60,98,92,100,9526,3476,255,0.001,5206,14502,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),cache-insight (impact 50),1,heading-order
10,Customer-Stories,desktop,https://www.brantbusinessinteriors.com/pages/customer-stories,86,95,92,92,1020,464,289,0.015,1364,2814,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,target-size|heading-order
10,Customer-Stories,mobile,https://www.brantbusinessinteriors.com/pages/customer-stories,63,98,92,92,12187,3545,113,0,5381,14163,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),legacy-javascript-insight (impact 100),1,heading-order
11,Brand-OTG,desktop,https://www.brantbusinessinteriors.com/pages/brands-otg,93,95,92,92,1201,463,165,0.004,1030,2997,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),image-delivery-insight (impact 100),2,target-size|heading-order
11,Brand-OTG,mobile,https://www.brantbusinessinteriors.com/pages/brands-otg,63,98,92,92,4651,2101,717,0,3328,14376,network-dependency-tree-insight (impact 100),forced-reflow-insight (impact 100),cache-insight (impact 50),1,heading-order
