product_id,product_handle,current_title,current_vendor,current_body_first_200,detected_manufacturer,confidence,evidence_summary,recommended_vendor_correction,sub_brand_detected,decision,product_type,sku_sample,sku_prefix,ambiguous_prefix
9039323201849,zim-synchro-tilter-chair-high-back-mesh-mesh-back-black,Zim synchro-tilter chair high back mesh mesh back,Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,Global Furniture Group,HIGH,[HIGH] model_code:'SKU prefix OTG' in sku->Global Furniture Group,Global Furniture Group,,APPROVE,,OTG11351AB,OTG,
9039328477497,ultra-armless-high-back-tilter-black,Ultra | Armless High Back Tilter Black,Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,UNKNOWN,no manufacturer signal; sku_prefix=none,NONE,,,,,,(no-sku)
9039374582073,workstation-u-shape,Workstation U Shape,Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,UNKNOWN,no manufacturer signal; sku_prefix=none,NONE,,,,,,(no-sku)
9039376023865,desk-u-shape-mlp205-1,Desk u-shape,Brant Business Interiors,"NEWLAND | ""U"" SHAPED SUITE - 72""W X 102""D Newland - simple and modular components combining classic design, quality and value to support a wide range of workspace applications. From private offices, o",NONE,UNKNOWN,no manufacturer signal; sku_prefix=NLP,NONE,,,,NLP321,NLP,NLP
9039381201209,unisource-promeltslice-ice-melting-compound-crystal-20-kg,Unisource PromeltSlice Ice Melting Compound - Crystal - 20 kg,Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,UNKNOWN,no manufacturer signal; sku_prefix=none,NONE,,,,,,(no-sku)
9039398764857,haag-shell-jacket-mens-4x-large-black-1,"Haag Shell Jacket, Men's, 4X-Large, Black",Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,UNKNOWN,no manufacturer signal; sku_prefix=none,NONE,,,,,,(no-sku)
9039399780665,haag-shell-jacket-mens-4x-large-black-2,"Haag Shell Jacket, Men's, 4X-Large, Black",Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,UNKNOWN,no manufacturer signal; sku_prefix=none,NONE,,,,,,(no-sku)
9039401713977,honor-roll-dsq-1824-pb-table-desk-square-leg-base-4-legs-x-24-table-top-width-x-18-table-top-depth-5-each,"Honor roll -dsq-1824-pb table desk - square leg base - 4 legs x 24"" table top width x 18"" table top depth 5 each — 18""",Brant Business Interiors,"Honor Roll series square-leg base table desk with a 24"" × 18"" work surface. Its compact footprint makes it a fit for training rooms, breakout spaces, touchdown stations, and child-sized work areas. Fo",NONE,UNKNOWN,no manufacturer signal; sku_prefix=none,NONE,,,,,,(no-sku)
9039403024697,1-1-2-drawer-high-lateral-cabinet-4,1 1/2 Drawer High Lateral Cabinet,Brant Business Interiors,"- 30"" x 19.3"" x 21.3"" - 2 x Drawer(s) for Box, File - L- 30"" x 19.3"" x 21.3"" - 2 x Drawer legal, Letter - Lateral - Welded, Eco-friendly, Ball-bearing Suspension, Recyclable, Interlocking, Durable, Ke",NONE,UNKNOWN,no manufacturer signal; sku_prefix=none,NONE,,,,,,(no-sku)
9039407841593,original-hydro-parkas-mens-medium-navy-blue,"Original ""Hydro"" Parkas, Men's, Medium, Navy Blue",Brant Business Interiors,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. Height adjustable arms. Black. Main Featur,NONE,UNKNOWN,no manufacturer signal; sku_prefix=none,NONE,,,,,,(no-sku)
9098317070649,large-fire-water-safe-13-x-16-x-19-black-2,"Large fire/water safe 13"" x 16"" x 19"" - black — 13"" x 16"" x 19""",Brant Business Interiors,UL-listed 1-hour fire protection and verified waterproofing keep irreplaceable documents and digital media safe when it counts most. The Sentry Safe SFW082DTB delivers UL-listed 1-hour fire protection,Sentry Safe,HIGH,[HIGH] model_code:'SKU prefix SEN' in sku->Sentry Safe; [HIGH] direct_name_match:'specs.manufacturer=Sentry Group' in metafield->Sentry Safe,Sentry Safe,,APPROVE,,SENSFW082DTBSSC,SENSFW,
9098360783161,desk-2-drawer-48-x-24-x-29-1,"Desk - 2-drawer — 48"" x 24"" x 29""",Brant Business Interiors,Category Contemporary - Laminate Manufacturer Heartwood Manufacturing Ltd Manufacturer Ref MA112448GD Brand Heartwood Item Code: HTWMA112448GD Floating top adds style Durable laminate for carefree pro,Heartwood,HIGH,[HIGH] direct_name_match:'Manufacturer=Heartwood Manufacturing Ltd' in body->Heartwood; [HIGH] direct_name_match:'Brand=Heartwood' in body->Heartwood; [HIGH] model_code:'SKU prefix HTW' in sku->Heartwood; [HIGH] direct_name_match:'Heartwood' in body->Heartwood,Heartwood,,APPROVE,,HTWMA112448GD,HTWMA,
9098369335609,polycarbonate-chairmat-for-hard-floors-hard-floor-60x-46-1,"Polycarbonate chairmat for hard floors - hard floor — 60""x 46""",Brant Business Interiors,"Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM21442FPC Brand deflecto Item Code : DEFCM21442FPC Transparent chairmat offers exceptional clarity and is extremely durable and ",deflecto,HIGH,"[HIGH] direct_name_match:'Manufacturer=Deflecto, LLC' in body->deflecto; [HIGH] direct_name_match:'Brand=deflecto' in body->deflecto; [HIGH] model_code:'SKU prefix DEF' in sku->deflecto",deflecto,,APPROVE,,DEFCM21442FPC,DEFCM,
9098379854137,reception-desk-84-x-84-1,"Reception desk — 84"" x 84""",Brant Business Interiors,Category Contemporary - Laminate Manufacturer Ref PS655 CP/WG Brand Links Contract Furniture Item Code: LCFPS655CPWG This reception desk will hold up to demanding values and provide solutions for a mu,Links Contract Furniture,HIGH,[HIGH] direct_name_match:'Brand=Links Contract Furniture' in body->Links Contract Furniture; [HIGH] model_code:'SKU prefix LCF' in sku->Links Contract Furniture,Links Contract Furniture,,APPROVE,,LCFPS655CPWG,LCFPS,
9098388799801,door-32-x-32-1,"Door — 32"" x 32""",Brant Business Interiors,"Doors Performance, choice and value are key statements that define the entire Innovations series Innovations is built and designed to last Quality office furniture, built for today's office Door kit f",Heartwood,HIGH,[HIGH] model_code:'SKU prefix HTW' in sku->Heartwood,Heartwood,,APPROVE,,HTWINV32BKDRS,HTWINV,
9099975065913,carpeted-floor-60x-46,"Carpeted floor — 60""x 46""",Brant Business Interiors,"Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM15443F Brand deflecto Item Code: DEFCM15443F RollaMat Chairmat with no lip is ideal for the home office. The heavy vinyl is des",deflecto,HIGH,"[HIGH] direct_name_match:'Manufacturer=Deflecto, LLC' in body->deflecto; [HIGH] direct_name_match:'Brand=deflecto' in body->deflecto; [HIGH] model_code:'SKU prefix DEF' in sku->deflecto",deflecto,,APPROVE,,DEF06207,DEF,
9100254708025,carpeted-floor-48-x-60-1,"Carpeted floor — 48"" x 60""",Brant Business Interiors,"Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM13433F Brand deflecto Item Code : DEFCM13433F",deflecto,HIGH,"[HIGH] direct_name_match:'Manufacturer=Deflecto, LLC' in body->deflecto; [HIGH] direct_name_match:'Brand=deflecto' in body->deflecto; [HIGH] model_code:'SKU prefix DEF' in sku->deflecto",deflecto,,APPROVE,,DEF06205,DEF,
9100256477497,l-shaped-medium-pile-chair-mat-with-lip-66-x-60-2,"L-shaped medium pile chair mat with lip — 66"" x 60""",Brant Business Interiors,"Category Carpet Chair Mats Manufacturer Deflecto, LLC Manufacturer Ref CM13083L Brand deflecto Item Code: DEFCM13083L Low carpet chair mat Easy-glide rolling surface provides smooth office chair movem",deflecto,HIGH,"[HIGH] direct_name_match:'Manufacturer=Deflecto, LLC' in body->deflecto; [HIGH] direct_name_match:'Brand=deflecto' in body->deflecto; [HIGH] model_code:'SKU prefix DEF' in sku->deflecto",deflecto,,APPROVE,,DEF02134,DEF,
9103169388857,electronic-lock-business-safes,Electronic lock business safes,Brant Business Interiors,"Category Safes Manufacturer Sentry Group Manufacturer Ref SFW123GDC Brand Sentry Safe Item Code: SENSFW123GDC Be it a confidential document or other valuables, preserve them in ultimate protection Go ",Sentry Safe,HIGH,[HIGH] direct_name_match:'Manufacturer=Sentry Group' in body->Sentry Safe; [HIGH] direct_name_match:'Brand=Sentry Safe' in body->Sentry Safe; [HIGH] model_code:'SKU prefix SEN' in sku->Sentry Safe,Sentry Safe,,APPROVE,,SENSFW123GDCSSC,SENSFW,
9103178924345,folding-table-60-x-30-1,"Folding table — 60"" x 30""",Brant Business Interiors,"Weatherproof design allows safe use both indoors and outdoors High-impact, polyethylene top resists scratches to maintain high quality Foldable design transports easily and allows convenient storage P",Heartwood,HIGH,[HIGH] model_code:'SKU prefix HTW' in sku->Heartwood,Heartwood,,APPROVE,,HTWTLT3096GN,HTWTLT,
9103179972921,folding-table-8,Folding table,Brant Business Interiors,"Weatherproof design allows safe use both indoors and outdoors High-impact, polyethylene top resists scratches to maintain high quality Foldable design transports easily and allows convenient storage P",Heartwood,HIGH,[HIGH] model_code:'SKU prefix HTW' in sku->Heartwood,Heartwood,,APPROVE,,HTWTLTR60GN,HTWTLTR,
9103180136761,folding-table-60-4,Folding chair,Brant Business Interiors,Convenient hand hold cutout Contains a minimum of 30% post-consumer recycled material. Maximum weight 110 kg (240 lbs). Textured polyethylene seat and back. Granite. Sold in a box of 6,Heartwood,HIGH,[HIGH] model_code:'SKU prefix HTW' in sku->Heartwood,Heartwood,,APPROVE,,HTWTLTFCB6GN,HTWTLTFCB,
9103180366137,safe-digital-fire-water-file,Safe digital fire/water file,Brant Business Interiors,Category Safes Manufacturer Sentry Group Manufacturer Ref FHW40300 Brand Sentry Safe Item Code : SENFHW40300NAFHRO Two built-in carrying handles for improved mobilityLow battery indicator ETL verified,Sentry Safe,HIGH,[HIGH] direct_name_match:'Manufacturer=Sentry Group' in body->Sentry Safe; [HIGH] direct_name_match:'Brand=Sentry Safe' in body->Sentry Safe; [HIGH] model_code:'SKU prefix SEN' in sku->Sentry Safe,Sentry Safe,,APPROVE,,SENFHW40300NAFHR,SENFHW,
9103180693817,safe-small-security-safe-with-electronic-lock-8-7-x-13-8-x-10-6-3,"Safe small security safe with electronic lock — 8.7"" x 13.8"" x 10.6""",Brant Business Interiors,Category Safes Manufacturer Sentry Group Manufacturer Ref X055 Brand Sentry Safe Item Code: SENX055 Offers convenient storage system for your valuables Features key locking system Electronic Security ,Sentry Safe,HIGH,[HIGH] direct_name_match:'Manufacturer=Sentry Group' in body->Sentry Safe; [HIGH] direct_name_match:'Brand=Sentry Safe' in body->Sentry Safe; [HIGH] model_code:'SKU prefix SEN' in sku->Sentry Safe,Sentry Safe,,APPROVE,,SENX055NOPROPLEF,SENX,
9103182364985,plexiglass-hanging-modesty-panel-48-width-x-15-height-2,"Plexiglass hanging modesty panel - 48"" width x 15"" height — 15""",Brant Business Interiors,Desk shell is part of the Heartwood Innovations Laminate Series that combines intelligent design and function with lasting durability The series offers high-quality construction with an abundance of c,Heartwood,HIGH,[HIGH] model_code:'SKU prefix HTW' in sku->Heartwood; [HIGH] direct_name_match:'Heartwood' in body->Heartwood,Heartwood,,APPROVE,,HTWINVLAYOUT15GD,HTWINVLAYOUT,
9103184265529,coat-tree-hook-stand-1,Coat tree hook stand,Brant Business Interiors,Category Coat/Garment Hooks Manufacturer SAFCO PRODUCTS Manufacturer Ref 4202 Brand Safco Item Code : SAF4202 Create a place where your garments always have a home with the Nail Head Coat Hooks. They ,Safco,HIGH,[HIGH] direct_name_match:'Manufacturer=SAFCO PRODUCTS' in body->Safco; [HIGH] direct_name_match:'Brand=Safco' in body->Safco; [HIGH] model_code:'SKU prefix SAF' in sku->Safco; [HIGH] direct_name_match:'SAFCO' in body->Safco,Safco,,APPROVE,,SAF4202,SAF,
9103185183033,dolly-7,Dolly,Brant Business Interiors,"Category Utility/Service Carts Manufacturer Global Upholstery Co., Inc Manufacturer Ref 6715 Brand Offices To Go Item Code: GLB6715 Polypropylene models can be stacked 34 high (standard 80"" door frame",Global Furniture Group,HIGH,"[HIGH] direct_name_match:'Manufacturer=Global Upholstery Co., Inc' in body->Global Furniture Group; [HIGH] direct_name_match:'Brand=Offices To Go' in body->Global Furniture Group; [HIGH] model_code:'SKU prefix GLB' in sku->Global Furniture Group; [HIGH] direct_name_match:'Global Upholstery' in body->Global Furniture Group; [MEDIUM] sub_brand:'Offices To Go' in body->Global Furniture Group",Global Furniture Group,Offices To Go,APPROVE,,GLB6715,GLB,
