"title","winner_handle","winner_count","loser_handle","loser_count"
"accessories","accessories","22","type-accessories","22"
"boardroom","boardroom","25","room-boardroom","25"
"chairs","type-chairs","121","chairs","4"
"lounge","lounge","10","room-lounge","6"
"lounge seating","type-lounge","6","lounge-seating","2"
"reception","room-reception","7","reception","3"
"tables","tables","39","type-tables","39"
"boardroom / conference / meeting","boardroom-conference-meeting","13","boardroom-conference-meeting-1","12"
"height adjustable tables","height-adjustable-tables","19","height-adjustable-tables-1","18"
"l-shape desks","l-shape-desks","31","l-shape-desks-desks","31"
"l-shape desks","l-shape-desks","31","l-shape-desks-1","30"
"lighting","lighting","4","lighting-1","4"
"multi person workstations","multi-person-workstations","8","multi-person-workstations-1","8"
"pedestal drawers","pedestal-drawers","7","pedestal-drawers-1","7"
"straight desks","straight-desks-desks","17","straight-desks","12"
"table desks","table-desks","6","table-desks-1","6"
"u-shape desks","u-shape-desks-desks","16","u-shape-desks","15"
"u-shape desks","u-shape-desks-desks","16","u-shape-desks-1","15"
