kind,id,handle,title,sort_order,published
smart,525906346297,type-accessories,Accessories,manual,True
smart,526847541561,accessories,Accessories,most-relevant,True
smart,526906589497,all-accessories,All Accessories,best-selling,True
smart,526906491193,all-boardroom,All Boardroom & Conference,best-selling,True
smart,526906655033,all-business-furniture,All Business Furniture,best-selling,True
smart,526906360121,all-desks,All Desks & Workstations,best-selling,True
smart,526906523961,all-ergonomic,All Ergonomic Products,best-selling,True
smart,526906556729,all-panels,All Panels & Dividers,best-selling,True
smart,526906622265,all-quiet-spaces,All Quiet Spaces,best-selling,True
smart,526906327353,all-seating,All Seating,best-selling,True
smart,526906392889,all-storage,All Storage & Filing,best-selling,True
smart,526906425657,all-tables,All Tables,best-selling,True
smart,488825553209,avada-best-sellers,AVADA - Best Sellers,best-selling,False
smart,525906477369,room-boardroom,Boardroom,manual,True
smart,526847443257,boardroom,Boardroom,most-relevant,True
smart,525906608441,room-break-room,Break Room,manual,True
smart,476076998969,bundle-builder-products,Bundle Builder Products,created-desc,False
smart,526326333753,business-furniture,Business Furniture,most-relevant,True
smart,525906215225,type-chairs,Chairs,manual,True
smart,525906247993,type-desks,Desks,manual,True
smart,526847344953,desks,Desks & Workstations,most-relevant,True
smart,526906818873,ergocentric,ergoCentric,best-selling,True
smart,526847476025,ergonomic-products,Ergonomic Products,most-relevant,True
smart,487722713401,fees-products,Fees products,alpha-asc,True
smart,526906786105,global-teknion,Global / Teknion,best-selling,True
smart,526906753337,keilhauer,Keilhauer,best-selling,True
smart,525906641209,room-lounge,Lounge,manual,True
smart,526379123001,lounge-reception,Lounge & Reception,most-relevant,True
smart,525906379065,type-lounge,Lounge Seating,manual,True
smart,487773503801,mandatory-fees,Mandatory Fees,best-selling,True
smart,526906687801,oecm-eligible,OECM-Eligible Products,best-selling,True
smart,525906542905,room-open-plan,Open Plan,manual,True
smart,511513428281,orderly-emails-recommended-products,Orderly Emails - Recommended Products,best-selling,False
smart,525906411833,type-outdoor,Outdoor,manual,True
smart,526847508793,panels-room-dividers,Panels & Room Dividers,most-relevant,True
smart,525906444601,room-private-office,Private Office,manual,True
smart,477689938233,products,Products,best-selling,True
smart,500415299897,products-1,Products,best-selling,False
smart,501173649721,all,Products,best-selling,False
smart,526847574329,quiet-spaces,Quiet Spaces,most-relevant,True
smart,525906510137,room-reception,Reception,manual,True
smart,526847312185,seating,Seating,most-relevant,True
smart,491637047609,smart-products-filter-index-do-not-delete,Smart Products Filter Index - Do not delete,best-selling,False
smart,525906313529,type-storage,Storage,manual,True
smart,526847377721,storage,Storage & Filing,most-relevant,True
smart,525906280761,type-tables,Tables,manual,True
smart,526847410489,tables,Tables,most-relevant,True
smart,526379024697,task-chairs,Task Chairs,alpha-asc,True
smart,525906575673,room-training-room,Training Room,manual,True
custom,473194987833,24-hour-seating,24 Hour (Seating),best-selling,True
custom,526867497273,acoustic-panels,Acoustic Panels,most-relevant,True
custom,526867562809,acoustic-pods,Acoustic Pods,most-relevant,True
custom,526866907449,active-seating,Active Seating,most-relevant,True
custom,502852976953,adjustable-2-shelf-units,Adjustable 2 Shelf Units,best-selling,True
custom,502853108025,adjustable-block-shelf-units,Adjustable Block Shelf Units,best-selling,True
custom,502853009721,adjustable-hinged-units,Adjustable Hinged Units,best-selling,True
custom,488788427065,air-quality-management,Air Quality Management,best-selling,True
custom,471844290873,anti-fatigue-mats,Anti-Fatigue Mats,best-selling,True
custom,502853697849,art-easel,Art Easel,best-selling,True
custom,502851830073,arts-crafts,Arts & Crafts,best-selling,True
custom,487507263801,audio-visual-equipment,Audio Visual Equipment,alpha-asc,True
custom,500230586681,av-stand,AV Stand,best-selling,True
custom,473196495161,bar-height-tables,Bar Height (Tables),best-selling,True
custom,476853502265,bariatric-seating,Bariatric Seating,best-selling,True
custom,508414198073,bariatric-seating-1,Bariatric Seating,best-selling,True
custom,493802160441,bases,Bases,best-selling,True
custom,526866940217,beam-seating,Beam Seating,most-relevant,True
custom,508417737017,beds-matresses,Beds & Mattresses,best-selling,True
custom,508405154105,bedside-tables,Bedside Tables,best-selling,True
