keyword,volume,kd,cpc,competition,intent,intent_secondary,seed
office,110000,98,0.79,LOW,informational,,best office chair
office chair,33100,16,1.68,HIGH,transactional,,best office chair
chair,27100,14,0.85,HIGH,transactional,informational,best office chair
office space,18100,23,8.03,LOW,commercial,informational,best office chair
ergonomic chairs,14800,4,1.77,HIGH,transactional,,best office chair
ergonomic chair,14800,1,1.76,HIGH,transactional,,best office chair
desk chair,9900,9,1.05,HIGH,transactional,,best office chair
computer desk,9900,2,0.97,HIGH,transactional,,best office chair
office desk,9900,0,3.16,HIGH,transactional,,best office chair
ergonomic office chair,9900,2,2.01,HIGH,transactional,,best office chair
the office movers,8100,6,,LOW,commercial,,best office chair
open office,8100,70,0.78,LOW,informational,navigational,best office chair
work from home,8100,0,2.51,MEDIUM,informational,,best office chair
the office moving,8100,5,,LOW,navigational,"informational,commercial",best office chair
staples office chairs,6600,0,0.91,HIGH,transactional,,best office chair
office furniture,5400,3,15.72,HIGH,transactional,commercial,best office chair
computer chair,5400,10,0.97,HIGH,transactional,,best office chair
secret labs chair,5400,23,0.44,HIGH,transactional,,best office chair
best office chairs,4400,17,3.77,HIGH,commercial,transactional,best office chair
erin office,4400,17,,LOW,navigational,,best office chair
source office furniture,4400,13,1.1,HIGH,navigational,,best office chair
office pools guest,4400,15,0.03,LOW,navigational,,best office chair
office customization tool,3600,15,3.95,LOW,informational,"commercial,navigational",best office chair
monk office,3600,9,4.5,LOW,informational,navigational,best office chair
return to office,2900,0,,LOW,informational,,best office chair
the office grind,2900,0,0.05,LOW,informational,,best office chair
home office desk,2900,0,2.04,HIGH,transactional,,best office chair
office chairs canada,2900,0,3.01,HIGH,navigational,"commercial,transactional",best office chair
toby office,2900,13,,LOW,navigational,,best office chair
creed bratton office,2900,11,,LOW,navigational,,best office chair
standing desk canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",best office chair
lazyboy office chair,2400,0,1.5,HIGH,transactional,,best office chair
standing desks canada,2400,0,5.66,HIGH,commercial,"navigational,transactional",best office chair
the brick corporate office,2400,0,1.08,LOW,navigational,,best office chair
home office ideas,1900,23,0.86,HIGH,informational,,best office chair
office unicity,1900,0,,LOW,navigational,,best office chair
kids desk chair,1900,0,0.64,HIGH,transactional,,best office chair
home office,1900,50,1.53,HIGH,informational,,best office chair
office table,1900,0,1.87,HIGH,transactional,,best office chair
denis office supplies,1900,0,5.32,LOW,navigational,,best office chair
office chair mat,1900,0,1.15,HIGH,transactional,,best office chair
gabe office,1900,12,,LOW,navigational,,best office chair
herman miller office chair,1900,6,1.78,HIGH,transactional,,best office chair
best ergonomic office chair,1600,14,3.97,HIGH,commercial,transactional,best office chair
office background,1600,0,0.17,LOW,informational,commercial,best office chair
heritage office furnishings,1600,8,12.49,LOW,navigational,,best office chair
meredith office,1600,22,,LOW,navigational,,best office chair
office chair sale,1600,0,1.03,HIGH,transactional,,best office chair
metropolitan office,1600,17,,LOW,navigational,,best office chair
office cleaning,1600,16,7.44,LOW,informational,,best office chair
out of office,1600,11,0.21,LOW,informational,,best office chair
chair source,1600,0,4.54,HIGH,informational,,best office chair
foot rest under desk,1600,0,0.71,HIGH,transactional,,best office chair
office chairs canadian tire,1300,0,0.67,HIGH,navigational,transactional,best office chair
office chair no wheels,1300,0,1.06,HIGH,transactional,,best office chair
outlook out of office,1300,7,,LOW,informational,,best office chair
walmart office chairs,1300,9,0.31,HIGH,transactional,,best office chair
christie's office plus,1300,0,0.19,LOW,navigational,"informational,commercial",best office chair
madill office,1300,0,21.84,LOW,navigational,,best office chair
office cubicle,1300,0,12.02,HIGH,transactional,,best office chair
suite office,1300,57,2.19,MEDIUM,navigational,,best office chair
darryl office,1300,16,,LOW,navigational,,best office chair
karen office,1300,9,,LOW,navigational,"informational,commercial",best office chair
office decor,1300,0,0.67,HIGH,commercial,"transactional,informational",best office chair
office for men,1300,0,0.25,HIGH,informational,commercial,best office chair
office move pro,1300,5,3.63,LOW,transactional,commercial,best office chair
office building,1000,11,3.75,LOW,informational,"navigational,commercial",best office chair
structube office chair,1000,0,0.55,HIGH,transactional,,best office chair
mose office,1000,4,,LOW,navigational,,best office chair
source office furniture edmonton,1000,0,1.22,MEDIUM,navigational,,best office chair
ergonomic desk,1000,0,2.76,HIGH,transactional,,best office chair
the office dinner party,1000,16,,LOW,informational,,best office chair
office chair amazon,1000,0,0.5,HIGH,transactional,,best office chair
dinner party office,1000,9,,LOW,commercial,"informational,transactional",best office chair
td return to office,1000,3,,LOW,informational,navigational,best office chair
ergonomic desk chair,1000,0,2.22,HIGH,transactional,,best office chair
comfortable office chair,1000,14,1.51,HIGH,transactional,,best office chair
dinner party the office,1000,15,,LOW,commercial,informational,best office chair
desk foot rest,1000,0,0.71,HIGH,transactional,,best office chair
leather office chair,1000,0,2.25,HIGH,transactional,,best office chair
small computer desk,1000,0,0.65,HIGH,transactional,,best office chair
sit stand desk canada,1000,0,5.5,HIGH,navigational,,best office chair
