page,keyword,volume,kd,cpc,intent,position,etv,url_ranked,is_featured_snippet
credit-cards,easiest credit card to get in canada,720,13,28.010000228881836,commercial,7,18.4,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,business secured credit card,140,4,32.90999984741211,commercial,3,13.6,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,best business credit cards for small business,390,5,15.460000038146973,commercial,8,7.7,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,secured business credit card canada,70,2,23.829999923706055,commercial,3,6.8,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,how to get a business credit card,210,4,19.84000015258789,informational,8,4.1,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,new business credit cards,110,5,56.970001220703125,commercial,6,3.7,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,secured credit card business,140,12,32.90999984741211,commercial,7,3.6,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,what is the easiest credit card to get in canada,50,29,18.889999389648438,commercial,5,2.1,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,business credit cards,1000,15,50.9900016784668,commercial,26,2.1,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,business credit cards for new business,110,20,56.970001220703125,commercial,10,1.2,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,what credit card is the easiest to get,70,18,19.739999771118164,informational,11,0.6,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,business credit card canada,210,11,55.81999969482422,commercial,23,0.4,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,how to apply for a business credit card,70,10,50.279998779296875,informational,20,0.2,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,no credit check credit cards,70,9,14.109999656677246,commercial,27,0.1,/resources/easiest-business-credit-cards-to-get-in-canada,False
credit-cards,card companies in canada,40,53,1.8700000047683716,commercial,20,0.1,/resources/easiest-business-credit-cards-to-get-in-canada,False
bba-small-biz,best bank small business canada,720,0,15.8100004196167,commercial,2,116.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best banks for business accounts canada,720,20,20.75,commercial,4,47.4,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,banks for business accounts,1600,22,29.15999984741211,commercial,7,41.0,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best banks small business,210,0,24.549999237060547,commercial,2,34.0,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,canadian business bank,170,75,32.689998626708984,navigational,2,27.5,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,banks for small businesses,390,14,27.030000686645508,commercial,4,22.1,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business bank accounts,590,13,22.510000228881836,commercial,6,19.9,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best bank for small business canada,720,2,15.8100004196167,commercial,7,18.4,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business banks in canada,170,0,26.239999771118164,commercial,3,16.5,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best bank for business account,590,0,22.510000228881836,commercial,7,15.1,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,canada business bank account,590,10,28.690000534057617,commercial,8,11.6,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best business accounts for small business,170,9,22.270000457763672,commercial,4,11.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best small business accounts,170,6,22.270000457763672,commercial,4,11.2,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best canadian bank for small business,720,9,15.8100004196167,commercial,9,10.8,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best banks to open a business account,110,12,19.450000762939453,commercial,3,10.7,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best bank account for small business,210,9,16.100000381469727,commercial,5,9.8,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best small business banking,210,25,24.549999237060547,commercial,5,9.8,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best checking accounts for business,590,0,22.510000228881836,commercial,9,8.9,/resources/best-business-bank-accounts-in-canada-for-small-business,False
bba-small-biz,best small business bank in canada,720,13,15.8100004196167,commercial,10,8.1,/resources/best-business-bank-accounts-in-canada-for-small-business,False
