handle,title,product_count,sort_order,likely_action
bundle-builder-products,Bundle Builder Products,0,CREATED_DESC,investigate
room-break-room,Break Room,0,MANUAL,investigate — room tag missing
keilhauer,Keilhauer,0,BEST_SELLING,investigate
ergocentric,ergoCentric,0,BEST_SELLING,investigate
mandatory-fees,Mandatory Fees,1,BEST_SELLING,investigate — very sparse
type-outdoor,Outdoor,4,BEST_SELLING,keep
room-training-room,Training Room,4,MANUAL,keep
type-lounge,Lounge Seating,6,BEST_SELLING,keep
room-open-plan,Open Plan,6,MANUAL,keep
room-lounge,Lounge,6,MANUAL,keep
quiet-spaces,Quiet Spaces,9,BEST_SELLING,keep
all-quiet-spaces,All Quiet Spaces,9,BEST_SELLING,keep
room-reception,Reception,10,MANUAL,keep
task-chairs,Task Chairs,10,BEST_SELLING,keep
lounge-reception,Lounge & Reception,16,BEST_SELLING,keep
ergonomic-products,Ergonomic Products,16,BEST_SELLING,keep
panels-room-dividers,Panels & Room Dividers,16,BEST_SELLING,keep
all-ergonomic,All Ergonomic Products,16,BEST_SELLING,keep
all-panels,All Panels & Dividers,16,BEST_SELLING,keep
type-accessories,Accessories,23,BEST_SELLING,keep
accessories,Accessories,23,BEST_SELLING,keep
all-accessories,All Accessories,23,BEST_SELLING,keep
type-storage,Storage,31,BEST_SELLING,keep
storage,Storage & Filing,31,BEST_SELLING,keep
all-storage,All Storage & Filing,31,BEST_SELLING,keep
room-boardroom,Boardroom,33,MANUAL,keep
boardroom,Boardroom,33,BEST_SELLING,keep
all-boardroom,All Boardroom & Conference,33,BEST_SELLING,keep
type-desks,Desks,41,BEST_SELLING,keep
type-tables,Tables,41,BEST_SELLING,keep
desks,Desks & Workstations,41,BEST_SELLING,keep
tables,Tables,41,BEST_SELLING,keep
all-desks,All Desks & Workstations,41,BEST_SELLING,keep
all-tables,All Tables,41,BEST_SELLING,keep
global-teknion,Global / Teknion,56,BEST_SELLING,keep
room-private-office,Private Office,67,MANUAL,keep
orderly-emails-recommended-products,Orderly Emails - Recommended Products,100,BEST_SELLING,keep
type-chairs,Chairs,115,BEST_SELLING,keep
all-seating,All Seating,115,BEST_SELLING,keep
seating,Seating,121,BEST_SELLING,keep
all-business-furniture,All Business Furniture,251,BEST_SELLING,keep
avada-best-sellers,AVADA - Best Sellers,624,BEST_SELLING,keep
business-furniture,Business Furniture,624,BEST_SELLING,keep
products,Products,648,BEST_SELLING,keep
products-1,Products,648,BEST_SELLING,keep
all,Products,648,BEST_SELLING,keep
fees-products,Fees products,653,ALPHA_ASC,keep
smart-products-filter-index-do-not-delete,Smart Products Filter Index - Do not delete,653,BEST_SELLING,keep
oecm-eligible,OECM-Eligible Products,653,BEST_SELLING,keep
