section,bbi_footer_present,snippet_hash,note
ds-cc-base.liquid,True,374e4670,
ds-cs-base.liquid,True,374e4670,
ds-lp-about.liquid,True,374e4670,
ds-lp-brands-ergocentric.liquid,True,374e4670,
ds-lp-brands-global-teknion.liquid,True,374e4670,
ds-lp-brands-keilhauer.liquid,True,374e4670,
ds-lp-brands.liquid,True,374e4670,
ds-lp-contact.liquid,True,374e4670,
ds-lp-customer-stories.liquid,True,374e4670,
ds-lp-delivery.liquid,True,374e4670,
ds-lp-design-services.liquid,True,374e4670,
ds-lp-education.liquid,True,374e4670,
ds-lp-faq.liquid,True,374e4670,
ds-lp-government.liquid,True,374e4670,
ds-lp-healthcare.liquid,True,374e4670,
ds-lp-industries.liquid,True,374e4670,
ds-lp-non-profit.liquid,True,374e4670,
ds-lp-oecm.liquid,True,374e4670,
ds-lp-our-work.liquid,True,374e4670,
ds-lp-professional-services.liquid,True,374e4670,
ds-lp-quote.liquid,True,374e4670,
ds-lp-relocation.liquid,True,374e4670,
