Handle,Title,Product_Type,Image_Position,FAL_URL,Local_Path,Alt_Text,Prompt,Status
round-table-42,"Round Table 42""",Furniture > Tables > Kitchen & Dining Room Tables,2,,/Users/leokatz/Desktop/Office Central/data/generated-images/round-table-42-gen-2.jpg,"Round Table 42"" - Office Setting","Professional product photography of Round Table 42"", a conference table, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",SKIPPED_EXISTS
round-table-42,"Round Table 42""",Furniture > Tables > Kitchen & Dining Room Tables,3,,/Users/leokatz/Desktop/Office Central/data/generated-images/round-table-42-gen-3.jpg,"Round Table 42"" - Workspace View","Round Table 42"", a conference table, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",SKIPPED_EXISTS
round-table-42,"Round Table 42""",Furniture > Tables > Kitchen & Dining Room Tables,4,,/Users/leokatz/Desktop/Office Central/data/generated-images/round-table-42-gen-4.jpg,"Round Table 42"" - Detail Close-Up","Close-up detail shot of Round Table 42"", a conference table, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",SKIPPED_EXISTS
round-table-29-high-8-colours,"Round Table 29"" High (8 Colours)",Furniture > Tables > Kitchen & Dining Room Tables,2,,/Users/leokatz/Desktop/Office Central/data/generated-images/round-table-29-high-8-colours-gen-2.jpg,"Round Table 29"" High (8 Colours) - Office Setting","Professional product photography of Round Table 29"" High (8 Colours), a conference table, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",SKIPPED_EXISTS
round-table-29-high-8-colours,"Round Table 29"" High (8 Colours)",Furniture > Tables > Kitchen & Dining Room Tables,3,,/Users/leokatz/Desktop/Office Central/data/generated-images/round-table-29-high-8-colours-gen-3.jpg,"Round Table 29"" High (8 Colours) - Workspace View","Round Table 29"" High (8 Colours), a conference table, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",SKIPPED_EXISTS
round-table-29-high-8-colours,"Round Table 29"" High (8 Colours)",Furniture > Tables > Kitchen & Dining Room Tables,4,,/Users/leokatz/Desktop/Office Central/data/generated-images/round-table-29-high-8-colours-gen-4.jpg,"Round Table 29"" High (8 Colours) - Detail Close-Up","Close-up detail shot of Round Table 29"" High (8 Colours), a conference table, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",SKIPPED_EXISTS
folding-chair-cart,Folding Chair Cart,Furniture > Carts & Islands > Carts,2,,/Users/leokatz/Desktop/Office Central/data/generated-images/folding-chair-cart-gen-2.jpg,Folding Chair Cart - Office Setting,"Professional product photography of Folding Chair Cart, a mobile office cart, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",SKIPPED_EXISTS
folding-chair-cart,Folding Chair Cart,Furniture > Carts & Islands > Carts,3,,/Users/leokatz/Desktop/Office Central/data/generated-images/folding-chair-cart-gen-3.jpg,Folding Chair Cart - Workspace View,"Folding Chair Cart, a mobile office cart, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",SKIPPED_EXISTS
folding-chair-cart,Folding Chair Cart,Furniture > Carts & Islands > Carts,4,,/Users/leokatz/Desktop/Office Central/data/generated-images/folding-chair-cart-gen-4.jpg,Folding Chair Cart - Detail Close-Up,"Close-up detail shot of Folding Chair Cart, a mobile office cart, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",SKIPPED_EXISTS
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",Furniture > Cabinets & Storage > File Cabinets,2,,/Users/leokatz/Desktop/Office Central/data/generated-images/2600-series-4-drawer-vertical-file-legal-26-451-gen-2.jpg,"2600 Series 4 Drawer Vertical File, Legal (26-451) - Office Setting","Professional product photography of 2600 Series 4 Drawer Vertical File, Legal (26-451), a filing cabinet, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",SKIPPED_EXISTS
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",Furniture > Cabinets & Storage > File Cabinets,3,,/Users/leokatz/Desktop/Office Central/data/generated-images/2600-series-4-drawer-vertical-file-legal-26-451-gen-3.jpg,"2600 Series 4 Drawer Vertical File, Legal (26-451) - Workspace View","2600 Series 4 Drawer Vertical File, Legal (26-451), a filing cabinet, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",SKIPPED_EXISTS
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",Furniture > Cabinets & Storage > File Cabinets,4,,/Users/leokatz/Desktop/Office Central/data/generated-images/2600-series-4-drawer-vertical-file-legal-26-451-gen-4.jpg,"2600 Series 4 Drawer Vertical File, Legal (26-451) - Detail Close-Up","Close-up detail shot of 2600 Series 4 Drawer Vertical File, Legal (26-451), a filing cabinet, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",SKIPPED_EXISTS
lateral-file-storage-cabinet-with-shelves-copy,Lateral File & Storage Cabinet with Shelves,Furniture > Cabinets & Storage > File Cabinets,2,,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-storage-cabinet-with-shelves-copy-gen-2.jpg,Lateral File & Storage Cabinet with Shelves - Office Setting,"Professional product photography of Lateral File & Storage Cabinet with Shelves, a filing cabinet, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",SKIPPED_EXISTS
lateral-file-storage-cabinet-with-shelves-copy,Lateral File & Storage Cabinet with Shelves,Furniture > Cabinets & Storage > File Cabinets,3,,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-storage-cabinet-with-shelves-copy-gen-3.jpg,Lateral File & Storage Cabinet with Shelves - Workspace View,"Lateral File & Storage Cabinet with Shelves, a filing cabinet, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",SKIPPED_EXISTS
lateral-file-storage-cabinet-with-shelves-copy,Lateral File & Storage Cabinet with Shelves,Furniture > Cabinets & Storage > File Cabinets,4,,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-storage-cabinet-with-shelves-copy-gen-4.jpg,Lateral File & Storage Cabinet with Shelves - Detail Close-Up,"Close-up detail shot of Lateral File & Storage Cabinet with Shelves, a filing cabinet, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",SKIPPED_EXISTS
lateral-file-storage-cabinet-with-shelves,Lateral File & Storage Cabinet with Shelves,Furniture > Cabinets & Storage > File Cabinets,2,https://v3b.fal.media/files/b/0a979bbd/SoaW7usHrBGuc7MJAWoSo.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-storage-cabinet-with-shelves-gen-2.jpg,Lateral File & Storage Cabinet with Shelves - Office Setting,"Professional product photography of Lateral File & Storage Cabinet with Shelves, a filing cabinet, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
lateral-file-storage-cabinet-with-shelves,Lateral File & Storage Cabinet with Shelves,Furniture > Cabinets & Storage > File Cabinets,3,https://v3b.fal.media/files/b/0a979bbd/9wy4Pu4w3yx-kTIYo8kvF.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-storage-cabinet-with-shelves-gen-3.jpg,Lateral File & Storage Cabinet with Shelves - Workspace View,"Lateral File & Storage Cabinet with Shelves, a filing cabinet, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
lateral-file-storage-cabinet-with-shelves,Lateral File & Storage Cabinet with Shelves,Furniture > Cabinets & Storage > File Cabinets,4,https://v3b.fal.media/files/b/0a979bbe/9O8yC22nYXx2VUlZixpSl.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-storage-cabinet-with-shelves-gen-4.jpg,Lateral File & Storage Cabinet with Shelves - Detail Close-Up,"Close-up detail shot of Lateral File & Storage Cabinet with Shelves, a filing cabinet, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
table-desk-height-adjustable,Table Desk Height Adjustable,Furniture > Office Furniture > Desks,2,https://v3b.fal.media/files/b/0a979bbe/QilKWBsHWf2CD16jfo_iX.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/table-desk-height-adjustable-gen-2.jpg,Table Desk Height Adjustable - Office Setting,"Professional product photography of Table Desk Height Adjustable, a office desk, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
table-desk-height-adjustable,Table Desk Height Adjustable,Furniture > Office Furniture > Desks,3,https://v3b.fal.media/files/b/0a979bbe/mpOt3CGqXOrDBcV9xjdBo.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/table-desk-height-adjustable-gen-3.jpg,Table Desk Height Adjustable - Workspace View,"Table Desk Height Adjustable, a office desk, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
table-desk-height-adjustable,Table Desk Height Adjustable,Furniture > Office Furniture > Desks,4,https://v3b.fal.media/files/b/0a979bbe/QL3LwVynIgHoEAEbo8hcT.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/table-desk-height-adjustable-gen-4.jpg,Table Desk Height Adjustable - Detail Close-Up,"Close-up detail shot of Table Desk Height Adjustable, a office desk, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
lateral-file-used-5-drawer-beige-nevada,Lateral File (USED) 5 Drawer Beige Nevada,Furniture > Cabinets & Storage > File Cabinets,2,https://v3b.fal.media/files/b/0a979bbe/4pPMT5cf1sBcgLbdovBQf.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-used-5-drawer-beige-nevada-gen-2.jpg,Lateral File (USED) 5 Drawer Beige Nevada - Office Setting,"Professional product photography of Lateral File (USED) 5 Drawer Beige Nevada, a filing cabinet, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
lateral-file-used-5-drawer-beige-nevada,Lateral File (USED) 5 Drawer Beige Nevada,Furniture > Cabinets & Storage > File Cabinets,3,https://v3b.fal.media/files/b/0a979bbf/q9T1_x4AlLNqh9G33996T.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-used-5-drawer-beige-nevada-gen-3.jpg,Lateral File (USED) 5 Drawer Beige Nevada - Workspace View,"Lateral File (USED) 5 Drawer Beige Nevada, a filing cabinet, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
lateral-file-used-5-drawer-beige-nevada,Lateral File (USED) 5 Drawer Beige Nevada,Furniture > Cabinets & Storage > File Cabinets,4,https://v3b.fal.media/files/b/0a979bbf/HgtYjAEax4K7NLOz9oUYF.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/lateral-file-used-5-drawer-beige-nevada-gen-4.jpg,Lateral File (USED) 5 Drawer Beige Nevada - Detail Close-Up,"Close-up detail shot of Lateral File (USED) 5 Drawer Beige Nevada, a filing cabinet, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
l-shape-workstations,"L-Shape Workstations (9 Sizes, 8 Colours)",Furniture > Office Furniture > Desks,2,https://v3b.fal.media/files/b/0a979bbf/3k8Tf3F1cffe23Ok3M8tC.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/l-shape-workstations-gen-2.jpg,"L-Shape Workstations (9 Sizes, 8 Colours) - Office Setting","Professional product photography of L-Shape Workstations (9 Sizes, 8 Colours), a office desk, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
l-shape-workstations,"L-Shape Workstations (9 Sizes, 8 Colours)",Furniture > Office Furniture > Desks,3,https://v3b.fal.media/files/b/0a979bbf/KSACNRIBrlkolTVW-KVa6.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/l-shape-workstations-gen-3.jpg,"L-Shape Workstations (9 Sizes, 8 Colours) - Workspace View","L-Shape Workstations (9 Sizes, 8 Colours), a office desk, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
l-shape-workstations,"L-Shape Workstations (9 Sizes, 8 Colours)",Furniture > Office Furniture > Desks,4,https://v3b.fal.media/files/b/0a979bbf/c-nsekrsdfGSqYnmudmLE.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/l-shape-workstations-gen-4.jpg,"L-Shape Workstations (9 Sizes, 8 Colours) - Detail Close-Up","Close-up detail shot of L-Shape Workstations (9 Sizes, 8 Colours), a office desk, highlighting material texture, craftsmanship and finish quality. Shallow depth of field, soft studio lighting, muted warm background. Editorial product photography, premium feel. No people, no text overlays.",OK
sonic-armchair-polypropylene-seat-back-6513,"Sonic™ Armchair, Polypropylene Seat & Back (6513)","Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs > Armchairs",2,https://v3b.fal.media/files/b/0a979bbf/3YQDl9beyCmsK9YQTE8ek.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/sonic-armchair-polypropylene-seat-back-6513-gen-2.jpg,"Sonic™ Armchair, Polypropylene Seat & Back (6513) - Office Setting","Professional product photography of Sonic™ Armchair, Polypropylene Seat & Back (6513), a office ergonomic chair, on a clean white studio background. Crisp even lighting, sharp detail, slight drop shadow, commercial catalogue style. No people, no text overlays.",OK
sonic-armchair-polypropylene-seat-back-6513,"Sonic™ Armchair, Polypropylene Seat & Back (6513)","Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs > Armchairs",3,https://v3b.fal.media/files/b/0a979bc0/o8HqZM14HjiXKNA9_K_QI.jpg,/Users/leokatz/Desktop/Office Central/data/generated-images/sonic-armchair-polypropylene-seat-back-6513-gen-3.jpg,"Sonic™ Armchair, Polypropylene Seat & Back (6513) - Workspace View","Sonic™ Armchair, Polypropylene Seat & Back (6513), a office ergonomic chair, photographed in a bright modern Canadian office environment. Natural window light, contemporary neutral decor, professional workspace setting. Realistic lifestyle product photo. No people visible, no text overlays.",OK
