handle,product_id,position,scene,filename,source_hero_url,fal_url,prompt,generation_id,status,timestamp
bar-height-table,9666375647545,2,studio-white,bar-height-table__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bar-Height-Table-Business-Interiors-16699744.png?v=1750114704,https://v3b.fal.media/files/b/0a9865e1/7GhdOZqZyckGa9hAYQfH__6c7acd848a3a476697435911a2d07cb3.jpg,"The exact Bar Height Table from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
bar-height-table,9666375647545,3,sceneA-institutional,bar-height-table__pos3__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bar-Height-Table-Business-Interiors-16699744.png?v=1750114704,https://v3b.fal.media/files/b/0a9865e2/_tdDkAO_r-Eogwb0pAGLN_026c986cf7644a1da9c7f99cecc536fb.jpg,"The exact Bar Height Table from the reference image, placed in a bright, modern boardroom at a community health centre or non-profit — large windows, natural light, clean contemporary lines, welcoming and collaborative. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
bar-height-table,9666375647545,4,sceneB-smb,bar-height-table__pos4__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bar-Height-Table-Business-Interiors-16699744.png?v=1750114704,https://v3b.fal.media/files/b/0a9865e4/hBl0pcscD7q2Ks-Y-WRXv_30814d96f1b0431082b7719eebd14a53.jpg,"The exact Bar Height Table from the reference image, placed in a polished executive boardroom at a professional services firm — warm wood table, leather chairs, city skyline view, sophisticated and impressive. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
brighton-high-back-tilter-mvl2787,9782584049977,2,studio-white,brighton-high-back-tilter-mvl2787__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Brighton-_-High-Back-Tilter-MVL2787-Business-Interiors-16778148.png?v=1750130879,https://v3b.fal.media/files/b/0a98661f/TlAaeu5ae8tz8m4pCd78c_60dfee11313d4d6fa38b8bd54a2b9f69.jpg,"The exact Brighton | High Back Tilter MVL2787 from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
brighton-high-back-tilter-mvl2787,9782584049977,3,sceneA-institutional,brighton-high-back-tilter-mvl2787__pos3__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Brighton-_-High-Back-Tilter-MVL2787-Business-Interiors-16778148.png?v=1750130879,https://v3b.fal.media/files/b/0a986620/2eZkdoFhxfLTHChVw05x1_fda352f2f0c24bcb89d782cb78d91c85.jpg,"The exact Brighton | High Back Tilter MVL2787 from the reference image, placed in a bright, beautifully styled Ontario office with abundant natural light, lush plants, and warm neutral tones — welcoming, calm, and professional. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
brighton-high-back-tilter-mvl2787,9782584049977,4,sceneB-smb,brighton-high-back-tilter-mvl2787__pos4__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Brighton-_-High-Back-Tilter-MVL2787-Business-Interiors-16778148.png?v=1750130879,https://v3b.fal.media/files/b/0a986621/Jm360tYsg3QuTapYHN6qo_49c1cf44691e4086b4a6e6738ef57d90.jpg,"The exact Brighton | High Back Tilter MVL2787 from the reference image, placed in a polished private office at a professional services firm — warm wood tones, curated decor, premium finishes, refined and impressive. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
desk-shells,9884899213625,2,studio-white,desk-shells__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-24-x48-no-grommets-desk-shells-42917668749625.png?v=1759098282,https://v3b.fal.media/files/b/0a9865e5/o4aP6kv00vsDrcupFOzQk_48bc1466025945d59870acafd76093b9.jpg,"The exact Desk Shells from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
desk-shells,9884899213625,3,sceneA-institutional,desk-shells__pos3__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-24-x48-no-grommets-desk-shells-42917668749625.png?v=1759098282,https://v3b.fal.media/files/b/0a9865e6/42igdc5_y3swB5cFBbyzy_83efce60ef68416ab3215bc8a53eba02.jpg,"The exact Desk Shells from the reference image, placed in a warmly lit, well-designed administrative office at a Canadian non-profit or family health team — clean surfaces, fresh plants, natural light, calm and professional. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
desk-shells,9884899213625,4,sceneB-smb,desk-shells__pos4__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-24-x48-no-grommets-desk-shells-42917668749625.png?v=1759098282,https://v3b.fal.media/files/b/0a9865e7/xlf0Qp-uDG61JQZCslIo9_75423551713c441eb4cc48382b15d955.jpg,"The exact Desk Shells from the reference image, placed in a sleek private office at a law firm or financial services company — dark wood tones, statement pendant lighting, premium leather accessories, polished and refined. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
factor-mesh-seating,9721985237305,2,studio-white,factor-mesh-seating__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Factor-Mesh-Seating-Business-Interiors-16741630.png?v=1750123407,https://v3b.fal.media/files/b/0a986601/QExaNCfj3y-dz232HZExx_ea9faf33e2464616a99d7d8006302577.jpg,"The exact Factor Mesh Seating from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
factor-mesh-seating,9721985237305,3,sceneA-institutional,factor-mesh-seating__pos3__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Factor-Mesh-Seating-Business-Interiors-16741630.png?v=1750123407,https://v3b.fal.media/files/b/0a986602/UnYr_PQ5SZylbEAx-7FZV_5a3a99cb72f0456798dad49896e6b605.jpg,"The exact Factor Mesh Seating from the reference image, placed in a bright, beautifully styled Ontario health team or community services office — light oak surfaces, lush green plants, large windows flooding the room with natural light, warm and welcoming atmosphere. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
factor-mesh-seating,9721985237305,4,sceneB-smb,factor-mesh-seating__pos4__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Factor-Mesh-Seating-Business-Interiors-16741630.png?v=1750123407,https://v3b.fal.media/files/b/0a986603/RUxcGJNWlCR43HEshL1Q__6fd61861d3df4f1b8e34fa3b0e217a46.jpg,"The exact Factor Mesh Seating from the reference image, placed in a polished private office at a professional services firm — rich walnut desk, warm ambient lighting, curated bookshelves, premium finishes, law firm or consulting studio aesthetic. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260430-205736
