handle,product_id,position,scene,filename,source_hero_url,fal_url,prompt,generation_id,status,timestamp
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,9782474211641,2,sceneA-institutional,institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos2__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f1/-9MLeJFnRthBKkuGbc7o2_2dc817a6d22f43c7a0f4562694a96e98.jpg,"The exact Institutional Series Lateral File Cabinet (2,3,4 & 5 Drawer) from the reference image, placed in a clean, well-organised administrative office at a small Ontario hospital or municipal office — neutral warm tones, natural light from large windows, tidy and professional. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people. No text overlays. No watermarks.",,OK,20260428-112402
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,9782474211641,3,sceneB-smb,institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos3__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f3/GY_HxBYV4J5M4B2RhBspp_5f0432f98e934f03bf97800f1e6c1833.jpg,"The exact Institutional Series Lateral File Cabinet (2,3,4 & 5 Drawer) from the reference image, placed in a stylish professional office with curated storage and upscale finishes — accounting firm or insurance brokerage, warm lighting, sophisticated and put-together. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people. No text overlays. No watermarks.",,OK,20260428-112402
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,9782474211641,4,studio-white,institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos4__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f4/l2kEO4X7FLNhCseRerUPA_a6f3d117a0374d5aa56e20879d9c6d35.jpg,"The exact Institutional Series Lateral File Cabinet (2,3,4 & 5 Drawer) from the reference image on a pure white background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects. No people. No text overlays. No watermarks.",,OK,20260428-112402
otg13026-safari-medium-mesh-back-tilter-chair,9712926556473,2,sceneA-institutional,otg13026-safari-medium-mesh-back-tilter-chair__pos2__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814e9/zU19Sbn5Otl-XQttGSZht_3c0d59a1197844579ace899bec76d97b.jpg,"The exact OTG13026 Safari | Medium Mesh Back Tilter Chair from the reference image, placed in a bright, beautifully styled Ontario health team or community services office — light oak surfaces, lush green plants, large windows flooding the room with natural light, warm and welcoming atmosphere. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people. No text overlays. No watermarks.",,OK,20260428-112402
otg13026-safari-medium-mesh-back-tilter-chair,9712926556473,3,sceneB-smb,otg13026-safari-medium-mesh-back-tilter-chair__pos3__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814eb/QEQT_XCA8wAfjYzBeLGTd_1550895632d44203baeea475d1b53c71.jpg,"The exact OTG13026 Safari | Medium Mesh Back Tilter Chair from the reference image, placed in a polished private office at a professional services firm — rich walnut desk, warm ambient lighting, curated bookshelves, premium finishes, law firm or consulting studio aesthetic. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people. No text overlays. No watermarks.",,OK,20260428-112402
otg13026-safari-medium-mesh-back-tilter-chair,9712926556473,4,studio-white,otg13026-safari-medium-mesh-back-tilter-chair__pos4__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814ec/3Clv1UdBDtSwtHAdMRS-H_458c6decbe2e427db05ed3844f206450.jpg,"The exact OTG13026 Safari | Medium Mesh Back Tilter Chair from the reference image on a pure white background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects. No people. No text overlays. No watermarks.",,OK,20260428-112402
teknion-boardroom,9748332216633,2,sceneA-institutional,teknion-boardroom__pos2__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a982252/1J2KBRUbLw57O-8zaAKF4_e52b6b4d931d49d2b84d7ed55dfbed9f.jpg,"The exact Teknion ""Boardroom"" from the reference image, placed in a bright, modern boardroom at a community health centre or non-profit — large windows, natural light, clean contemporary lines, welcoming and collaborative. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260428-205629
teknion-boardroom,9748332216633,3,sceneB-smb,teknion-boardroom__pos3__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a9814f7/CmKd_ibOVpbNrCLjsfo3z_95c83ba5394341f396d8a5574532096b.jpg,"The exact Teknion ""Boardroom"" from the reference image, placed in a polished executive boardroom at a professional services firm — warm wood table, leather chairs, city skyline view, sophisticated and impressive. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people. No text overlays. No watermarks.",,OK,20260428-112402
teknion-boardroom,9748332216633,4,studio-white,teknion-boardroom__pos4__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a9814f8/J0wLY-R9USjzseYHY-F41_ed7f24a11bb94bcb9e1b77a16cc102cc.jpg,"The exact Teknion ""Boardroom"" from the reference image on a pure white background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects. No people. No text overlays. No watermarks.",,OK,20260428-112402
u-shape-d-top-workstation,9720842944825,2,sceneA-institutional,u-shape-d-top-workstation__pos2__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U-Shape-D-Top-Workstation-Business-Interiors-16741545.png?v=1750123386,https://v3b.fal.media/files/b/0a9814ee/SJkRT68AJKI5dNCR-0AlC_8068b869812640cf88baa851f9376bb7.jpg,"The exact U-Shape D-Top Workstation from the reference image, placed in a warmly lit, well-designed administrative office at a Canadian non-profit or family health team — clean surfaces, fresh plants, natural light, calm and professional. Match the reference exactly: same form, colour, material, hardware, and proportions. Wide shot, mid-distance, eye-level, photorealistic. No people. No text overlays. No watermarks.",,OK,20260428-112402
