section,bbi_nav_present,nav_active_param,snippet_hash,note
ds-cc-base.liquid,True,shop,f134716c,
ds-cs-base.liquid,True,shop,f134716c,
ds-lp-about.liquid,True,about,f134716c,
ds-lp-brands-ergocentric.liquid,True,brands,f134716c,
ds-lp-brands-global-teknion.liquid,True,brands,f134716c,
ds-lp-brands-keilhauer.liquid,True,brands,f134716c,
ds-lp-brands.liquid,True,brands,f134716c,
ds-lp-contact.liquid,True,about,f134716c,
ds-lp-customer-stories.liquid,True,about,f134716c,
ds-lp-delivery.liquid,True,services,f134716c,
ds-lp-design-services.liquid,True,services,f134716c,
ds-lp-education.liquid,True,industries,f134716c,
ds-lp-faq.liquid,True,services,f134716c,
ds-lp-government.liquid,True,industries,f134716c,
ds-lp-healthcare.liquid,True,industries,f134716c,
ds-lp-industries.liquid,True,industries,f134716c,
ds-lp-non-profit.liquid,True,industries,f134716c,
ds-lp-oecm.liquid,True,about,f134716c,
ds-lp-our-work.liquid,True,about,f134716c,
ds-lp-professional-services.liquid,True,industries,f134716c,
ds-lp-quote.liquid,True,services,f134716c,
ds-lp-relocation.liquid,True,services,f134716c,
