handle,product_id,title,image_count,pos1_src,pos1_alt,pos1_width,pos1_height,needs_review,flag_reason
l-shape-desk-3-sizes-13-colours,9103190196537,"""L"" Shape Desk 6 Sizes 13 colours",1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Newland-_-_L_-Shaped-Desk-66_W-x-78_D-NLP108-Business-Interiors-16725427.png?v=1750119877,"Newland | ""L"" Shaped Desk - 66""W x 78""D NLP108 - Brant Business Interiors",609,609,False,
l-shaped-desk-with-double-pedestals-72w-x-78d,9726668308793,"""L"" Shaped Desk with Double Pedestals - 72""W x 78""D",1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L_-Shaped-Desk-with-Double-Pedestals-72_W-x-78_D-Business-Interiors-16748178.png?v=1750124766,"""L"" Shaped Desk with Double Pedestals - 72""W x 78""D - Brant Business Interiors",713,713,False,
l-shaped-desk-with-single-pedestal-60w-x-72d,9726671814969,"""L"" Shaped Desk with Single Pedestal - 60""W x 72""D",1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L_-Shaped-Desk-with-Single-Pedestal-60_W-x-72_D-Business-Interiors-16748245.png?v=1750124787,"""L"" Shaped Desk with Single Pedestal - 60""W x 72""D - Brant Business Interiors",665,665,False,
new-pneumatic-single-arm-monitor-stand,9943309746489,"""New"" Pneumatic Single-Arm Monitor Stand",5,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-single-arm-new-pneumatic-single-arm-monitor-stand-43328446595385.png?v=1759098279,,411,411,False,
u-shaped-desk-72w-x-96d,9726665031993,"""U"" Shaped Desk - 72""W x 96""D",1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U_-Shaped-Desk-72_W-x-96_D-Business-Interiors-16748031.png?v=1750124745,"""U"" Shaped Desk - 72""W x 96""D - Brant Business Interiors",593,593,False,
u-shaped-desk-with-3-stage-height-adjustable-table,9726676795705,"""U"" Shaped Desk with 3-Stage Height Adjustable Table",2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U_-Shaped-Desk-with-3-Stage-Height-Adjustable-Table-Business-Interiors-16748347.png?v=1750124809,"""U"" Shaped Desk with 3-Stage Height Adjustable Table - Brant Business Interiors",601,601,False,
u-shaped-suite-with-rectangular-island,9726648353081,"""U"" SHAPED SUITE WITH RECTANGULAR ISLAND NLP324",1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U_-SHAPED-SUITE-WITH-RECTANGULAR-ISLAND-Business-Interiors-16747623.png?v=1750124661,"""U"" SHAPED SUITE WITH RECTANGULAR ISLAND - Brant Business Interiors",627,627,False,
u-shaped-suite-with-table-desk-72w-x-96d,9726645797177,"""U"" Shaped Suite with Table Desk - 72""W x 96""D",1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U_-Shaped-Suite-with-Table-Desk-72_W-x-96_D-Business-Interiors-16747550.png?v=1750124640,"""U"" Shaped Suite with Table Desk - 72""W x 96""D - Brant Business Interiors",796,796,False,
2-drawer-legal-width-vertical-file,9727968149817,2 Drawer Legal Width Vertical File,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Pedestal-File-File-_With-or-without-wheels_-Business-Interiors-16749095.png?v=1750124954,Pedestal - File/File (With or without wheels) - Brant Business Interiors,494,494,False,
2600-series-4-drawer-vertical-file-legal-26-451,10095599190329,"2600 Series 4 Drawer Vertical File, Legal (26-451)",1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-01-12100820.jpg?v=1768230595,,275,480,False,
4-drawer-legal-width-vertical-file,9727970705721,4 Drawer Legal Width Vertical File,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/4-Drawer-Legal-Width-Vertical-File-Business-Interiors-16748949.png?v=1750124935,4 Drawer Legal Width Vertical File - Brant Business Interiors,485,485,False,
4-drawer-letter-width-vertical-file,9727969984825,4 Drawer Letter Width Vertical File,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/4-Drawer-Letter-Width-Vertical-File-Business-Interiors-16748826.png?v=1750124914,4 Drawer Letter Width Vertical File - Brant Business Interiors,495,495,False,
4-person-workstation,9860596138297,4 Person Workstation,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-default-title-4-person-workstation-42761886433593.png?v=1759098276,4 Person Workstation Business Interiors,640,640,False,
6-drawer-end-tab-cabinet-s128-drawers,10111254855993,6 Drawer End Tab Cabinet S128 Drawers,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-02-05122834.png?v=1770312686,,247,456,False,
6-person-workstation-chairs-bridges,9688261001529,6 Person Workstation & Chairs Bridges,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/6-Person-Workstation-_-Chairs-Bridges-Business-Interiors-16724314.png?v=1750119719,6 Person Workstation & Chairs Bridges - Brant Business Interiors,565,565,False,
adapt-high-back-synchro-tilter-mvl11724,9769092022585,Adapt | High Back Synchro-Tilter MVL11724,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Adapt-_-High-Back-Synchro-Tilter-MVL11724-Business-Interiors-16766398.png?v=1750128661,Adapt | High Back Synchro-Tilter MVL11724 - Brant Business Interiors,719,719,False,
adapt-high-back-synchro-tilter-mvl11724-mvl11725,9815337566521,Adapt | High Back Synchro-Tilter MVL11724 MVL11725,5,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Adapt-_-High-Back-Synchro-Tilter-MVL11724-MVL11725-Business-Interiors-16784650.png?v=1750132310,Adapt | High Back Synchro-Tilter MVL11724 MVL11725 - Brant Business Interiors,561,561,False,
adapt-high-back-synchro-tilter-mvl11725,9771322507577,Adapt | High Back Synchro-Tilter MVL11725,4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Adapt-_-High-Back-Synchro-Tilter-MVL11725-Business-Interiors-16771525.png?v=1750129381,Adapt | High Back Synchro-Tilter MVL11725 - Brant Business Interiors,691,691,False,
aeramax-air-purifier-true-hepa-plasmatrue-1,9712563487033,"AeraMax® Air Purifier - True HEPA, PlasmaTrue",4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/AeraMaxr-Air-Purifier-True-HEPA_-PlasmaTrue-Business-Interiors-16739251.jpg?v=1750122901,"AeraMax® Air Purifier - True HEPA, PlasmaTrue - Brant Business Interiors",522,522,False,
agile-double-sided-8-pod-height-adjustable-shared-desk,9688170398009,Agile Double Sided 8-Pod Height Adjustable Shared Desk,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Agile-Double-Sided-8-Pod-Height-Adjustable-Shared-Desk-Business-Interiors-16723425.png?v=1750119519,Agile Double Sided 8-Pod Height Adjustable Shared Desk - Brant Business Interiors,584,584,False,
aktivity-environ-table,9824093798713,Aktivity Environ table,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Aktivity-Environ-table-Business-Interiors-16789437.png?v=1750133343,Aktivity Environ table - Brant Business Interiors,475,475,False,
aktivity-puddle,9769301311801,Aktivity Puddle,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Aktivity-Puddle-Business-Interiors-16766769.png?v=1750128731,Aktivity Puddle - Brant Business Interiors,545,545,False,
aktivity-rectangle-height-adjustable-table,9114228523321,Aktivity Rectangle Height Adjustable Table,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Aktivity-Rectangle-Height-Adjustable-Table-Business-Interiors-16693535.png?v=1750113288,Aktivity Rectangle Height Adjustable Table - Brant Business Interiors,569,569,False,
alphabetter-stand-up-desk,10170179911993,AlphaBetter Stand-Up Desk,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-04-08155415.png?v=1775678266,,406,497,False,
altona-high-back-leather-tilter,9664282657081,Altona | High Back Leather Tilter,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Altona-_-High-Back-Leather-Tilter-Business-Interiors-16697076.png?v=1750114097,Altona | High Back Leather Tilter - Brant Business Interiors,711,711,False,
amigo-mesh-chair-otg10900blk,9766192775481,Amigo Mesh Chair OTG10900BLK,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Amigo-Mesh-Chair-OTG10900BLK-Business-Interiors-16765063.png?v=1750128346,Amigo Mesh Chair OTG10900BLK - Brant Business Interiors,378,378,False,
anda-seat-phantom-king-gaming-style-office-chair,9725776691513,Anda Seat Phantom King Gaming Style Office Chair,4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Anda-Seat-Phantom-King-Gaming-Style-Office-Chair-Business-Interiors-16747196.png?v=1750124557,Anda Seat Phantom King Gaming Style Office Chair - Brant Business Interiors,524,524,False,
anti-fatigue-wellness-mat-36-x-24-5,9103326871865,"Anti-Fatigue Wellness Mat  36"" x 24""",4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Anti-Fatigue-Wellness-Mat-36_-x-24_-Business-Interiors-16689434.jpg?v=1750112369,"Anti-Fatigue Wellness Mat  36"" x 24"" - Brant Business Interiors",900,900,False,
arlo-lounge-swivel-task-chair-1,9759454560569,Arlo | Lounge Swivel Task Chair,4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Arlo-_-Lounge-Swivel-Task-Chair-Business-Interiors-16763174.png?v=1750127924,Arlo | Lounge Swivel Task Chair - Brant Business Interiors,664,664,False,
arm-caps-for-2330-chair,10023161004345,Arm Caps for 2330 chair,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2025-10-28175931.png?v=1767457393,,246,246,False,
armless-low-back-stacking-chair-mvl2748,9982115381561,Armless Low Back Stacking Chair MVL2748,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-default-title-armless-low-back-stacking-chair-mvl2748-43547823178041.png?v=1759098300,,591,591,False,
array-stand-as-air-purifier-1,9712563224889,Array™ Stand AS Air Purifier,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/ArrayTM-Stand-AS-Air-Purifier-Business-Interiors-16739055.jpg?v=1750122858,Array™ Stand AS Air Purifier - Brant Business Interiors,2048,2048,False,
ashmont-medium-back-guest-chair-mvl2782,9782581297465,Ashmont | Medium Back Guest Chair MVL2782,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ashmont-_-Medium-Back-Guest-Chair-MVL2782-Business-Interiors-16777910.png?v=1750130835,Ashmont | Medium Back Guest Chair MVL2782 - Brant Business Interiors,651,651,False,
ashmont-medium-back-management-tilter-mvl2781,9771597070649,Ashmont | Medium Back Management Tilter MVL2781,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ashmont-_-Medium-Back-Management-Tilter-MVL2781-Business-Interiors-16772758.png?v=1750129635,Ashmont | Medium Back Management Tilter MVL2781 - Brant Business Interiors,661,661,False,
ashton-high-back-tilter,9664281542969,Ashton | High Back Tilter,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ashton-_-High-Back-Tilter-Business-Interiors-16696956.png?v=1750114075,Ashton | High Back Tilter - Brant Business Interiors,758,758,False,
atlas-sit-to-stand-height-adjustable-desk,9714121933113,Atlas Sit to Stand Height Adjustable Desk,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Atlas-Sit-to-Stand-Height-Adjustable-Desk-Business-Interiors-16740631.png?v=1750123194,Atlas Sit to Stand Height Adjustable Desk - Brant Business Interiors,516,516,False,
auditorium-lecture-hall-seating,9699889086777,Auditorium / Lecture Hall Seating,2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Auditorium-Lecture-Hall-Seating-Business-Interiors-16733653.jpg?v=1750121702,Auditorium / Lecture Hall Seating - Brant Business Interiors,544,544,False,
auditorium-lecture-hall-seating-my-space,9699886203193,Auditorium / Lecture Hall Seating My Space,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Auditorium-Lecture-Hall-Seating-My-Space-Business-Interiors-16732971.png?v=1750121550,Auditorium / Lecture Hall Seating My Space - Brant Business Interiors,559,559,False,
auditorium-lecture-hall-seating-omni,9699883254073,Auditorium / Lecture Hall Seating Omni,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Auditorium-Lecture-Hall-Seating-Omni-Business-Interiors-16732695.jpg?v=1750121501,Auditorium / Lecture Hall Seating Omni - Brant Business Interiors,692,692,False,
auditorium-lecture-hall-seating-primo,9699887710521,Auditorium / Lecture Hall Seating Primo,4,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Auditorium-Lecture-Hall-Seating-Primo-Business-Interiors-16733265.jpg?v=1750121616,Auditorium / Lecture Hall Seating Primo - Brant Business Interiors,515,515,False,
av-stand-sa-81-3016,9846115074361,AV Stand SA-81-3016,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-default-title-av-stand-sa-81-3016-42669093093689.png?v=1759098230,AV Stand SA-81-3016 - Brant Business Interiors,304,304,False,
avro-350m-heavy-duty-multi-tilter-chairs-mvl11716,9776142713145,Avro 350M Heavy Duty Multi-Tilter Chairs MVL11716,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Avro-350M-Heavy-Duty-Multi-Tilter-Chairs-MVL11716-Business-Interiors-16773612.png?v=1750129847,Avro 350M Heavy Duty Multi-Tilter Chairs MVL11716 - Brant Business Interiors,411,411,False,
banquet-chair-stacking,9676929270073,Banquet Chair Stacking,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Banquet-Chair-Stacking-Business-Interiors-16713952.png?v=1750117432,Banquet Chair Stacking - Brant Business Interiors,672,672,False,
bar-height-table,9666375647545,Bar Height Table,3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bar-Height-Table-Business-Interiors-16699744.png?v=1750114704,Bar Height Table - Brant Business Interiors,444,444,False,
bar-leaner-1-span-collaborative,9666368602425,Bar Leaner 1-Span Collaborative,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bar-Leaner-1-Span-Collaborative-Business-Interiors-16699683.png?v=1750114682,Bar Leaner 1-Span Collaborative - Brant Business Interiors,975,975,False,
bar-stool-for-42-high-tables,9778177835321,"Bar Stool for 42"" High Tables",2,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bar-Stool-for-42_-High-Tables-Business-Interiors-16774997.png?v=1750130148,"Bar Stool for 42"" High Tables - Brant Business Interiors",751,751,False,
basics-comfort-time-ultra-multi-tilter-chair-with-headrest,9747447873849,Basics Comfort-Time Ultra Multi-Tilter Chair with Headrest,1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Basicsr-Comfort-TimeTM-Ultra-Multi-Tilter-Big-_-Tall-with-Headrest-Business-Interiors-16766026.png?v=1750128567,Basics® Comfort-Time™ Ultra Multi-Tilter Big & Tall with Headrest - Brant Business Interiors,508,508,False,
basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,9753585910073,"Basics Elora Chair - High Back - Black - Leather, Luxhide MVL1893UPU30BL20",1,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Basics-Elora-Chair-High-Back-Black-Leather_-Luxhide-MVL1893UPU30BL20-Business-Interiors-16761065.png?v=1750127507,"Basics Elora Chair - High Back - Black - Leather, Luxhide MVL1893UPU30BL20 - Brant Business Interiors",592,592,False,
