handle,title,industry_tag,matched_rule,admin_url,notes
aktivity-environ-table,Aktivity Environ table,industry:daycare,"keyword:""aktivity""",https://admin.shopify.com/store/office-central/products/9824093798713,
aktivity-puddle,Aktivity Puddle,industry:daycare,"keyword:""aktivity""",https://admin.shopify.com/store/office-central/products/9769301311801,
aktivity-rectangle-height-adjustable-table,Aktivity Rectangle Height Adjustable Table,industry:daycare,"keyword:""aktivity""",https://admin.shopify.com/store/office-central/products/9114228523321,
foundations-next-gen-serenity-safereach-compact-crib,Foundations Next Gen Serenity SafeReach Compact Crib,industry:daycare,"keyword:""crib""",https://admin.shopify.com/store/office-central/products/9685432140089,
foundations-safetycraft-compact-crib-natural-steel,Foundations SafetyCraft Compact Crib - Natural - Steel,industry:daycare,"keyword:""crib""",https://admin.shopify.com/store/office-central/products/9685409399097,
basics-obusforme-elite-heavy-duty-multi-tilter-chair-ts2770-3-1,Basics® ObusForme® Elite Heavy Duty Multi-Tilter Chair TS2770-3,industry:healthcare,"keyword:""obusforme""",https://admin.shopify.com/store/office-central/products/9776141041977,
gc-comet-bariatric-stacking-armchair-gc2180-1,GC Comet™ Bariatric Stacking Armchair (GC2180),industry:healthcare,"keyword:""bariatric""",https://admin.shopify.com/store/office-central/products/9685632909625,
global-obusforme-elite-multi-tilter-chair-high-back,Global OBUSforme Elite Multi-Tilter Chair High Back,industry:healthcare,"keyword:""obusforme""",https://admin.shopify.com/store/office-central/products/9666747924793,
global-recliner-primacare-gc3608mrc,Global Recliner Primacare GC3608MRC,industry:healthcare,"keyword:""primacare""",https://admin.shopify.com/store/office-central/products/9692001993017,
nourish-high-back-bariatric-patient-chair-gc3685-1,Nourish™ High Back Bariatric Patient Chair (GC3685),industry:healthcare,"keyword:""bariatric""",https://admin.shopify.com/store/office-central/products/9685627470137,
obusforme-elite-multi-tilter-chair-medium-back,OBUSforme Elite Multi-Tilter Medium Back Chair,industry:healthcare,"keyword:""obusforme""",https://admin.shopify.com/store/office-central/products/9666748711225,
obusforme-comfort-high-back-chair-1260-3-schukra,ObusForme Comfort High Back Chair  1260-3 Schukra,industry:healthcare,"keyword:""obusforme""",https://admin.shopify.com/store/office-central/products/10052615831865,
obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort High back Chair 1240-3,industry:healthcare,"keyword:""obusforme""",https://admin.shopify.com/store/office-central/products/9039326609721,
obusforme-comfort-medium-back-chair-fabric-1241-3-copy-1,ObusForme Comfort Medium back Chair  1261-3 Schukra,industry:healthcare,"keyword:""obusforme""",https://admin.shopify.com/store/office-central/products/9938997543225,
obusforme-comfort-medium-back-chair-fabric-1241-3-copy,ObusForme Comfort Medium back Chair 1241-3,industry:healthcare,"keyword:""obusforme""",https://admin.shopify.com/store/office-central/products/9840806887737,
primacare-ht-patient-mid-back-bariatric-open-arms-gc3638-1,"Primacare™ HT Patient Mid Back Bariatric, Open Arms (GC3638)",industry:healthcare,"keyword:""bariatric""",https://admin.shopify.com/store/office-central/products/9685608563001,
recliners-by-ryno,Recliners by Ryno,industry:healthcare,"keyword:""recliner""",https://admin.shopify.com/store/office-central/products/9683649954105,
the-foster-recliner,The Foster Recliner,industry:healthcare,"keyword:""recliner""",https://admin.shopify.com/store/office-central/products/9462257615161,
willow-bariatric-chair,Willow Bariatric Chair,industry:healthcare,"keyword:""bariatric""",https://admin.shopify.com/store/office-central/products/9685598110009,
auditorium-lecture-hall-seating,Auditorium / Lecture Hall Seating,industry:educational,"keyword:""lecture""",https://admin.shopify.com/store/office-central/products/9699889086777,
auditorium-lecture-hall-seating-my-space,Auditorium / Lecture Hall Seating My Space,industry:educational,"keyword:""lecture""",https://admin.shopify.com/store/office-central/products/9699886203193,
auditorium-lecture-hall-seating-omni,Auditorium / Lecture Hall Seating Omni,industry:educational,"keyword:""lecture""",https://admin.shopify.com/store/office-central/products/9699883254073,
auditorium-lecture-hall-seating-primo,Auditorium / Lecture Hall Seating Primo,industry:educational,"keyword:""lecture""",https://admin.shopify.com/store/office-central/products/9699887710521,
duet-tablet-chair,Duet Tablet Chair,industry:educational,"keyword:""tablet chair""",https://admin.shopify.com/store/office-central/products/9688164958521,
educational-student-tables-5-shapes-sizes,Educational Student Tables (5 Shapes & Sizes),industry:educational,"keyword:""student""",https://admin.shopify.com/store/office-central/products/10159634022713,
uni-flip-training-tables-7-sizes,Flip Top Training Tables 7 Sizes,industry:educational,"keyword:""flip top training""",https://admin.shopify.com/store/office-central/products/9686666871097,
nesting-training-table-8-colour-choices,Nesting Training Table (8 Colour Choices),industry:educational,"keyword:""nesting training""",https://admin.shopify.com/store/office-central/products/9729271464249,
sidero-tablet-arm,Sidero Tablet Arm,industry:educational,"keyword:""tablet arm""",https://admin.shopify.com/store/office-central/products/9719783162169,
sidero-tablet-chair,Sidero Tablet Chair,industry:educational,"keyword:""tablet chair""",https://admin.shopify.com/store/office-central/products/9719771300153,
student-chairs-3-sizes,Student Chairs (3 sizes),industry:educational,"keyword:""student""",https://admin.shopify.com/store/office-central/products/10012482797881,
student-desk,Student Desk,industry:educational,"keyword:""student""",https://admin.shopify.com/store/office-central/products/9682495111481,
student-desk-1,Student Desk,industry:educational,"keyword:""student""",https://admin.shopify.com/store/office-central/products/9682497536313,
student-desk-carol-single-double-sided,Student Desk Carol Single & Double Sided,industry:educational,"keyword:""student""",https://admin.shopify.com/store/office-central/products/9724689940793,
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours",industry:business,default,https://admin.shopify.com/store/office-central/products/9103190196537,
l-shaped-desk-with-double-pedestals-72w-x-78d,"""L"" Shaped Desk with Double Pedestals - 72""W x 78""D",industry:business,default,https://admin.shopify.com/store/office-central/products/9726668308793,
l-shaped-desk-with-single-pedestal-60w-x-72d,"""L"" Shaped Desk with Single Pedestal - 60""W x 72""D",industry:business,default,https://admin.shopify.com/store/office-central/products/9726671814969,
new-pneumatic-single-arm-monitor-stand,"""New"" Pneumatic Single-Arm Monitor Stand",industry:business,default,https://admin.shopify.com/store/office-central/products/9943309746489,
u-shaped-suite-with-rectangular-island,"""U"" SHAPED SUITE WITH RECTANGULAR ISLAND NLP324",industry:business,default,https://admin.shopify.com/store/office-central/products/9726648353081,
u-shaped-desk-72w-x-96d,"""U"" Shaped Desk - 72""W x 96""D",industry:business,default,https://admin.shopify.com/store/office-central/products/9726665031993,
u-shaped-desk-with-3-stage-height-adjustable-table,"""U"" Shaped Desk with 3-Stage Height Adjustable Table",industry:business,default,https://admin.shopify.com/store/office-central/products/9726676795705,
u-shaped-suite-with-table-desk-72w-x-96d,"""U"" Shaped Suite with Table Desk - 72""W x 96""D",industry:business,default,https://admin.shopify.com/store/office-central/products/9726645797177,
2-drawer-legal-width-vertical-file,2 Drawer Legal Width Vertical File,industry:business,default,https://admin.shopify.com/store/office-central/products/9727968149817,
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",industry:business,default,https://admin.shopify.com/store/office-central/products/10095599190329,
4-drawer-legal-width-vertical-file,4 Drawer Legal Width Vertical File,industry:business,default,https://admin.shopify.com/store/office-central/products/9727970705721,
4-drawer-letter-width-vertical-file,4 Drawer Letter Width Vertical File,industry:business,default,https://admin.shopify.com/store/office-central/products/9727969984825,
4-person-workstation,4 Person Workstation,industry:business,default,https://admin.shopify.com/store/office-central/products/9860596138297,
6-drawer-end-tab-cabinet-s128-drawers,6 Drawer End Tab Cabinet S128 Drawers,industry:business,default,https://admin.shopify.com/store/office-central/products/10111254855993,
6-person-workstation-chairs-bridges,6 Person Workstation & Chairs Bridges,industry:business,default,https://admin.shopify.com/store/office-central/products/9688261001529,
av-stand-sa-81-3016,AV Stand SA-81-3016,industry:business,default,https://admin.shopify.com/store/office-central/products/9846115074361,
adapt-high-back-synchro-tilter-mvl11724,Adapt | High Back Synchro-Tilter MVL11724,industry:business,default,https://admin.shopify.com/store/office-central/products/9769092022585,
adapt-high-back-synchro-tilter-mvl11724-mvl11725,Adapt | High Back Synchro-Tilter MVL11724 MVL11725,industry:business,default,https://admin.shopify.com/store/office-central/products/9815337566521,
adapt-high-back-synchro-tilter-mvl11725,Adapt | High Back Synchro-Tilter MVL11725,industry:business,default,https://admin.shopify.com/store/office-central/products/9771322507577,
aeramax-air-purifier-true-hepa-plasmatrue-1,"AeraMax® Air Purifier - True HEPA, PlasmaTrue",industry:business,default,https://admin.shopify.com/store/office-central/products/9712563487033,
agile-double-sided-8-pod-height-adjustable-shared-desk,Agile Double Sided 8-Pod Height Adjustable Shared Desk,industry:business,default,https://admin.shopify.com/store/office-central/products/9688170398009,
alphabetter-stand-up-desk,AlphaBetter Stand-Up Desk,industry:business,default,https://admin.shopify.com/store/office-central/products/10170179911993,
altona-high-back-leather-tilter,Altona | High Back Leather Tilter,industry:business,default,https://admin.shopify.com/store/office-central/products/9664282657081,
amigo-mesh-chair-otg10900blk,Amigo Mesh Chair OTG10900BLK,industry:business,default,https://admin.shopify.com/store/office-central/products/9766192775481,
anda-seat-phantom-king-gaming-style-office-chair,Anda Seat Phantom King Gaming Style Office Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9725776691513,
anti-fatigue-wellness-mat-36-x-24-5,"Anti-Fatigue Wellness Mat  36"" x 24""",industry:business,default,https://admin.shopify.com/store/office-central/products/9103326871865,
arlo-lounge-swivel-task-chair-1,Arlo | Lounge Swivel Task Chair,industry:business,default,https://admin.shopify.com/store/office-central/products/9759454560569,
arm-caps-for-2330-chair,Arm Caps for 2330 chair,industry:business,default,https://admin.shopify.com/store/office-central/products/10023161004345,
armless-low-back-stacking-chair-mvl2748,Armless Low Back Stacking Chair MVL2748,industry:business,default,https://admin.shopify.com/store/office-central/products/9982115381561,
array-stand-as-air-purifier-1,Array™ Stand AS Air Purifier,industry:business,default,https://admin.shopify.com/store/office-central/products/9712563224889,
ashmont-medium-back-guest-chair-mvl2782,Ashmont | Medium Back Guest Chair MVL2782,industry:business,default,https://admin.shopify.com/store/office-central/products/9782581297465,
ashmont-medium-back-management-tilter-mvl2781,Ashmont | Medium Back Management Tilter MVL2781,industry:business,default,https://admin.shopify.com/store/office-central/products/9771597070649,
ashton-high-back-tilter,Ashton | High Back Tilter,industry:business,default,https://admin.shopify.com/store/office-central/products/9664281542969,
atlas-sit-to-stand-height-adjustable-desk,Atlas Sit to Stand Height Adjustable Desk,industry:business,default,https://admin.shopify.com/store/office-central/products/9714121933113,
avro-350m-heavy-duty-multi-tilter-chairs-mvl11716,Avro 350M Heavy Duty Multi-Tilter Chairs MVL11716,industry:business,default,https://admin.shopify.com/store/office-central/products/9776142713145,
banquet-chair-stacking,Banquet Chair Stacking,industry:business,default,https://admin.shopify.com/store/office-central/products/9676929270073,
bar-height-table,Bar Height Table,industry:business,default,https://admin.shopify.com/store/office-central/products/9666375647545,
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,industry:business,default,https://admin.shopify.com/store/office-central/products/9666368602425,
bar-stool-for-42-high-tables,"Bar Stool for 42"" High Tables",industry:business,default,https://admin.shopify.com/store/office-central/products/9778177835321,
basics-comfort-time-ultra-multi-tilter-chair-with-headrest,Basics Comfort-Time Ultra Multi-Tilter Chair with Headrest,industry:business,default,https://admin.shopify.com/store/office-central/products/9747447873849,
basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,"Basics Elora Chair - High Back - Black - Leather, Luxhide MVL1893UPU30BL20",industry:business,default,https://admin.shopify.com/store/office-central/products/9753585910073,
basics-chevron-junior-operator-chair-mvl2363-7-1,Basics® Chevron Junior Operator Chair MVL2363-7,industry:business,default,https://admin.shopify.com/store/office-central/products/9776146415929,
