handle,primary_sku,manufacturer_guess,status,still_missing,filled,research_notes
lotus-dx-sit-stand-workstation-dual-monitor-arm-extra,FEL8080201,Fellowes,PARTIAL,weight,dimensions,"Model FEL8080201 = Fellowes Lotus DX Sit-Stand Workstation. Dimensions taken verbatim from the Fellowes-domain dimensional drawing PDF, which explicitly lists model 8080201. Platform width is 31.75""/806mm at lowest position and 32.75""/832mm at highest position; depth 24.25""/616mm; height range 5.5""/140mm to 22.35""/568mm. Base footprint is 30.5""/774.7mm x 16""/406.4mm. No product or shipping WEIGHT "
lectern-podium,GLO-Z2444LEC,Global Furniture Group,PARTIAL,weight,dimensions,"Model Z2444LEC (GLO-Z2444LEC) verified on Global Furniture Group's own Zira Tables model detail page (JS-rendered). Page shows only overall dimensions W 24.00"" x D 18.00"" x H 44.30""; no weight is published anywhere on the manufacturer domain. Reseller officeanything.com lists this as the 'Global Zira Lectern' but weight was not found there either. Dimensions match exactly to this SKU."
atlas-sit-to-stand-height-adjustable-desk,HTWATL2436TBL,Heartwood Manufacturing,PARTIAL,weight,dimensions,"SKU HTWATL2436TBL = Atlas single-leg base (ATL-E1-1LEG) + 24""x36"" laminate top (CAL-REC2436). Dimensions from the official Heartwood Manufacturing (HML) Atlas Sell Sheet PDF on heartwood.ca: compatible 24x36 top is verbatim '23.75 x 35.5 x 1' (W is 35.5 / D is 23.75), height range '24.5""- 50"" (including 1"" top)'. NO product or shipping weight is published anywhere on the manufacturer domains (hear"
bookcase-31-5-wide-x-13-75-deep,HTWINV4832BK,Heartwood Manufacturing,PARTIAL,weight,dimensions,"Primary SKU HTWINV4832BK = Heartwood Innovations bookcase INV-4832BK. Dimensions verified VERBATIM in the Heartwood Distributors (manufacturer-brand domain, heartwooddl.com) Innovations 2025 brochure: INV-4832BK = 31.5w x 13.75d x 47.75h. (Other listed sizes: INV-6532BK 31.5x13.75x64.5h, INV-7232BK 31.5x13.75x71.5h — matches the product's 3 size variants.) WEIGHT: not present anywhere on the manuf"
l-shape-suite-layout-41c,HDL-Layout 41C,Heartwood Manufacturing,PARTIAL,weight,dimensions,"SKU HDL-Layout 41C = Heartwood Innovations Layout #41C, read verbatim from the manufacturer's own layout brochure PDF on heartwooddl.com. The drawing labels the overall L-shape footprint as 94.5"" (long extent) x 65"" (perpendicular extent); 23.75"" and 29.5"" are component depths. Desk surface height is the Innovations standard 29"". CAUTION: the brochure presents these as drawing callouts on a plan v"
levels-bookcase,HDL LEV-6532BK,Heartwood Manufacturing,PARTIAL,weight,dimensions,"Dimensions are for the primary SKU LEV-6532BK (BOOKCASE), read verbatim from Heartwood's own Levels series brochure PDF on heartwooddl.com (manufacturer/distributor domain). The second variant LEV-SR7232BK (BOOKCASE WITH STORAGE RISER FEET) is listed on the same brochure as '31.5w x 13.75d x 71.5h'. The brochure contains NO weight data for any bookcase model; weight left empty per strict rule. (He"
levels-l-shape,HDL-LEVELS LAYOUT2,Heartwood Manufacturing,PARTIAL,weight,dimensions,"SKU HDL-LEVELS LAYOUT2 = Heartwood Levels Series Layout #2, a dealer layout code. Manufacturer brochure on heartwood.ca (LEV-LAYOUT_2.pdf) lists the component build-out (tiered desk + credenza units + file cabinet top) and shows the overall footprint as 71"" x 71"" (W x D). NO height and NO weight are stated anywhere on the manufacturer page; brochure is component-list only. Reseller desknfile.ca li"
loop-leg-table,HDL-INV-2436TBL-LOOP,Heartwood Manufacturing,PARTIAL,weight,dimensions,Primary SKU HDL-INV-2436TBL-LOOP = Innovations INV-2436TOP (24x36) + 900 loop legs. All 6 worklist sizes are confirmed available with loop legs in the official Heartwood Innovations 'Tops & Bases' brochure on heartwooddl.com. Verbatim top dims from that brochure: INV-2436TOP 35.5w x 23.75d x 1h; INV-2442TOP 41.5w x 23.75d x 1h; INV-2448TOP 47.25w x 23.75d x 1h; INV-3060TOP 59.25w x 29.5d x 1h; INV
reception-unit-72x72,HDL-Layout # 15,Heartwood Manufacturing,PARTIAL,weight,dimensions,"MANUFACTURER MATCH: This is Heartwood 'Reception series — Layout # 15', the exact config behind SKU 'HDL-Layout # 15'. Dimensions read VERBATIM from the dimensioned line drawing in Heartwood's own Layout 15 brochure PDF on heartwood.ca (the official catalog domain; heartwoodmfg.com is the same company). NOTE: the manufacturer drawing shows a 90""x90"" overall footprint, NOT the 72""x72"" in the Shopif"
indigenous-medicine-wheel-huddl,MTY-HDDLGMED#,MityBilt,PARTIAL,weight,dimensions,"SKU MTY-HDDLGMED# matches model HDDLGMED# on the manufacturer product page https://www.mitybilt.com/first-nations/graphic-medicine-wheel-huddl (Graphic Medicine Wheel Huddl). Page states Diameter 48"", Table height 29"", Seat height 18""; the manufacturer spec sheet (MedicineWheelHuddl_SpecSheet.pdf on mitybilt.com platform-os uploads CDN, model code HDDLMED#) confirms the same 48"" diameter / 29"" tab"
table-round-height-adjustable,MTY-AT48RMPL,MityBilt,PARTIAL,weight,dimensions,"SKU AT48RMPL = Aktivity Round, 48"" diameter, Maple top, AT (Aktivity) leg. Manufacturer page (mitybilt.com/aktivity/aktivity/aktivity-round) confirms 48"" diameter as an available size and lists two AT adjustable-leg height ranges (17""-25"" and 22""-30"") on the same page; reported both since the SKU does not encode which leg height. No product or shipping weight is stated anywhere on the MityBilt man"
charging-station-with-a-clamp,RIC-OME0023A1U1C90,Richelieu,PARTIAL,weight,dimensions,Manufacturer page for primary SKU OME0023A1U1C90 (Richelieu). Dimensions confirmed verbatim from the technical specs table (the depth figure is labelled 'Recessed Depth'). No product/shipping weight listed on the Richelieu manufacturer page. Mm-to-inch conversions added for reference; raw mm figures are the verbatim source.
clamp-on-power-bar-and-usb-charging-station,RIC-23213030,Richelieu,PARTIAL,weight,dimensions,"Manufacturer page for primary SKU 23213030 (Richelieu). Dimensions confirmed verbatim from the technical specs table. No product/shipping weight is listed anywhere on the Richelieu manufacturer page. The print spec PDF (m-1228437) returned HTTP 403, so could not be checked. Mm-to-inch conversions added for reference; raw mm figures are the verbatim source."
desk-power-grommet,RIC- DS86101P1A1C90,Richelieu,PARTIAL,weight,dimensions,"Matched primary SKU DS86101P1A1C90 on richelieu.com. Dimensions published in mm only: Height 69 mm, overall diameter 60 mm, bore hole 60 mm; power cable length 1 500 mm (59 in). No product/shipping weight on the manufacturer page, so weight left empty. Second variant SKU DS63202P2A1C90 is a separate config (richelieuergo.com page exists) and not measured here."
jax-keyboard-tray,RIC5008479C3,Richelieu,PARTIAL,weight,dimensions,"Manufacturer page confirmed for the exact variant SKU 5008479C3 (Jax Series Combos Keyboard Arm, Richelieu). The verbatim technical-specs table lists Depth 21.75 in and Height 6 to 16 in but NO Width line, so overall width is left out (an earlier search snippet showed a 'Width 27.25 in' / '20 in' figure but it could not be tied verbatim to the C3 spec table, so it is omitted to avoid wrong data). "
jax-sit-to-stand,RIC-5008479C3,Richelieu,PARTIAL,weight,dimensions,"SKU 5008479C3 exact match on manufacturer page (richelieu.com 'Jax Series Combos Keyboard Arm', sku-5008479C3). Technical Specifications table gives overall W/D/H plus track length verbatim. Height adjustability range 22 in (16 in above track, 6 in below). The word 'weight' does not appear anywhere on the manufacturer product page, so weight left empty."
momentum-series-combos-keyboard-arm-premium-quality,RIC 5007438C3,Richelieu,PARTIAL,weight,dimensions,"SKU 5007438C3 exact match on manufacturer page (richelieu.com). Technical Specifications table gives overall W/D/H plus track length verbatim. The word 'weight' does not appear anywhere on the manufacturer product page, so weight left empty."
power-station-with-3-outlets-and-2-usb,RIC-201314100,Richelieu,PARTIAL,weight,dimensions,"Manufacturer page (richelieu.com, SKU 201314100) lists dimensions only in mm: Height 68 mm, Width 118 mm, Length 266 mm, Recess Depth 67 mm. No product or shipping weight is published anywhere on the manufacturer page, so weight left empty."
two-stage-electric-height-adjustable-table,RIC 5002L2S244890,Richelieu,PARTIAL,weight,dimensions,"Matched primary SKU 5002L2S244890 (Desk in a Box Series, 48x24 top) on richelieu.com. Dimensions verbatim from manufacturer spec table; load capacity 176 lb listed but that is capacity, not product weight. No product or shipping weight published on the manufacturer page, so weight left empty. Second SKU 5002L2S244860 is the 48x24 (60mm? -60) variant; this row reflects the 244890 primary."
halifax-executive-suite,TAYCO-Typical 1A,Tayco,PARTIAL,weight,dimensions,"SKU 'TAYCO-Typical 1A' maps to Tayco's 'Halifax Typical 1A' multi-component room-layout configuration, not a single boxed product. Dimension reported is the layout FOOTPRINT (8' x 3' 3/4"") stated verbatim on Tayco's own Typicals resource page tied to the exact 'Typical 1A' name; not a packed-product W x D x H. WEIGHT: none on any Tayco-domain page. Halifax Pricebook lists weight per individual com"
halifax-typical-9,TAY-Halifax TYPICAL9,Tayco,PARTIAL,weight,dimensions,"Tayco 'Halifax Typical 9' is a multi-component room-layout configuration, not a single boxed product. The dimension reported is the layout FOOTPRINT (12' x 6' 1"") stated verbatim on Tayco's own Typicals resource page tied to the exact 'Typical 9' name; it is not a packed-product W x D x H. WEIGHT: none available on any Tayco-domain page. Tayco's own Halifax Pricebook (Jan 2025) states 'Tayco can p"
bar-leaner-1-span-collaborative,WS48-AXBL1260BLKWHI,Axis,UNSOURCEABLE,weight,(none),"Manufacturer = Workspace48 (SKU prefix WS48; brand 'Axis' is the Workspace48 product line, workspace48.com). Primary SKU WS48-AXBL1260BLKWHI -> base code AXBL1260, which the Workspace48 USA Pricebook 2024 (manufacturer domain) maps to a 48""w x 24""d single-span worktop. Overall height of 42"" is from the manufacturer's Axis Bar Leaner sell sheet (https://workspace48.com/wp-content/uploads/2025/06/WS"
fellowes-array-recess-ar-air-purifier-1,FEL 5889501,Fellowes,UNSOURCEABLE,dimensions+weight,(none),"Primary SKU FEL 5889501 = Array Recess AR1 UVC (a distinct long-plenum ceiling UVC unit); secondary SKU FEL 5888901 = Array Recess AR2. The two SKUs are physically different units, so per match-exactly rule no single dim/weight applies to the whole product. I could NOT verify the primary SKU 5889501 (UVC) dimensions/weight on any Fellowes domain - resellers (idmproducts.com, odpbusiness.com) list "
triple-monitor-arm,FEL8042601,Fellowes,UNSOURCEABLE,dimensions+weight,(none),"Model FEL8042601 = Fellowes Platinum Series Triple Monitor Arm. The only Fellowes-domain spec doc is a dimensional cut sheet (https://assets.fellowes.com/manuals/8042601_Dims_PlatSeries_MonitorArm_Triple.pdf) titled 'Platinum Series Triple Monitor Arm (8042601)'. It is a component-by-component engineering drawing (e.g. '705mm / 27.76' full reach span, '458mm / 18.03' pole height, '280mm / 11.02' h"
4-person-workstation,GLO-NEW1001KITS,Global Furniture Group,UNSOURCEABLE,weight,(none),SKU GLO-NEW1001KITS is a Global/Offices to Go 'newland' configured 4-person workstation KIT (the 'NEW1001KITS' designation). No standalone manufacturer model page (globalfurnituregroup.com or officestogo.com) for NEW1001 / NEW1001KITS could be located via search or direct fetch; the Newland line pages describe the series generally but carry no model NEW1001 with a weight or dimensions. Kit-level p
6-person-workstation-chairs-bridges,GLB-BRID3,Global Furniture Group,UNSOURCEABLE,weight,(none),"SKU GLB-BRID3 is a Global Bridges II multi-person cluster workstation configuration (a 'typical' assembly of many components), not a single catalog part. Manufacturer page globalfurnituregroup.com/products/bridges and /series/bridges-ii/models describe the series but list no model 'BRID3' and no single weight or overall dimensions for it. Resellers (e.g. officeanything.com) sell comparable Bridges"
