source_file,line_number,target_url,link_type,classification,shopify_status,redirect_target_if_any,recommended_action,context
theme/snippets/bbi-footer.liquid,215,/blogs/news,blog,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/blogs/news"">Blog &amp; Resources</a></li>"
theme/snippets/bbi-nav.liquid,640,/cart,other,HEALTHY,REVIEW | published=None,,None,"<a href=""/cart"" class=""bbi-minicart__view-cart"">View Cart</a>"
theme/sections/ds-lp-brands-ergocentric.liquid,238,/collections/24-hour-seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/24-hour-seating"" class=""lp-crosslinks__tile"">"
theme/templates/collection.business-furniture.json,66,/collections/accessories,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/accessories"","
theme/sections/ds-lp-industries.liquid,861,/collections/accessories,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""lp-cat-card"" href=""/collections/accessories"">"
theme/snippets/bbi-footer.liquid,186,/collections/accessories,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/accessories"">Accessories</a></li>"
theme/snippets/bbi-nav.liquid,516,/collections/accessories,collection,HEALTHY,EXISTS | published=True,,None,"<li role=""none""><a class=""bbi-nav__dd-link"" href=""/collections/accessories"" role=""menuitem"">Accessor"
theme/snippets/bbi-nav.liquid,719,/collections/accessories,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/accessories"">Accessories</a></li>"
theme/snippets/ds-browse-faq.liquid,213,/collections/accessories,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""ds-bf-cat-card"" href=""/collections/accessories"">"
theme/templates/collection.panels-room-dividers.json,10,/collections/acoustic-panels,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/acoustic-panels"","
theme/templates/collection.quiet-spaces.json,18,/collections/acoustic-pods,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/acoustic-pods"","
theme/templates/collection.seating.json,98,/collections/active-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/active-seating"","
theme/sections/ds-cart-base.liquid,216,/collections/all,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/all"" class=""bbi-cart__empty-cta"">Continue shopping</a>"
theme/sections/ds-cart-base.liquid,289,/collections/all,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/all"" class=""bbi-cart__continue"">Continue shopping</a>"
theme/sections/ds-collection-base.liquid,237,/collections/all,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/all"" class=""bbi-btn bbi-btn--primary"">Browse all products</a>"
theme/sections/ds-search-results.liquid,272,/collections/all,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/all"" class=""bbi-btn bbi-btn--primary"">Browse all products</a>"
theme/snippets/bbi-nav.liquid,910,/collections/all,collection,HEALTHY,EXISTS | published=True,,None,"+ '<a href=""/collections/all"">Start shopping</a></div>';"
theme/templates/collection.seating.json,106,/collections/beam-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/beam-seating"","
theme/templates/collection.seating.json,66,/collections/bench-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/bench-seating"","
theme/sections/ds-lp-brands-ergocentric.liquid,251,/collections/big-heavy-seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/big-heavy-seating"" class=""lp-crosslinks__tile"">"
theme/templates/collection.business-furniture.json,42,/collections/boardroom,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/boardroom"","
theme/sections/ds-lp-brands-keilhauer.liquid,156,/collections/boardroom,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""bbi-btn bbi-btn--secondary bbi-btn--lg"" href=""/collections/boardroom"">"
