surface,source_file,link_text,target_url,classification,redirect_target_if_any,recommendation
nav,theme/snippets/bbi-nav.liquid,Brant Business Interiors (logo),/,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Seating,/collections/seating,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Desks & Workstations,/collections/desks,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Storage & Filing,/collections/storage,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Tables,/collections/tables,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Boardroom,/collections/boardroom,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Ergonomic Products,/collections/ergonomic-products,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Panels & Dividers,/collections/panels-room-dividers,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Accessories,/collections/accessories,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Quiet Spaces,/collections/quiet-spaces,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Industries Hub,/pages/industries,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Healthcare,/pages/healthcare,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Education,/pages/education,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Government,/pages/government,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Non-Profit,/pages/non-profit,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Professional Services,/pages/professional-services,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Brands Hub,/pages/brands,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Keilhauer,/pages/brands-keilhauer,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,Global / Teknion,/pages/brands-global-teknion,HEALTHY-PUBLISHED,,No action
nav,theme/snippets/bbi-nav.liquid,ergoCentric,/pages/brands-ergocentric,HEALTHY-PUBLISHED,,No action
