"SECTION","value","handle_or_count","extra"
"SUB_COLLECTIONS","24 Hour (Seating)","24-hour-seating","custom | published"
"SUB_COLLECTIONS","Accessories","type-accessories","smart | published"
"SUB_COLLECTIONS","Accessories","accessories","smart | published"
"SUB_COLLECTIONS","Acoustic Panels","acoustic-panels","custom | published"
"SUB_COLLECTIONS","Acoustic Pods","acoustic-pods","custom | published"
"SUB_COLLECTIONS","Acoustic Solutions","acoustic-solutions","smart | published"
"SUB_COLLECTIONS","Active Seating","active-seating","custom | published"
"SUB_COLLECTIONS","Air Quality Management","air-quality-management","custom | published"
"SUB_COLLECTIONS","All Accessories","all-accessories","smart | published"
"SUB_COLLECTIONS","All Boardroom & Conference","all-boardroom","smart | published"
"SUB_COLLECTIONS","All Business Furniture","all-business-furniture","smart | published"
"SUB_COLLECTIONS","All Desks & Workstations","all-desks","smart | published"
"SUB_COLLECTIONS","All Ergonomic Products","all-ergonomic","smart | published"
"SUB_COLLECTIONS","All Panels & Dividers","all-panels","smart | published"
"SUB_COLLECTIONS","All Quiet Spaces","all-quiet-spaces","smart | published"
"SUB_COLLECTIONS","All Seating","all-seating","smart | published"
"SUB_COLLECTIONS","All Storage & Filing","all-storage","smart | published"
"SUB_COLLECTIONS","All Tables","all-tables","smart | published"
"SUB_COLLECTIONS","Bar Height (Tables)","bar-height-tables","custom | published"
"SUB_COLLECTIONS","Bariatric Seating","bariatric-seating","custom | published"
"SUB_COLLECTIONS","Bases","bases","custom | published"
"SUB_COLLECTIONS","Beam Seating","beam-seating","custom | published"
"SUB_COLLECTIONS","Bench Seating","bench-seating","custom | published"
"SUB_COLLECTIONS","Big & Heavy (Seating)","big-heavy-seating","custom | published"
"SUB_COLLECTIONS","Boardroom","room-boardroom","smart | published"
"SUB_COLLECTIONS","Boardroom","boardroom","smart | published"
"SUB_COLLECTIONS","Boardroom / Conference / Meeting","boardroom-conference-meeting","custom | published"
"SUB_COLLECTIONS","Boardroom / Conference / Meeting","boardroom-conference-meeting-1","custom | published"
"SUB_COLLECTIONS","Boardroom Seating","boardroom-seating","custom | published"
"SUB_COLLECTIONS","Boardroom Storage","boardroom-storage","custom | published"
"SUB_COLLECTIONS","Bookcases","bookcases","custom | published"
"SUB_COLLECTIONS","Bookcases (Storage)","bookcases-storage","custom | published"
"SUB_COLLECTIONS","Business Furniture","business-furniture","smart | published"
