"SECTION","title","handle","type","routable","products_count","add_method","add_instruction","non_routable_reasons"
"SUB_COLLECTIONS","24 Hour (Seating)","24-hour-seating","custom","Y","4","collects-post","POST /collects",""
"SUB_COLLECTIONS","Accessories","accessories","smart","Y","22","tag-write","write tag: type:accessories",""
"SUB_COLLECTIONS","Air Quality Management","air-quality-management","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","Bar Height (Tables)","bar-height-tables","custom","Y","3","collects-post","POST /collects",""
"SUB_COLLECTIONS","Bariatric Seating","bariatric-seating","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","Bases","bases","custom","Y","8","collects-post","POST /collects",""
"SUB_COLLECTIONS","Big & Heavy (Seating)","big-heavy-seating","custom","Y","10","collects-post","POST /collects",""
"SUB_COLLECTIONS","Boardroom","boardroom","smart","Y","25","tag-write","write tag: room:boardroom",""
"SUB_COLLECTIONS","Boardroom / Conference / Meeting","boardroom-conference-meeting","custom","Y","13","collects-post","POST /collects",""
"SUB_COLLECTIONS","Bookcases","bookcases","custom","Y","9","collects-post","POST /collects",""
"SUB_COLLECTIONS","Bookcases (Storage)","bookcases-storage","custom","Y","13","collects-post","POST /collects",""
"SUB_COLLECTIONS","Cafe/Lounge Seating","cafe-lounge-seating","custom","Y","8","collects-post","POST /collects",""
"SUB_COLLECTIONS","Cafeteria & Breakroom Tables","cafeteria-breakroom-tables","custom","Y","3","collects-post","POST /collects",""
"SUB_COLLECTIONS","Cafeteria / Kitchen (Tables)","cafeteria-kitchen-tables","custom","Y","4","collects-post","POST /collects",""
"SUB_COLLECTIONS","Chair Mats & Floor Protection","chair-mats","custom","Y","1","collects-post","POST /collects",""
"SUB_COLLECTIONS","Chairmat (Accessories)","chairmat-accessories","custom","Y","3","collects-post","POST /collects",""
"SUB_COLLECTIONS","Chairmats (Accessories)","chairmats-accessories","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","Coffee Tables","coffee-tables","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","Combo Units","combo-units","custom","Y","18","collects-post","POST /collects",""
"SUB_COLLECTIONS","Credenza's","credenzas","custom","Y","9","collects-post","POST /collects",""
"SUB_COLLECTIONS","Desk Top Dividers","desk-top-dividers","custom","Y","4","collects-post","POST /collects",""
"SUB_COLLECTIONS","Desk Top Sit / Stand","desk-top-sit-stand","custom","Y","9","collects-post","POST /collects",""
"SUB_COLLECTIONS","Desk Top Sit / Stand (Ergonomic Products)","desk-top-sit-stand-ergonomic-products","custom","Y","7","collects-post","POST /collects",""
"SUB_COLLECTIONS","Desks & Workstations","desks","smart","Y","42","tag-write","write tag: type:desks",""
"SUB_COLLECTIONS","Desks-Straight","desks-straight","custom","Y","18","collects-post","POST /collects",""
"SUB_COLLECTIONS","Desktop Risers","desktop-risers","custom","Y","4","collects-post","POST /collects",""
"SUB_COLLECTIONS","Desktop Sit Stand","desktop-sit-stand","custom","Y","10","collects-post","POST /collects",""
"SUB_COLLECTIONS","Drafting Tables","drafting-tables","custom","Y","7","collects-post","POST /collects",""
"SUB_COLLECTIONS","End tables (Tables)","end-tables-tables","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","ergoCentric","ergocentric","smart","Y","1","tag-write","write tag: brand:ergocentric",""
"SUB_COLLECTIONS","Fire Resistant File Cabinets","fire-resistant-file-cabinets","custom","Y","6","collects-post","POST /collects",""
"SUB_COLLECTIONS","Fire Resistant File Cabinets & Safes","fire-resistant-file-cabinets-safes","custom","Y","4","collects-post","POST /collects",""
"SUB_COLLECTIONS","Fire Resistant File Cabinets (Storage)","fire-resistant-file-cabinets-storage","custom","Y","6","collects-post","POST /collects",""
"SUB_COLLECTIONS","Fire Resistant Safes","fire-resistant-safes","custom","Y","5","collects-post","POST /collects",""
"SUB_COLLECTIONS","Fire Resistant Safes (Storage)","fire-resistant-safes-storage","custom","Y","11","collects-post","POST /collects",""
"SUB_COLLECTIONS","Folding Tables (Tables)","folding-tables-tables","custom","Y","8","collects-post","POST /collects",""
"SUB_COLLECTIONS","Folding/Stacking Chairs & Carts","folding-stacking-chairs-carts","custom","Y","7","collects-post","POST /collects",""
"SUB_COLLECTIONS","Furniture","furniture","custom","Y","3","collects-post","POST /collects",""
"SUB_COLLECTIONS","Gaming","gaming","custom","Y","3","collects-post","POST /collects",""
"SUB_COLLECTIONS","Global / Teknion","global-teknion","smart","Y","72","tag-write","write tag: brand:global-furniture-group",""
"SUB_COLLECTIONS","Global Desks & Workstations","gfg-desks","smart","Y","9","tag-write-multi","write ALL: ['brand:global-furniture-group', 'type:desks']",""
