handle,template_suffix,shopify_page_id,has_theme_template,has_worktree_template,published,status
about,about,170825220409,true,false,draft,DRAFT_OK_TEMPLATE
brand-dealer,(missing),(missing),true,false,no_record,STALE_ORPHAN
brands,brands,170824958265,true,false,draft,DRAFT_OK_TEMPLATE
brands-ergocentric,brands-ergocentric,170825023801,true,false,draft,DRAFT_OK_TEMPLATE
brands-global-teknion,brands-global-teknion,170825056569,true,false,draft,DRAFT_OK_TEMPLATE
brands-keilhauer,brands-keilhauer,170824991033,true,false,draft,DRAFT_OK_TEMPLATE
contact,contact,134463553849,true,false,published,OK_DEVONLY_DRIFT
customer-stories,(missing),(missing),true,false,no_record,ROOT_CAUSE_404
delivery,delivery,170825253177,true,false,draft,DRAFT_OK_TEMPLATE
design-services,design-services,170804314425,true,true,published,OK
education,education,170812571961,true,true,published,OK
faq,faq,170802315577,true,true,published,OK
government,government,170812604729,true,true,published,OK
healthcare,healthcare,170811195705,true,true,published,OK
industries,industries,170807591225,true,true,published,OK
non-profit,non-profit,170812637497,true,true,published,OK
oecm,oecm,170335830329,true,true,published,OK
our-work,our-work,170825318713,true,false,draft,DRAFT_OK_TEMPLATE
professional-services,professional-services,170812670265,true,true,published,OK
quote,quote,170512023865,true,true,published,OK
relocation,relocation,170825285945,true,false,draft,DRAFT_OK_TEMPLATE
smoke-test,(missing),(missing),true,false,no_record,STALE_ORPHAN
