url,template_type,strategy,lighthouse_score,lcp_ms,fid_ms,cls,tbt_ms,classification,top_opportunity_1,top_opportunity_2,top_opportunity_3
https://www.brantbusinessinteriors.com/,index,mobile,62,10506,145,0.000,324,FAIL,Reduce unused JavaScript,,
https://www.brantbusinessinteriors.com/pages/about,page.about,mobile,61,11557,146,0.001,243,FAIL,Reduce unused JavaScript,Reduce unused CSS,
https://www.brantbusinessinteriors.com/pages/contact,page.contact,mobile,74,5783,114,0.000,149,FAIL,Reduce unused JavaScript,Reduce unused CSS,
https://www.brantbusinessinteriors.com/pages/our-work,page.our-work,mobile,66,4501,217,0.000,539,FAIL,Reduce unused CSS,,
https://www.brantbusinessinteriors.com/pages/oecm,page.oecm,mobile,68,5610,154,0.000,317,FAIL,Reduce unused CSS,Reduce unused JavaScript,
https://www.brantbusinessinteriors.com/pages/quote,page.quote,mobile,74,4801,185,0.000,258,FAIL,,,
https://www.brantbusinessinteriors.com/collections/seating,collection.category,mobile,60,12512,138,0.040,319,FAIL,Reduce unused JavaScript,,
https://www.brantbusinessinteriors.com/collections/desks,collection.category,mobile,50,11872,240,0.040,682,FAIL,Reduce unused JavaScript,,
https://www.brantbusinessinteriors.com/collections/business-furniture,collection.business-furniture,mobile,55,12224,286,0.000,515,FAIL,Reduce unused JavaScript,,
https://www.brantbusinessinteriors.com/products/l-shape-desk-3-sizes-13-colours,product,mobile,64,12518,108,0.036,186,FAIL,Reduce unused JavaScript,Reduce unused CSS,
