handle,product_id,position,scene,filename,source_hero_url,fal_url,local_path,score,match,reason,status,retries,timestamp
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,9782474211641,2,sceneA-institutional,institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos2__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f1/-9MLeJFnRthBKkuGbc7o2_2dc817a6d22f43c7a0f4562694a96e98.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos2__sceneA-institutional.jpg,3,False,"The generated product has three drawers instead of two, and the proportions are slightly different.",FLAG_HUMAN,0,20260428-202927
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,9782474211641,3,sceneB-smb,institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos3__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f3/GY_HxBYV4J5M4B2RhBspp_5f0432f98e934f03bf97800f1e6c1833.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos3__sceneB-smb.jpg,9,True,"The generated product image closely matches the reference product in form, color, material, hardware, and proportions.",OK,0,20260428-202927
institutional-series-lateral-file-cabinet-2-3-4-5-drawer,9782474211641,4,studio-white,institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos4__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Institutional-Series-Lateral-File-Cabinet-_2_3_4-_-5-Drawer_-Business-Interiors-16777185.jpg?v=1750130655,https://v3b.fal.media/files/b/0a9814f4/l2kEO4X7FLNhCseRerUPA_a6f3d117a0374d5aa56e20879d9c6d35.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/institutional-series-lateral-file-cabinet-2-3-4-5-drawer__pos4__studio-white.jpg,9,True,"The product in B is a near-perfect match to the product in A in all aspects, including scale, proportions, color, and design elements like the drawer handles and lock.",OK,0,20260428-202927
otg13026-safari-medium-mesh-back-tilter-chair,9712926556473,2,sceneA-institutional,otg13026-safari-medium-mesh-back-tilter-chair__pos2__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814e9/zU19Sbn5Otl-XQttGSZht_3c0d59a1197844579ace899bec76d97b.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/otg13026-safari-medium-mesh-back-tilter-chair__pos2__sceneA-institutional.jpg,9,True,"The generated image accurately depicts the product in terms of form, color, material, hardware, and proportions, seamlessly integrating it into an office environment.",OK,0,20260428-202927
otg13026-safari-medium-mesh-back-tilter-chair,9712926556473,3,sceneB-smb,otg13026-safari-medium-mesh-back-tilter-chair__pos3__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814eb/QEQT_XCA8wAfjYzBeLGTd_1550895632d44203baeea475d1b53c71.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/otg13026-safari-medium-mesh-back-tilter-chair__pos3__sceneB-smb.jpg,9,True,"The product in B closely matches the product in A in terms of form, color, material, hardware, and proportions.",OK,0,20260428-202927
otg13026-safari-medium-mesh-back-tilter-chair,9712926556473,4,studio-white,otg13026-safari-medium-mesh-back-tilter-chair__pos4__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/OTG13026-Safari-_-Medium-Mesh-Back-Tilter-Chair-Business-Interiors-16740482.jpg?v=1750123153,https://v3b.fal.media/files/b/0a9814ec/3Clv1UdBDtSwtHAdMRS-H_458c6decbe2e427db05ed3844f206450.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/otg13026-safari-medium-mesh-back-tilter-chair__pos4__studio-white.jpg,9,True,"The generated image accurately depicts the product in the reference image, matching its form, color, material, hardware, and proportions.",OK,0,20260428-202927
teknion-boardroom,9748332216633,2,sceneA-institutional,teknion-boardroom__pos2__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a9814f5/Vk6gyEjQuZL-TOLmCj7M4_57972c8c6f8b4da28aefcee3d0663dc9.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/teknion-boardroom__pos2__sceneA-institutional.jpg,9,True,"The product in B matches the product in A in form, color, material, hardware, and proportions.",OK,0,20260428-202927
teknion-boardroom,9748332216633,3,sceneB-smb,teknion-boardroom__pos3__sceneB-smb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a9814f7/CmKd_ibOVpbNrCLjsfo3z_95c83ba5394341f396d8a5574532096b.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/teknion-boardroom__pos3__sceneB-smb.jpg,4,False,"The chairs in image B are different in form, color, and material from the chairs in image A.",FLAG_HUMAN,0,20260428-202927
teknion-boardroom,9748332216633,4,studio-white,teknion-boardroom__pos4__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Teknion-_Boardroom_-Business-Interiors-16758665.png?v=1750126990,https://v3b.fal.media/files/b/0a9814f8/J0wLY-R9USjzseYHY-F41_ed7f24a11bb94bcb9e1b77a16cc102cc.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/teknion-boardroom__pos4__studio-white.jpg,2,False,The chairs in image B are significantly different in shape and design compared to the reference image A.,FLAG_HUMAN,0,20260428-202927
u-shape-d-top-workstation,9720842944825,2,sceneA-institutional,u-shape-d-top-workstation__pos2__sceneA-institutional.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U-Shape-D-Top-Workstation-Business-Interiors-16741545.png?v=1750123386,https://v3b.fal.media/files/b/0a9814ee/SJkRT68AJKI5dNCR-0AlC_8068b869812640cf88baa851f9376bb7.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase1/batch-pilot/u-shape-d-top-workstation__pos2__sceneA-institutional.jpg,8,True,"The product in B closely matches the product in A in terms of form, color, material, and proportions.",OK,0,20260428-202927
