handle,product_id,position,scene,filename,source_hero_url,fal_url,local_path,score,match,reason,status,retries,timestamp
rebound-armchair-polypropylene-seat-1,9693093790009,2,studio-white,rebound-armchair-polypropylene-seat-1__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/ReboundTM-Armchair_-Polypropylene-Seat-Business-Interiors-16730565.jpg?v=1750121011,https://v3b.fal.media/files/b/0a98e61a/vaFKpWc_R1ZQe1LMYN27-_976ad3744c7944179602a7930d677c77.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/rebound-armchair-polypropylene-seat-1__pos2__studio-white.jpg,9,True,"The generated image closely matches the reference product in form, color, material, hardware, and proportions.",OK,0,20260504-162725
reception-desk-84-x-84-1,9098379854137,2,studio-white,reception-desk-84-x-84-1__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Reception-Desk-84_-x-84_-Business-Interiors-16684521.jpg?v=1750111251,https://v3b.fal.media/files/b/0a98e61d/ulpq8EfFzoHHquud4MJpn_1d66229469544d159e083bf78830ee0f.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/reception-desk-84-x-84-1__pos2__studio-white.jpg,3,False,"The generated image is missing a prominent dark brown drawer/cabinet panel on the right side of the desk, and the central top shelf has a dark rectangular opening not present in the reference.",FLAG_HUMAN,0,20260504-162725
recycled-plastic-picnic-tables,9676931498297,2,studio-white,recycled-plastic-picnic-tables__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Recycled-Plastic-Picnic-Tables-Business-Interiors-16714148.png?v=1750117475,https://v3b.fal.media/files/b/0a98e622/f8n7YN2GuGY8UX-IXOVtb_e0f1c8c8573f411d9dddc8b9042ab5ab.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/recycled-plastic-picnic-tables__pos2__studio-white.jpg,9,True,"The generated image closely matches the reference product in form, color, material, and proportions.",OK,0,20260504-162725
regalia-task-mesh-chair-otg10892,9706986733881,2,studio-white,regalia-task-mesh-chair-otg10892__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Regalia-Task-Mesh-Chair-OTG10892-Business-Interiors-16736428.jpg?v=1750122311,https://v3b.fal.media/files/b/0a98e624/L84Hfrwx8Eq57rUmyU6Q2_3dc5f94803fd45ecab05fe709f6be450.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/regalia-task-mesh-chair-otg10892__pos2__studio-white.jpg,9,True,"The generated product image closely matches the reference product image in all aspects, including form, color, material, and proportions.",OK,0,20260504-162725
robust-high-back-multi-tilter-chair-2526,9905517953337,2,studio-white,robust-high-back-multi-tilter-chair-2526__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-default-title-robust-high-back-multi-tilter-chair-2526-43033490587961.png?v=1759098262,https://v3b.fal.media/files/b/0a98e626/j1xOTfvhgqdLAQ062J7Gy_c2112afbe34b4b15bcf6a52246c016d4.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/robust-high-back-multi-tilter-chair-2526__pos2__studio-white.jpg,9,True,"The generated image closely matches the reference product in all aspects, including form, color, material, hardware, and proportions.",OK,0,20260504-162725
robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475,9666742124857,2,studio-white,robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Robust-High-Back-Multi-Tilter-Chair-500lb-Weight-Capacity-GLB74475-Business-Interiors-16701582.png?v=1750115099,https://v3b.fal.media/files/b/0a98e62b/VMcxbH-oaMcHmxjj2sN0V_c6082a7950424acfaf3d6bfbd5ed4690.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475__pos2__studio-white.jpg,9,True,"The generated image accurately depicts the product from the reference photo in terms of form, color, material, hardware, and proportions.",OK,0,20260504-162725
roma-1900-nesting-chair,9719788732729,2,studio-white,roma-1900-nesting-chair__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Roma-1900-Nesting-Chair-Business-Interiors-16741115.png?v=1750123300,https://v3b.fal.media/files/b/0a98e62d/DqqldrpaUSJUSf-TxoZqz_cd5db0893cff4cb9be7da2035a4406e5.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/roma-1900-nesting-chair__pos2__studio-white.jpg,9,True,The product in B is a near-perfect match to the product in A in all visible aspects.,OK,0,20260504-162725
round-table-29-high,9680085844281,2,studio-white,round-table-29-high__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Round-Table-29_-High-Business-Interiors-16714371.png?v=1750117518,https://v3b.fal.media/files/b/0a98e632/VaGq3rA9jEL-HqWHHa3gG_e7c1c98ea9a84ef7b576d089a66a6a0f.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/round-table-29-high__pos2__studio-white.jpg,9,True,"The generated image closely matches the reference product in terms of form, color, material, hardware, and proportions.",OK,0,20260504-162725
round-table-29-high-8-colours,10128782164281,2,studio-white,round-table-29-high-8-colours__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-02-25122811.png?v=1772040513,https://v3b.fal.media/files/b/0a98e634/6XdYZYXwvLiiNAoN5Zxxk_74ba2ba6b9604fedb92fd4a795ce7a35.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/round-table-29-high-8-colours__pos2__studio-white.jpg,9,True,"The chairs and table in image B are an almost perfect match to image A in form, color, material, hardware, and proportions.",OK,0,20260504-162725
round-table-42,10132451787065,2,studio-white,round-table-42__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-03-03101935.png?v=1772551371,https://v3b.fal.media/files/b/0a98e636/5-HUc_3Cyq6SyfpkaK4ON_8aa6a44812704e70b958c5534d0c250c.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/round-table-42__pos2__studio-white.jpg,9,True,"The generated image accurately replicates the form, color, material, and proportions of the reference product as a round table with a pedestal base.",OK,0,20260504-162725
round-table-42-high-bar-height,9103357116729,2,studio-white,round-table-42-high-bar-height__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Round-Table-42_-High-Bar-Height-Business-Interiors-16690812.jpg?v=1750112665,https://v3b.fal.media/files/b/0a98e638/j-5UENVvFsZEMI3uRfKMv_25a6542c96904b20877c083e0fb85eb7.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/round-table-42-high-bar-height__pos2__studio-white.jpg,9,True,"The generated image closely matches the reference product in terms of form, color, material, hardware, and proportions.",OK,0,20260504-162725
round-table-cross-base-8-colours,9841829478713,2,studio-white,round-table-cross-base-8-colours__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-28-5-high-black-36-round-table-cross-base-8-colours-42641723654457.png?v=1759098255,https://v3b.fal.media/files/b/0a98e63d/kJ5nJqKbaexn_nUypSDNG_90197b3c43bb434bb116d527caccea93.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/round-table-cross-base-8-colours__pos2__studio-white.jpg,3,False,"The generated image deviates significantly in color, material, and texture compared to the reference product.",FLAG_HUMAN,0,20260504-162725
round-table-glass-top,9673696248121,2,studio-white,round-table-glass-top__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Round-Table-Glass-Top-Business-Interiors-16711039.png?v=1750116812,https://v3b.fal.media/files/b/0a98e641/H-p6o6iKV3lsovDGDXHYY_69ce831654cf486fa4672202aba900ed.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/round-table-glass-top__pos2__studio-white.jpg,9,True,"The generated image closely matches the reference product in form, color, material, hardware, and proportions.",OK,0,20260504-162725
round-table-glass-top-1,9673698214201,2,studio-white,round-table-glass-top-1__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Round-Table-Glass-Top-Business-Interiors-16711119.png?v=1750116833,https://v3b.fal.media/files/b/0a98e645/X8_Jd9194Bnk5-3WzmIpQ_50b25932532e48e8bd040f7cddebb7ff.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/round-table-glass-top-1__pos2__studio-white.jpg,9,True,"The generated product in image B is an almost perfect match to the reference product in image A in form, color, material, and proportions.",OK,0,20260504-162725
round-table-x-base-5,9103337423161,2,studio-white,round-table-x-base-5__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Round-Table-X-Base-Business-Interiors-16690375.jpg?v=1750112551,https://v3b.fal.media/files/b/0a98e62e/zlPXsTHMac-QPlZxdDJ3v_be496540ed914ba7a270954166423ada.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/round-table-x-base-5__pos2__studio-white.jpg,10,True,"The generated image accurately matches the reference product in form, color, material, hardware, and proportions.",OK,0,20260504-162725
safco-2130sl-desk-mount-for-monitor-keyboard,9710313079097,2,studio-white,safco-2130sl-desk-mount-for-monitor-keyboard__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Safco-2130SL-Desk-Mount-for-Monitor_-Keyboard-Business-Interiors-16737025.png?v=1750122437,https://v3b.fal.media/files/b/0a98e64b/95rUE_2n9oIu2Tr3Pw040_b20fad6b81d3422bac6ed714b68d6b6d.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/safco-2130sl-desk-mount-for-monitor-keyboard__pos2__studio-white.jpg,9,True,The product in image B is a near-perfect match to the product in image A in all aspects.,OK,0,20260504-162725
safe-digital-fire-water-file,9103180366137,2,studio-white,safe-digital-fire-water-file__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Safe-Digital-Fire-Water-File-Business-Interiors-16687483.jpg?v=1750111891,https://v3b.fal.media/files/b/0a98e652/kp0BNzoG5F7ySaEZG03ND_2940cdb7173148f4b6dee2fc101abc2a.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/safe-digital-fire-water-file__pos2__studio-white.jpg,9,True,"The generated image closely matches the reference product in form, color, material texture, visible hardware, and proportions.",OK,0,20260504-162725
safe-small-security-safe-with-electronic-lock-8-7-x-13-8-x-10-6-3,9103180693817,2,studio-white,safe-small-security-safe-with-electronic-lock-8-7-x-13-8-x-10-6-3__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Safe-Small-Security-Safe-with-Electronic-Lock-8.7_-x-13.8_-x-10.6_-Business-Interiors-16687538.jpg?v=1750111914,https://v3b.fal.media/files/b/0a98e657/YUliOahPvr1vj-buuIhNT_68c29a78e37549d183cf0c7ce151043c.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/safe-small-security-safe-with-electronic-lock-8-7-x-13-8-x-10-6-3__pos2__studio-white.jpg,9,True,"The product in B closely matches the product in A in form, color, material, hardware, and proportions.",OK,0,20260504-162725
security-safe-39-x-26-5-x-26-5-1,9103329820985,2,studio-white,security-safe-39-x-26-5-x-26-5-1__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Security-Safe-39_-x-26.5_-x-26.5_-Business-Interiors-16689922.jpg?v=1750112459,https://v3b.fal.media/files/b/0a98e65c/Hvt8Pi4ihDnEz-ECkgF7i_487f8f1af26c48cf99f895460c7363af.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/security-safe-39-x-26-5-x-26-5-1__pos2__studio-white.jpg,9,True,"The generated image accurately represents the product from the reference image in all aspects, including form, color, material, hardware, and proportions.",OK,0,20260504-162725
security-safe-fire-resistant-50-5-x-26-5-1,9103328969017,2,studio-white,security-safe-fire-resistant-50-5-x-26-5-1__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Security-Safe-Fire-Resistant-50.5_-x-26.5_-Business-Interiors-16689817.jpg?v=1750112437,https://v3b.fal.media/files/b/0a98e662/ods7c_PrEWmA8VCpXRhKA_c2246d3dd29948f180fb40b698c068da.jpg,/Users/leokatz/Desktop/Office Central/data/img2img/phase2/phase2-batch-08/security-safe-fire-resistant-50-5-x-26-5-1__pos2__studio-white.jpg,9,True,"The generated image accurately matches the reference product in form, color, material, hardware, and proportions.",OK,0,20260504-162725
