handle,title,action,id,disjunctive
all-seating,All Seating,created,526906327353,False
all-desks,All Desks & Workstations,created,526906360121,False
all-storage,All Storage & Filing,created,526906392889,False
all-tables,All Tables,created,526906425657,False
all-boardroom,All Boardroom & Conference,created,526906491193,False
all-ergonomic,All Ergonomic Products,created,526906523961,False
all-panels,All Panels & Dividers,created,526906556729,False
all-accessories,All Accessories,created,526906589497,False
all-quiet-spaces,All Quiet Spaces,created,526906622265,False
all-business-furniture,All Business Furniture,created,526906655033,True
keilhauer,Keilhauer,error,,False
global-teknion,Global / Teknion,error,,False
ergocentric,ergoCentric,error,,False
oecm-eligible,OECM-Eligible Products,created,526906687801,False
