url,template_type,notes
/,homepage,index template
/pages/about,page.about,top-level BBI page
/pages/oecm,page.oecm,top-level BBI page
/pages/brands,page.brands,top-level BBI page
/pages/healthcare,page.healthcare,industry sub-page
/pages/customer-stories,page.customer-stories,top-level BBI page
/pages/contact,page.contact,top-level BBI page
/pages/our-work,page.our-work,top-level BBI page
/pages/delivery,page.delivery,top-level BBI page
/pages/relocation,page.relocation,top-level BBI page
/collections/seating,collection (cc-base),Level-2 category hub
/collections/task-seating,collection (cs-base),sub-collection (Level-3)
/products/vitrola-lounge-seating-4-size-options,product,PDP
/this-does-not-exist,404,404 page
/cart,cart,Starlite chrome (non-BBI — negative control)
