hub_handle,brand_rank,vendor_name,product_count
seating,1,Brant Business Interiors,154
seating,2,Global Furniture Group,30
seating,3,ObusForme,6
seating,4,Offices to Go,2
seating,5,Teknion,2
desks,1,Brant Business Interiors,91
desks,2,Offices to Go,3
desks,3,Global Furniture Group,2
desks,4,Safco,2
storage,1,Brant Business Interiors,78
storage,2,Offices to Go,3
storage,3,Heartwood Manufacturing,1
tables,1,Brant Business Interiors,98
tables,2,Teknion,2
tables,3,Safco,2
tables,4,Offices to Go,1
tables,5,Global Furniture Group,1
boardroom,1,Brant Business Interiors,81
boardroom,2,Teknion,2
boardroom,3,Safco,2
boardroom,4,Offices to Go,1
boardroom,5,Global Furniture Group,1
accessories,1,Brant Business Interiors,89
accessories,2,Humanscale,2
ergonomic-products,1,ergoCentric,0
ergonomic-products,2,Keilhauer,0
ergonomic-products,3,Global Furniture,0
ergonomic-products,4,Teknion,0
ergonomic-products,5,Brand 5,0
ergonomic-products,6,Brand 6,0
ergonomic-products,7,Brand 7,0
ergonomic-products,8,Brand 8,0
panels-room-dividers,1,ergoCentric,0
panels-room-dividers,2,Keilhauer,0
panels-room-dividers,3,Global Furniture,0
panels-room-dividers,4,Teknion,0
panels-room-dividers,5,Brand 5,0
panels-room-dividers,6,Brand 6,0
panels-room-dividers,7,Brand 7,0
panels-room-dividers,8,Brand 8,0
quiet-spaces,1,ergoCentric,0
quiet-spaces,2,Keilhauer,0
quiet-spaces,3,Global Furniture,0
quiet-spaces,4,Teknion,0
quiet-spaces,5,Brand 5,0
quiet-spaces,6,Brand 6,0
quiet-spaces,7,Brand 7,0
quiet-spaces,8,Brand 8,0
