sub_handle,parent_hub,product_count,template_suffix,image_url_params,cta_target_breakdown,notes
active-seating,seating,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
executive-desks,desks,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
personal-storage,storage,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
cafe-tables,tables,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
boardroom-seating,boardroom,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
ergonomic-accessories,ergonomic-products,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
privacy-screens,panels-room-dividers,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
acoustic-pods,quiet-spaces,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
desk-accessories,accessories,0,base,n/a (empty),n/a,New T4 shell; 0 products; shows empty-state div
highback-seating,seating,5+,none (legacy),width:480 only — no height/crop param,100% quote-only (price=None/unavail),Legacy collection on Starlite default template; all products price=null / unavailable
l-shape-desks-desks,desks,5+,none (legacy),width:480 only — no height/crop param,100% quote-only (price=None/unavail),Legacy collection on Starlite default template
lateral-files-storage,storage,5+,none (legacy),width:480 only — no height/crop param,100% quote-only (price=None/unavail),Legacy collection on Starlite default template
meeting-tables,tables,5+,none (legacy),width:480 only — no height/crop param,100% quote-only (price=None/unavail),Legacy collection on Starlite default template
boardroom-conference-meeting,boardroom,5+,none (legacy),width:480 only — no height/crop param,100% quote-only (price=None/unavail),Legacy collection on Starlite default template; overlaps boardroom-seating products
height-adjustable-tables,ergonomic-products,5+,none (legacy),width:480 only — no height/crop param,100% quote-only (price=None/unavail),Legacy collection on Starlite default template
keilhauer,brand,0,base,n/a (empty),n/a,Brand sub-collection; has template=base but 0 products
