id,handle,title,collection_type,template_suffix,products_count,published_at,created_at,updated_at,rules_summary
473194987833,24-hour-seating,24 Hour (Seating),custom,,4,2024-03-25T04:38:32-04:00,,2026-05-07T12:56:15-04:00,
502852976953,adjustable-2-shelf-units,Adjustable 2 Shelf Units,custom,,,2025-05-26T10:19:58-04:00,,2025-06-16T17:59:30-04:00,
502853108025,adjustable-block-shelf-units,Adjustable Block Shelf Units,custom,,,2025-05-26T10:20:49-04:00,,2025-06-16T17:59:33-04:00,
502853009721,adjustable-hinged-units,Adjustable Hinged Units,custom,,,2025-05-26T10:20:17-04:00,,2025-06-16T17:59:36-04:00,
488788427065,air-quality-management,Air Quality Management,custom,,5,2024-11-23T09:42:08-05:00,,2026-05-04T16:12:17-04:00,
501173649721,all,Products,smart,,648,,,2026-05-07T07:30:23-04:00,"[{""column"": ""type"", ""relation"": ""not_equals"", ""condition"": ""Avis-add-charge""}, {""column"": ""type"", ""relation"": ""not_equals"", ""condition"": ""mws_apo_generated""}]"
471844290873,anti-fatigue-mats,Anti-Fatigue Mats,custom,,,2024-02-25T23:35:16-05:00,,2026-05-07T12:56:43-04:00,
502853697849,art-easel,Art Easel,custom,,,2025-05-26T10:24:29-04:00,,2025-06-16T17:59:47-04:00,
502851830073,arts-crafts,Arts & Crafts,custom,,,2025-05-26T09:45:08-04:00,,2025-06-16T17:59:50-04:00,
487507263801,audio-visual-equipment,Audio Visual Equipment,custom,,,2024-11-03T12:02:04-05:00,,2026-05-07T12:56:38-04:00,
500230586681,av-stand,AV Stand,custom,,1,2025-04-15T10:36:19-04:00,,2026-05-02T18:18:20-04:00,
488825553209,avada-best-sellers,AVADA - Best Sellers,smart,,624,,,2026-05-07T07:30:23-04:00,"[{""column"": ""variant_price"", ""relation"": ""greater_than"", ""condition"": ""0""}, {""column"": ""type"", ""relation"": ""not_equals"", ""condition"": ""mws_apo_generated""}]"
473196495161,bar-height-tables,Bar Height (Tables),custom,,3,2024-03-25T04:54:02-04:00,,2026-05-07T12:56:35-04:00,
476853502265,bariatric-seating,Bariatric Seating,custom,,5,2024-06-10T16:23:35-04:00,,2026-05-02T18:15:18-04:00,
508414198073,bariatric-seating-1,Bariatric Seating,custom,,,2025-07-31T14:35:17-04:00,,2025-07-31T14:35:17-04:00,
493802160441,bases,Bases,custom,,8,2025-02-11T13:14:02-05:00,,2026-05-02T18:19:10-04:00,
508417737017,beds-matresses,Beds & Mattresses,custom,,,2025-07-31T14:36:02-04:00,,2025-07-31T14:36:12-04:00,
508405154105,bedside-tables,Bedside Tables,custom,,,2025-07-31T14:32:02-04:00,,2025-07-31T14:32:02-04:00,
502854156601,benches,Benches,custom,,,2025-05-26T10:28:40-04:00,,2025-06-16T18:00:07-04:00,
476571205945,benching-1,Benching,custom,,,2024-06-04T13:15:35-04:00,,2025-06-16T18:00:12-04:00,
473196101945,benching-desks,Benching (Desks),custom,,1,2024-03-25T04:50:24-04:00,,2026-05-07T12:56:20-04:00,
473195086137,big-heavy-seating,Big & Heavy (Seating),custom,,10,2024-03-25T04:38:43-04:00,,2026-05-07T12:56:16-04:00,
502853402937,bin-storage-tower,Bin Storage Tower,custom,,,2025-05-26T10:22:40-04:00,,2025-06-16T18:00:24-04:00,
471512482105,binder-accessories,Binder & Accessories,custom,,,2024-02-19T02:33:24-05:00,,2025-06-16T18:00:27-04:00,
471512547641,binder-pockets,Binder Pockets,custom,,,2024-02-19T02:33:51-05:00,,2025-06-16T18:00:30-04:00,
471512678713,blinder,Blinder,custom,,,2024-02-19T02:41:21-05:00,,2025-06-16T18:00:33-04:00,
502853075257,block-shelf-units,Block Shelf Units,custom,,,2025-05-26T10:20:32-04:00,,2025-06-16T18:00:35-04:00,
473198788921,boardroom-conference-meeting,Boardroom / Conference / Meeting,custom,,11,2024-03-25T05:25:20-04:00,,2026-05-07T12:56:37-04:00,
477692231993,boardroom-conference-meeting-1,Boardroom / Conference / Meeting,custom,,10,2024-06-28T17:22:54-04:00,,2026-05-02T18:18:22-04:00,
476855042361,book-carts,Book Carts,custom,,1,2024-06-10T17:02:25-04:00,,2026-05-02T18:16:34-04:00,
502853501241,book-carts-easels,Book Carts & Easels,custom,,,2025-05-26T10:23:26-04:00,,2025-06-16T18:00:52-04:00,
502853468473,book-display-book-racks,Book Display & Book Racks,custom,,,2025-05-26T10:23:09-04:00,,2025-06-16T18:00:55-04:00,
502851699001,book-displays-storage,Book Displays & Storage,custom,,,2025-05-26T09:44:05-04:00,,2025-06-16T18:00:58-04:00,
471750443321,bookcases,Bookcases,custom,,9,2024-02-23T05:56:29-05:00,,2026-05-02T18:18:53-04:00,
502853140793,bookcases-1,Bookcases,custom,,1,2025-05-26T10:21:07-04:00,,2026-05-02T18:18:53-04:00,
473349914937,bookcases-storage,Bookcases (Storage),custom,,13,2024-03-28T00:47:12-04:00,,2026-05-07T12:56:25-04:00,
502854058297,boot-cubby,Boot Cubby,custom,,,2025-05-26T10:27:58-04:00,,2025-06-16T18:01:10-04:00,
476076998969,bundle-builder-products,Bundle Builder Products,smart,,,,,2025-06-16T17:48:55-04:00,"[{""column"": ""type"", ""relation"": ""equals"", ""condition"": ""Custom Bundle""}, {""column"": ""type"", ""relation"": ""not_contains"", ""condition"": ""mws_fee_generated""}, {""column"": ""type"", ""relation"": ""not_equals"", "
498337218873,buy-canadian,Buy Canadian,custom,,,2025-03-22T18:22:39-04:00,,2025-06-16T18:01:13-04:00,
471686054201,cabinets-racks-accessories,Cabinets & Racks Accessories,custom,,,2024-02-22T14:18:11-05:00,,2025-06-16T18:01:16-04:00,
476854878521,cafe-lounge-seating,Cafe/Lounge Seating,custom,,8,2024-06-10T16:59:38-04:00,,2026-05-02T18:18:37-04:00,
471844749625,cafeteria-breakroom-tables,Cafeteria & Breakroom Tables,custom,,3,2024-02-25T23:56:55-05:00,,2026-05-02T18:18:05-04:00,
473196462393,cafeteria-kitchen-tables,Cafeteria / Kitchen (Tables),custom,,4,2024-03-25T04:53:42-04:00,,2026-05-07T12:56:34-04:00,
471685005625,carpet-chair-mats,Carpet Chair Mats,custom,,,2024-02-22T13:44:03-05:00,,2025-08-22T12:36:33-04:00,
471835377977,carts,Carts,custom,,,2024-02-25T16:30:11-05:00,,2025-06-16T18:01:31-04:00,
471835410745,carts-stands,Carts & Stands,custom,,1,2024-02-25T16:30:31-05:00,,2026-05-02T18:18:56-04:00,
471844880697,casters,Casters,custom,,1,2024-02-26T00:01:02-05:00,,2026-05-02T18:17:04-04:00,
473266258233,casters-wheels,Casters / Wheels,custom,,2,2024-03-26T14:23:42-04:00,,2026-05-02T18:17:04-04:00,
473195151673,castors-seating,Castors (Seating),custom,,2,2024-03-25T04:38:55-04:00,,2026-05-02T18:17:04-04:00,
471844815161,chair-accessories,Chair Accessories,custom,,,2024-02-26T00:00:44-05:00,,2026-05-07T12:56:42-04:00,
471684972857,chair-mats,Chair Mats,custom,,1,2024-02-22T13:43:47-05:00,,2026-04-18T13:16:20-04:00,
473349849401,chairmat-accessories,Chairmat (Accessories),custom,,3,2024-03-28T00:44:29-04:00,,2026-05-04T16:12:04-04:00,
473197150521,chairmats,Chairmats,custom,,,2024-03-25T04:57:56-04:00,,2025-08-22T12:36:33-04:00,
473354928441,chairmats-accessories,Chairmats (Accessories),custom,,5,2024-03-28T03:22:28-04:00,,2026-05-04T16:12:02-04:00,
471653253433,chairs,Chairs,custom,,4,2024-02-22T00:05:29-05:00,,2026-05-02T18:18:21-04:00,
502854189369,change-tables,Change Tables,custom,,,2025-05-26T10:28:57-04:00,,2025-06-28T09:45:56-04:00,
476855009593,charging-units,Charging Units,custom,,2,2024-06-10T17:01:45-04:00,,2026-05-02T18:18:06-04:00,
502851567929,classroom-storage,Classroom Storage,custom,,,,,2026-04-28T13:56:45-04:00,
476854518073,clinician-screens,Clinician Screens,custom,,3,,,2026-05-02T18:14:30-04:00,
506551140665,cluster-seating,Cluster Seating,custom,,2,2025-07-14T14:15:50-04:00,,2026-05-07T12:56:16-04:00,
502854091065,coat-cubbies,Coat Cubbies,custom,,,2025-05-26T10:28:09-04:00,,2025-06-28T09:45:51-04:00,
502851928377,coat-cubbies-lockers,Coat Cubbies & Lockers,custom,,,2025-05-26T09:45:59-04:00,,2025-06-16T17:59:07-04:00,
471835181369,coat-garment-hooks,Coat/Garment Hooks,custom,,,2024-02-25T16:21:24-05:00,,2025-06-16T17:50:39-04:00,
473197216057,coat-racks,Coat Racks,custom,,1,2024-03-25T04:58:23-04:00,,2026-05-02T18:19:19-04:00,
473354797369,coat-racks-accessories,Coat Racks (Accessories),custom,,2,2024-03-28T03:16:30-04:00,,2026-05-02T18:19:19-04:00,
