parent_hub,handle,title,type,products_count,template_suffix_current,is_hub_level,note
accessories,desktop-accessories,Desktop Accessories,custom,0,base,False,
accessories,lighting,Lighting,custom,4,,False,
accessories,waste-recycling,Waste & Recycling,custom,0,base,False,
accessories,white-board,white board,custom,1,,False,
boardroom,boardroom-seating,Boardroom Seating,custom,0,base,False,
boardroom,boardroom-storage,Boardroom Storage,custom,0,base,False,
boardroom,meeting-conference-room-tables,Meeting & Conference Room Tables,custom,8,,False,
desks,desk-accessories,Desk Accessories,custom,0,base,False,
desks,executive-desks,Executive Desks,custom,0,base,False,
desks,height-adjustable-tables-desks,Height Adjustable Tables (Desks),custom,21,base,False,
desks,l-shape-desks,L-Shape Desks,custom,31,,False,
desks,modular-workstations,Modular Workstations,custom,0,base,False,
desks,reception-desks-desks,Reception Desks (Desks),custom,9,,False,
desks,straight-desks,Straight Desks,custom,12,,False,
desks,training-desks,Training Room Desks,custom,0,base,False,
desks,workstations-computer-desks,Workstations/Computer Desks,custom,0,,False,
ergonomic-products,desktop-sit-stand,Desktop Sit Stand,custom,10,base,False,
ergonomic-products,ergonomic-accessories,Ergonomic Accessories,custom,0,base,False,
ergonomic-products,keyboard-trays,Keyboard Trays,custom,6,base,False,
ergonomic-products,monitor-arms,Monitor Arms,custom,8,base,False,
panels-room-dividers,acoustic-panels,Acoustic Panels,custom,0,base,False,
panels-room-dividers,privacy-screens,Privacy Screens,custom,0,base,False,
panels-room-dividers,room-dividers,Room Dividers,custom,7,,False,
quiet-spaces,acoustic-pods,Acoustic Pods,custom,0,base,False,
quiet-spaces,focus-rooms,Focus Room Furniture,custom,0,base,False,
quiet-spaces,highback-seating,Highback (Seating),custom,46,base,False,
quiet-spaces,sound-dampeners,Sound Dampeners,custom,8,,False,
quiet-spaces,telephone-booths,Telephone Booths,custom,1,,False,
seating,active-seating,Active Seating,custom,0,base,False,
seating,beam-seating,Beam Seating,custom,0,base,False,
seating,bench-seating,Bench Seating,custom,0,base,False,
seating,chair-accessories,Chair Accessories,custom,0,,False,
seating,conference-seating,Conference Seating,custom,0,base,False,
seating,ergocentric,ergoCentric,custom,0,base,False,
seating,executive-seating,Executive Seating,custom,0,base,False,
seating,global-furniture,Global Furniture Group,custom,0,base,False,
seating,guest-seating,Guest (Seating),custom,39,base,False,
seating,healthcare-seating,Healthcare Seating,custom,0,base,False,
seating,keilhauer,Keilhauer,custom,0,base,False,
seating,lounge-seating,Lounge Seating,custom,2,,False,
seating,outdoor-seating,Outdoor Seating,custom,4,,False,
seating,stacking-seating,Stacking (Seating),custom,16,base,False,
seating,stools,Stools,custom,8,,False,
seating,task-chairs,Task Chairs,smart,10,,False,
storage,bookcases,Bookcases,custom,9,,False,
storage,credenzas,Credenza's,custom,9,base,False,
storage,high-density-storage,High-Density Storage,custom,0,base,False,
storage,lateral-file-cabinets-storage,Lateral File Cabinets (Storage),custom,8,,False,
storage,lockers,Lockers,custom,6,base,False,
storage,mailboxes,Mailboxes & Sorters,custom,0,base,False,
storage,media-storage,Media & AV Storage,custom,0,base,False,
storage,mobile-pedestals,Mobile Pedestals,custom,8,,False,
storage,mobile-storage,Mobile Storage Carts,custom,0,base,False,
storage,personal-storage,Personal Storage,custom,0,base,False,
storage,storage-cabinets,Storage Cabinets,custom,8,,False,
storage,vertical-file-cabinets-storage,Vertical File Cabinets,custom,6,,False,
storage,wall-storage,Wall-Mounted Storage,custom,0,base,False,
storage,wardrobe-storage,Wardrobe (Storage),custom,6,base,False,
tables,cafe-tables,Café & Bistro Tables,custom,0,base,False,
tables,height-adjustable-tables,Height Adjustable Tables,custom,19,base,False,
tables,meeting-tables,Meeting Tables,custom,12,base,False,
tables,multipurpose-tables,Multi-Purpose Tables,custom,0,base,False,
tables,nesting-tables,Nesting & Folding Tables,custom,0,base,False,
tables,outdoor-tables,Outdoor Tables,custom,0,base,False,
tables,side-tables,Side & Occasional Tables,custom,0,base,False,
tables,standing-tables,Standing & High Tables,custom,0,base,False,
tables,training-room-tables,Training Room Tables,custom,4,,False,
