parent_hub,handle,title,type,products_count,template_suffix_current
accessories,lighting,Lighting,custom,4,
accessories,white-board,white board,custom,1,
desks,l-shape-desks,L-Shape Desks,custom,31,
desks,straight-desks,Straight Desks,custom,12,
desks,reception-desks-desks,Reception Desks (Desks),custom,9,
panels-room-dividers,room-dividers,Room Dividers,custom,7,
quiet-spaces,sound-dampeners,Sound Dampeners,custom,8,
quiet-spaces,telephone-booths,Telephone Booths,custom,1,
seating,task-chairs,Task Chairs,smart,10,
seating,stools,Stools,custom,8,
seating,outdoor-seating,Outdoor Seating,custom,4,
seating,lounge-seating,Lounge Seating,custom,2,
storage,bookcases,Bookcases,custom,9,
storage,lateral-file-cabinets-storage,Lateral File Cabinets (Storage),custom,8,
storage,mobile-pedestals,Mobile Pedestals,custom,8,
storage,storage-cabinets,Storage Cabinets,custom,8,
storage,vertical-file-cabinets-storage,Vertical File Cabinets,custom,6,
tables,meeting-conference-room-tables,Meeting & Conference Room Tables,custom,8,
tables,training-room-tables,Training Room Tables,custom,4,
