id,handle,title,vendor,product_type,status,published_at,tags
9039403024697,1-1-2-drawer-high-lateral-cabinet-4,1 1/2 Drawer High Lateral Cabinet,Brant Business Interiors,,archived,,
9727968149817,2-drawer-legal-width-vertical-file,2 drawer legal width vertical file — 2 drawer,Brant Business Interiors,,active,2024-12-11T10:58:05-05:00,"bestseller, industry:business, room:private-office, type:storage"
9667665985849,2-seater-couch,2 Seater Couch,Brant Business Interiors,,archived,,
10095599190329,2600-series-4-drawer-vertical-file-legal-26-451,"2600 series 4 drawer vertical file, legal (26-451) — 4 drawer",Brant Business Interiors,,active,2026-01-12T10:11:46-05:00,"bestseller, industry:business, room:private-office, type:storage"
9667675881785,3-seater-sofa,3 Seater Sofa,Brant Business Interiors,,archived,,
9727970705721,4-drawer-legal-width-vertical-file,4 drawer legal width vertical file — 4 drawer,Brant Business Interiors,,active,2024-12-11T11:06:01-05:00,"industry:business, room:private-office, type:storage"
9727969984825,4-drawer-letter-width-vertical-file,4 drawer letter width vertical file — 4 drawer,Brant Business Interiors,,active,2024-12-11T11:03:21-05:00,"bestseller, industry:business, room:private-office, type:storage"
9860596138297,4-person-workstation,4 person workstation,Brant Business Interiors,,active,2025-05-02T09:42:35-04:00,"industry:business, room:open-plan, type:desks"
10111254855993,6-drawer-end-tab-cabinet-s128-drawers,6 drawer end tab cabinet S128 drawers — 6 drawer,Brant Business Interiors,,active,2026-02-05T12:36:00-05:00,"industry:business, room:private-office, type:storage"
9688261001529,6-person-workstation-chairs-bridges,6 person workstation & chairs bridges,Brant Business Interiors,,active,2024-10-25T17:38:58-04:00,"industry:business, room:open-plan, type:chairs"
9769092022585,adapt-high-back-synchro-tilter-mvl11724,Adapt | high back synchro-tilter — MVL11724,Brant Business Interiors,,active,2025-01-27T10:50:25-05:00,"bestseller, industry:business, type:chairs"
9815337566521,adapt-high-back-synchro-tilter-mvl11724-mvl11725,Adapt | high back synchro-tilter MVL11724 — MVL11725,Brant Business Interiors,,active,2025-03-06T18:58:43-05:00,"industry:business, type:chairs"
9771322507577,adapt-high-back-synchro-tilter-mvl11725,Adapt | high back synchro-tilter — MVL11725,Brant Business Interiors,,active,2025-01-29T12:51:55-05:00,"industry:business, type:chairs"
9916922233145,additional-services-dismantle-re-assemble,Additional services-dismantle & re-assemble,Brant Business Interiors,,active,,bestseller
9712563487033,aeramax-air-purifier-true-hepa-plasmatrue-1,"Aeramax air purifier - true hepa, plasmatrue",Brant Business Interiors,,active,2024-11-23T10:42:34-05:00,"bestseller, industry:business, type:accessories"
9688170398009,agile-double-sided-8-pod-height-adjustable-shared-desk,Agile double sided 8-pod height adjustable shared desk,Brant Business Interiors,,active,2024-10-25T13:14:07-04:00,"industry:business, room:private-office, type:desks"
9824093798713,aktivity-environ-table,Aktivity Environ table,Brant Business Interiors,,archived,,"industry:daycare, room:boardroom, type:tables"
9769301311801,aktivity-puddle,Aktivity Puddle,Brant Business Interiors,,archived,,"industry:daycare, type:tables"
9114228523321,aktivity-rectangle-height-adjustable-table,Aktivity Rectangle Height Adjustable Table,Brant Business Interiors,,archived,,"industry:daycare, room:boardroom, type:tables"
10170179911993,alphabetter-stand-up-desk,Alphabetter stand-up desk,Safco,,active,2026-04-08T15:58:51-04:00,"industry:business, room:private-office, type:desks"
9664282657081,altona-high-back-leather-tilter,Altona | high back leather tilter,Brant Business Interiors,,active,2024-09-26T11:45:13-04:00,"industry:business, type:chairs"
9766192775481,amigo-mesh-chair-otg10900blk,Amigo mesh chair — OTG10900BLK,Brant Business Interiors,,active,2025-01-23T12:28:19-05:00,"bestseller, industry:business, type:chairs"
9725776691513,anda-seat-phantom-king-gaming-style-office-chair,Anda seat phantom king gaming style office chair,Brant Business Interiors,,active,2024-12-09T15:42:45-05:00,"industry:business, type:chairs"
9103326871865,anti-fatigue-wellness-mat-36-x-24-5,"Anti-fatigue wellness mat — 36"" x 24""",Brant Business Interiors,,active,2024-02-25T23:30:42-05:00,"bestseller, industry:business, type:accessories"
9759454560569,arlo-lounge-swivel-task-chair-1,Arlo | lounge swivel task chair,Brant Business Interiors,,active,2025-01-15T17:30:29-05:00,"industry:business, room:lounge, type:lounge"
10023161004345,arm-caps-for-2330-chair,Arm caps for 2330 chair,Brant Business Interiors,,active,2025-10-28T17:57:14-04:00,"industry:business, type:chairs"
9667590029625,arm-chair,Arm Chair,Brant Business Interiors,,archived,,
9982115381561,armless-low-back-stacking-chair-mvl2748,Armless low back stacking chair — MVL2748,Brant Business Interiors,,active,2025-09-15T16:53:04-04:00,"industry:business, type:chairs"
9712563224889,array-stand-as-air-purifier-1,Array stand as air purifier,Brant Business Interiors,,active,2024-11-23T10:39:33-05:00,"industry:business, type:accessories"
9782581297465,ashmont-medium-back-guest-chair-mvl2782,Ashmont | medium back guest chair — MVL2782,Brant Business Interiors,,active,2025-02-10T14:52:23-05:00,"bestseller, industry:business, room:reception, type:chairs"
9771597070649,ashmont-medium-back-management-tilter-mvl2781,Ashmont | medium back management tilter — MVL2781,Brant Business Interiors,,active,2025-01-29T14:39:16-05:00,"industry:business, type:chairs"
9664281542969,ashton-high-back-tilter,Ashton | high back tilter,Global Furniture Group,,active,2024-09-26T11:42:54-04:00,"bestseller, industry:business, type:chairs"
9714121933113,atlas-sit-to-stand-height-adjustable-desk,Atlas sit to stand height adjustable desk,Brant Business Interiors,,active,2024-11-25T15:23:36-05:00,"industry:business, room:private-office, type:desks"
9699889086777,auditorium-lecture-hall-seating,Auditorium / Lecture Hall Seating,Brant Business Interiors,,archived,,"industry:educational, type:chairs"
9699886203193,auditorium-lecture-hall-seating-my-space,Auditorium / Lecture Hall Seating My Space,Brant Business Interiors,,archived,,"industry:educational, type:chairs"
9699883254073,auditorium-lecture-hall-seating-omni,Auditorium / Lecture Hall Seating Omni,Brant Business Interiors,,archived,,"industry:educational, type:chairs"
9699887710521,auditorium-lecture-hall-seating-primo,Auditorium / Lecture Hall Seating Primo,Brant Business Interiors,,archived,,"industry:educational, type:chairs"
9846115074361,av-stand-sa-81-3016,Av stand — SA-81-3016,Brant Business Interiors,,active,2025-04-15T10:44:13-04:00,"industry:business, type:accessories"
9776142713145,avro-350m-heavy-duty-multi-tilter-chairs-mvl11716,Avro 350M heavy duty multi-tilter chairs — MVL11716,Brant Business Interiors,,active,2025-02-03T14:30:19-05:00,"industry:business, type:chairs"
9676929270073,banquet-chair-stacking,Banquet chair stacking,Brant Business Interiors,,active,2024-10-11T12:05:36-04:00,"industry:business, type:chairs"
9666375647545,bar-height-table,Bar height table,Brant Business Interiors,,active,2024-09-28T12:24:44-04:00,"industry:business, room:boardroom, type:tables"
9666368602425,bar-leaner-1-span-collaborative,Bar leaner 1-span collaborative,Brant Business Interiors,,active,2024-09-28T12:03:36-04:00,"bestseller, industry:business, type:tables"
9778177835321,bar-stool-for-42-high-tables,"Bar stool for 42"" high tables — 42""",Brant Business Interiors,,active,2025-02-05T10:26:14-05:00,"industry:business, type:chairs"
9776146415929,basics-chevron-junior-operator-chair-mvl2363-7-1,Basics chevron junior operator chair — MVL2363-7,Brant Business Interiors,,active,2025-02-03T14:44:36-05:00,"industry:business, type:chairs"
9776149299513,basics-comfort-time-drafting-stool-with-or-without-arms-1,Basics comfort-time drafting stool (with or without arms),Brant Business Interiors,,active,2025-02-03T14:55:36-05:00,"industry:business, type:chairs"
9768077066553,basics-comfort-time-ultra-multi-tilter-big-tall-chair,Basics comfort-time ultra multi-tilter big & tall chair,Brant Business Interiors,,active,2025-01-25T16:35:29-05:00,"bestseller, industry:business, type:chairs"
9768075526457,basics-comfort-time-ultra-multi-tilter-big-tall-with-headrest,Basics comfort-time ultra multi-tilter big & tall with headrest,Brant Business Interiors,,active,2025-01-25T16:32:41-05:00,"industry:business, type:chairs"
9747447873849,basics-comfort-time-ultra-multi-tilter-chair-with-headrest,Basics comfort-time ultra multi-tilter chair with headrest,Brant Business Interiors,,active,2025-01-03T15:38:30-05:00,"industry:business, type:chairs"
9815800054073,basics-comfort-time-ultra-multi-tilter-chairs-mvl1873-1,Basics comfort-time ultra multi-tilter chairs MVL1873 MVL1875 (available with a headrest),Brant Business Interiors,,active,2025-03-07T10:01:14-05:00,"bestseller, industry:business, type:chairs"
9753585910073,basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,"Basics elora chair - high back - black - leather, luxhide — MVL1893UPU30BL20",Brant Business Interiors,,active,2025-01-09T12:33:19-05:00,"industry:business, type:chairs"
9770509140281,basics-elora-home-office-synchro-tilter-chair-1,Basics elora home office synchro tilter chair,Brant Business Interiors,,active,2025-01-28T17:03:21-05:00,"industry:business, type:chairs"
9666750054713,basics-ergo-boss-executie-back-multi-tilter-chairs-bao28703,Basics ergo boss executie back multi-tilter chairs — BAO28703,Global Furniture Group,,active,2024-09-29T13:51:01-04:00,"bestseller, industry:business, type:chairs"
9776141041977,basics-obusforme-elite-heavy-duty-multi-tilter-chair-ts2770-3-1,ObusForme Basics elite heavy duty multi-tilter chair — TS2770-3,ObusForme,,active,2025-02-03T14:21:58-05:00,"industry:business, type:chairs"
9771509907769,basics-preto-swivel-tilt-chair-1,Basics preto swivel tilt chair,Brant Business Interiors,,active,2025-01-29T14:00:57-05:00,"bestseller, industry:business, type:chairs"
9692248211769,beta-armless-posture-task-drafting-stool-mvl2718,Beta | armless posture task drafting stool — MVL2718,Brant Business Interiors,,active,2024-11-01T14:11:46-04:00,"industry:business, type:chairs"
9103187345721,boat-shaped-conference-table,Boat shaped conference table,Brant Business Interiors,,active,2024-02-25T16:40:27-05:00,"bestseller, industry:business, room:boardroom, type:tables"
9103188459833,boat-shaped-conference-table-96-x-36-x-29,"Boat shaped conference table — 96"" x 36"" x 29""",Brant Business Interiors,,active,2024-02-25T16:44:57-05:00,"industry:business, room:boardroom, type:tables"
9708349915449,bolt-mesh-back-tilter-otg11510b,Bolt | mesh back tilter — OTG11510B,Brant Business Interiors,,active,2024-11-19T12:42:26-05:00,"industry:business, type:chairs"
9698682044729,bookcase,Bookcase,Brant Business Interiors,,active,2024-11-08T10:39:12-05:00,"bestseller, industry:business, room:private-office, type:storage"
