category,slug,url,http_status,product_count,template_suffix,result,notes
seating,highback-seating,https://brantbusinessinteriors.com/collections/highback-seating,200,,SKIP,WARN,api-miss
seating,medium-back-seating,https://brantbusinessinteriors.com/collections/medium-back-seating,200,,SKIP,WARN,api-miss
seating,mesh-seating,https://brantbusinessinteriors.com/collections/mesh-seating,200,,SKIP,WARN,api-miss
seating,leather-faux-seating,https://brantbusinessinteriors.com/collections/leather-faux-seating,200,,SKIP,WARN,api-miss
seating,stools-seating,https://brantbusinessinteriors.com/collections/stools-seating,200,,SKIP,WARN,api-miss
seating,lounge-chairs-seating,https://brantbusinessinteriors.com/collections/lounge-chairs-seating,200,,SKIP,WARN,api-miss
seating,ottomans,https://brantbusinessinteriors.com/collections/ottomans,200,,SKIP,WARN,api-miss
seating,guest-seating,https://brantbusinessinteriors.com/collections/guest-seating,200,,SKIP,WARN,api-miss
seating,stacking-seating,https://brantbusinessinteriors.com/collections/stacking-seating,200,,SKIP,WARN,api-miss
seating,folding-stacking-chairs-carts,https://brantbusinessinteriors.com/collections/folding-stacking-chairs-carts,200,,SKIP,WARN,api-miss
seating,nesting-chairs-chair,https://brantbusinessinteriors.com/collections/nesting-chairs-chair,200,,SKIP,WARN,api-miss
seating,24-hour-seating,https://brantbusinessinteriors.com/collections/24-hour-seating,200,,SKIP,WARN,api-miss
seating,big-heavy-seating,https://brantbusinessinteriors.com/collections/big-heavy-seating,200,,SKIP,WARN,api-miss
seating,cluster-seating,https://brantbusinessinteriors.com/collections/cluster-seating,200,,SKIP,WARN,api-miss
seating,industrial-seating,https://brantbusinessinteriors.com/collections/industrial-seating,200,,SKIP,WARN,api-miss
seating,gaming,https://brantbusinessinteriors.com/collections/gaming,200,,SKIP,WARN,api-miss
desks,u-shape-desks-desks,https://brantbusinessinteriors.com/collections/u-shape-desks-desks,200,,SKIP,WARN,api-miss
desks,l-shape-desks-desks,https://brantbusinessinteriors.com/collections/l-shape-desks-desks,200,,SKIP,WARN,api-miss
desks,height-adjustable-tables-desks,https://brantbusinessinteriors.com/collections/height-adjustable-tables-desks,200,,SKIP,WARN,api-miss
desks,multi-person-workstations-desks,https://brantbusinessinteriors.com/collections/multi-person-workstations-desks,200,,SKIP,WARN,api-miss
desks,benching-desks,https://brantbusinessinteriors.com/collections/benching-desks,200,,SKIP,WARN,api-miss
desks,table-desks,https://brantbusinessinteriors.com/collections/table-desks,200,,SKIP,WARN,api-miss
desks,straight-desks-desks,https://brantbusinessinteriors.com/collections/straight-desks-desks,200,,SKIP,WARN,api-miss
desks,reception,https://brantbusinessinteriors.com/collections/reception,200,,SKIP,WARN,api-miss
desks,office-suites-desks,https://brantbusinessinteriors.com/collections/office-suites-desks,200,,SKIP,WARN,api-miss
storage,lateral-files-storage,https://brantbusinessinteriors.com/collections/lateral-files-storage,200,,SKIP,WARN,api-miss
storage,vertical-files,https://brantbusinessinteriors.com/collections/vertical-files,200,,SKIP,WARN,api-miss
storage,storage-cabinets-storage,https://brantbusinessinteriors.com/collections/storage-cabinets-storage,200,,SKIP,WARN,api-miss
storage,bookcases-storage,https://brantbusinessinteriors.com/collections/bookcases-storage,200,,SKIP,WARN,api-miss
storage,hutch,https://brantbusinessinteriors.com/collections/hutch,200,,SKIP,WARN,api-miss
storage,lateral-storage-combo-storage,https://brantbusinessinteriors.com/collections/lateral-storage-combo-storage,200,,SKIP,WARN,api-miss
storage,end-tab-filing-storage,https://brantbusinessinteriors.com/collections/end-tab-filing-storage,200,,SKIP,WARN,api-miss
storage,pedestal-drawers-storage,https://brantbusinessinteriors.com/collections/pedestal-drawers-storage,200,,SKIP,WARN,api-miss
