tag,prefix,count_active,pct_active,flag,sample_handles
oecm-eligible,,593,100.0,MASS-APPLIED,l-shape-desk-3-sizes-13-colours | l-shaped-desk-with-double-pedestals-72w-x-78d | l-shaped-desk-with-single-pedestal-60w-x-72d
industry:business,industry:,548,92.41,MASS-APPLIED,l-shape-desk-3-sizes-13-colours | l-shaped-desk-with-double-pedestals-72w-x-78d | l-shaped-desk-with-single-pedestal-60w-x-72d
bestseller,,130,21.92,,l-shape-desk-3-sizes-13-colours | 2-drawer-legal-width-vertical-file | 2600-series-4-drawer-vertical-file-legal-26-451
type:chairs,type:,105,17.71,,6-person-workstation-chairs-bridges | adapt-high-back-synchro-tilter-mvl11724-mvl11725 | adapt-high-back-synchro-tilter-mvl11724
room:private-office,room:,62,10.46,,l-shape-desk-3-sizes-13-colours | 2-drawer-legal-width-vertical-file | 2600-series-4-drawer-vertical-file-legal-26-451
brand:otg-offices-to-go,brand:,54,9.11,,arlo-lounge-swivel-task-chair-1 | armless-low-back-stacking-chair-mvl2748 | ashmont-medium-back-guest-chair-mvl2782
brand:global-furniture-group,brand:,53,8.94,,l-shape-desk-3-sizes-13-colours | 2600-series-4-drawer-vertical-file-legal-26-451 | 4-drawer-letter-width-vertical-file
type:desks,type:,38,6.41,,l-shape-desk-3-sizes-13-colours | u-shaped-suite-with-rectangular-island | 4-person-workstation
type:tables,type:,34,5.73,,bar-leaner-1-span-collaborative | boat-shaped-conference-table | coffee-table
room:boardroom,room:,29,4.89,,boat-shaped-conference-table | coffee-table | coffee-table-1
type:storage,type:,29,4.89,,2-drawer-legal-width-vertical-file | 2600-series-4-drawer-vertical-file-legal-26-451 | 4-drawer-legal-width-vertical-file
brand:global-teknion,brand:,26,4.38,,concorde-high-back-24hr-executive-synchro-tilter-2424 | concorde-high-back-24hr-executive-synchro-tilter-deep-seat-2424-18 | concorde-high-back-executive-multi-tilter-2424
type:accessories,type:,23,3.88,,aeramax-air-purifier-true-hepa-plasmatrue-1 | anti-fatigue-wellness-mat-36-x-24-5 | array-stand-as-air-purifier-1
brand:heartwood-manufacturing-ltd,brand:,17,2.87,,desk-single-pedestal-bbf | height-adjustable-table-5-sizes | executive-u-shape-desk-set
room:reception,room:,10,1.69,,ashmont-medium-back-guest-chair-mvl2782 | ibex-upholstered-seat-back-guest-chair-mvl2819-1 | ibex-upholstered-seat-back-guest-chair-mvl2832
brand:obusforme,brand:,6,1.01,,extended-high-back-wide-deep-seat-multi-tilt-bao27513 | basics-obusforme-elite-heavy-duty-multi-tilter-chair-ts2770-3-1 | obusforme-comfort-high-back-chair-1260-3-schukra
room:open-plan,room:,6,1.01,,4-person-workstation | 6-person-workstation-chairs-bridges | desktop-sit-stand-workstation-mvl5230b0
brand:horizon,brand:,5,0.84,,shoptech-097-pc1000 | shoptech-2300-pc775 | shoptech-2302-pc775
brand:safco,brand:,4,0.67,,alphabetter-stand-up-desk | drafting-table-safco-vista-drawing-table | ranger-steel-4-post-table-42-w-x-30-d-with-drawer-safco
room:lounge,room:,4,0.67,,arlo-lounge-swivel-task-chair-1 | citi-lounge-seating-3-sizes-available | lounge-seating-3-sizes-suburb
type:lounge,type:,4,0.67,,arlo-lounge-swivel-task-chair-1 | citi-lounge-seating-3-sizes-available | lounge-seating-3-sizes-suburb
brand:fellowes,brand:,3,0.51,,aeramax-air-purifier-true-hepa-plasmatrue-1 | anti-fatigue-wellness-mat-36-x-24-5 | array-stand-as-air-purifier-1
brand:office-star,brand:,3,0.51,,kneeling-chair-kcm1420 | napa-boardroom-conference-table | round-table-glass-top
type:outdoor,type:,3,0.51,,indestructible-ryno-furniture | outdoor-park-benches | outdoor-steel-bench
brand:deflecto,brand:,2,0.34,,carpeted-floor-48-x-36-6 | carpeted-floor-48-x-60
brand:humanscale,brand:,2,0.34,,efloat-quattro-humanscale | humanscale-nova-lighting
room:training-room,room:,2,0.34,,terina-training-tables-rectangular-table-8-sizes | training-flip-top-tables-1
brand:axis,brand:,1,0.17,,bar-leaner-1-span-collaborative
brand:ergocentric,brand:,1,0.17,,part-time-armless-task-chair-mvl2836
brand:foundations-worldwide,brand:,1,0.17,,foundations-sport-splash-quad-strollers
brand:frost-products-ltd,brand:,1,0.17,,outdoor-steel-bench
brand:heartwood,brand:,1,0.17,,heartwood-mobile-pedestal-bf
brand:lesro-industries,brand:,1,0.17,,willow-bariatric-chair
brand:mergeworks,brand:,1,0.17,,ceiling-grids-sound-acoustic-dampeners-1
brand:mitybilt-products-inc,brand:,1,0.17,,medicine-wheel-table-indigenous
brand:pineapple-contracts,brand:,1,0.17,,indestructible-ryno-furniture
brand:produits-re-plast,brand:,1,0.17,,outdoor-park-benches
brand:uline,brand:,1,0.17,,height-adjustable-base-pneumatic
industry:daycare,industry:,1,0.17,SINGLETON,foundations-sport-splash-quad-strollers
industry:healthcare,industry:,1,0.17,SINGLETON,willow-bariatric-chair
