handle,title,type_bucket,product_type,vendor,sold_orders,sold_revenue,has_image,has_price,all_oos,rule_applied,proposed_action,reason,proposed_tags,admin_url
follower-block-mvlfb,Follower Block MVLFB,Other,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,junk,archive,ghost SKU / placeholder / wrong-category,,https://admin.shopify.com/store/office-central/products/9963964367161
new-pneumatic-single-arm-monitor-stand,"""New"" Pneumatic Single-Arm Monitor Stand",Accessories,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9943309746489
casters-2-5-set-1,"Casters - 2"" 5 / Set",Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9114164527417
casters-5-set-1,Casters- 5 / Set,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9103339782457
ceiling-grids-sound-acoustic-dampeners-1,Ceiling Grids Sound Acoustic Dampeners,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9832610988345
ceiling-grids-sound-acoustic-dampeners-copy,Ceiling Grids Sound Acoustic Dampeners,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9832616821049
ceiling-grids-sound-acoustic-dampeners-orb,Ceiling Grids Sound Acoustic Dampeners ORB,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9832623735097
charging-station-with-a-clamp,Charging station with a clamp,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9665682669881
clamp-on-power-bar-and-usb-charging-station,Clamp-On Power Bar and USB Charging Station,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9665676181817
coat-tree,Coat Tree,Accessories,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/10102505341241
coat-tree-hook-stand-1,Coat Tree Hook Stand,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9103184265529
corner-maker-12,"Corner Maker 12""",Accessories,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/10102429090105
dual-monitor-arm,Dual Monitor Arm,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9666433220921
easy-pull-in-out-keyboard-tray,Easy Pull in & Out Keyboard Tray,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9666436006201
fellowes-lotus-dual-monitor-arm-kit-2-display-s-supported27-arm-only-fel8042901,"Fellowes Lotus™ Dual Monitor Arm Kit - 2 Display(s) Supported27"" (Arm only) FEL8042901",Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9712537927993
felt-acoustic-room-dividers,Felt Acoustic Room Dividers,Accessories,Sound dampeners,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9832199749945
felt-acoustic-wall-tiles,Felt Acoustic Wall Tiles,Accessories,Sound dampeners wall tiles,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9832223867193
felt-sound-dampeners,Felt Sound Dampeners,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9693081895225
gas-lift-monitor-riser,Gas Lift Monitor Riser,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9667825598777
halifax-executive-suite,Halifax Executive Suite,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"accessories, private-office",https://admin.shopify.com/store/office-central/products/9820816179513
halifax-series,Halifax Series,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9822314070329
halifax-typical-4,Halifax Typical 4,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9822310236473
halifax-typical-9,Halifax Typical 9,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9817158025529
hardfloor-casters,Hardfloor Casters,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9766928220473
hardware-for-ceiling-tiles,Hardware for Ceiling Tiles,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9832764408121
indoor-planter,Indoor Planter,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9469554262329
jax-keyboard-tray,JAX Keyboard Tray,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9666435449145
keyboard-tray-multi-position,Keyboard Tray Multi Position,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9666433876281
laminate-modesty-panels,Laminate Modesty Panels,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9800598552889
laptop-holder-for-100-ma1c-100-ma2c-monitor-arms,Laptop Holder for 100-MA1C & 100-MA2C Monitor Arms only,Accessories,Laptop Holder,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9943316529465
levels-l-shape,Levels L-Shape,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9800687845689
monitor-arms,Monitor Arms,Accessories,Avis-add-charge,Business Interiors,0,0.0,N,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9851749335353
nutmeg-reception,Nutmeg Reception,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"accessories, reception",https://admin.shopify.com/store/office-central/products/9788850307385
oci-platinum-monitor-arms,OCI Platinum Monitor Arms,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9689001951545
partitions-66-high,"Partitions 66"" High",Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9749031158073
partitions-66-high-2-offices-1,"Partitions 66"" High 2 Offices",Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9749031420217
partitions-66-high-3-offices-1,"Partitions 66"" High 3 Offices",Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9749032632633
partitions-66-high-6-offices,"Partitions 66"" High 6 Offices",Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9749033386297
planter,Planter,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9753608388921
planters,Planters,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9676187631929
plexiglass-hanging-modesty-panel-48-width-x-15-height-2,"Plexiglass Hanging Modesty Panel - 48"" Width x 15"" Height",Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9103182364985
plexiglass-modesty-panels,Plexiglass Modesty Panels,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9800589377849
power-plant-500222pp90-daisychaining,Power Plant 500222PP90 Daisychaining,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9842388468025
power-station-with-3-outlets-and-2-usb,Power Station with 3 Outlets and 2 USB,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9698778710329
rollamat-for-carpet-carpeted-floor-53-x-45-3,"RollaMat for Carpet - Carpeted Floor 53""  x 45""",Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9098336895289
sphere-power,SPHERE Power,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9723869462841
screenflex-room-dividers,Screenflex Room Dividers,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9757974364473
the-halifax-collection,The Halifax Collection,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9817942851897
tower-charging-station-with-usb-ports-2-colour-options,Tower Charging Station with USB ports. 2 Colour options.,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9700992221497
triple-monitor-arm,Triple Monitor Arm,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9666433515833
triple-monitor-and-ipad-holder,Triple Monitor and Ipad Holder,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9785822609721
vesta-power-tower,Vesta Power Tower,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9665685782841
workway-planters,WORKWAY Planters,Accessories,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/9724679127353
i-pad-holders,iPad Holders,Accessories,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,accessories,https://admin.shopify.com/store/office-central/products/10102435873081
6-person-workstation-chairs-bridges,6 Person Workstation & Chairs Bridges,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9688261001529
adapt-high-back-synchro-tilter-mvl11724-mvl11725,Adapt | High Back Synchro-Tilter MVL11724 MVL11725,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9815337566521
adapt-high-back-synchro-tilter-mvl11725,Adapt | High Back Synchro-Tilter MVL11725,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9771322507577
altona-high-back-leather-tilter,Altona | High Back Leather Tilter,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9664282657081
arm-caps-for-2330-chair,Arm Caps for 2330 chair,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/10023161004345
armless-low-back-stacking-chair-mvl2748,Armless Low Back Stacking Chair MVL2748,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9982115381561
avro-350m-heavy-duty-multi-tilter-chairs-mvl11716,Avro 350M Heavy Duty Multi-Tilter Chairs MVL11716,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9776142713145
banquet-chair-stacking,Banquet Chair Stacking,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9676929270073
bar-stool-for-42-high-tables,"Bar Stool for 42"" High Tables",Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9778177835321
beta-armless-posture-task-drafting-stool-mvl2718,Beta | Armless Posture Task Drafting Stool MVL2718,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9692248211769
chair-dolly-duet-chairs,Chair Dolly (Duet Chairs),Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9103344206137
chevron-ultra-medium-back-multi-tilter-chair,Chevron Ultra Medium Back Multi-Tilter Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9770563141945
cluster-seating-2,Cluster Seating 2,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9924896358713
cluster-seating,Cluster Seating 4,Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9924895768889
cobalt-medium-back-tilter-mvl2785,Cobalt | Medium Back Tilter MVL2785,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9778281251129
coffee-table-seating,Coffee Table & Seating,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9712078848313
comfort-time-ultra-petit-seat-multi-tilter-chair-high-back-baomvl1880g5,Comfort-Time Ultra Petit Seat Multi-Tilter Chair High Back BAOMVL1880G5,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9747448791353
demeter-mid-back-ergonomic-chair-buyers-choice-award,"DEMETER Mid Back Ergonomic Chair ""Buyers Choice Award""",Chairs,,Office Central & Brant Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/10158668710201
danio-armless-height-adjustable-task-stool,Danio | Armless Height Adjustable Task Stool,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9666387116345
duet-tablet-chair,Duet Tablet Chair,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9688164958521
elora-multi-tilter-high-back-chair-black-petite-seat-baomvl1894,ELORA Multi-Tilter High Back Chair Black PETITE SEAT BAOMVL1894,Chairs,,Business Interiors,0,0.0,Y,Y,N,never-sold,clearance,never sold — move to Clearance at 10% off,"chairs, open-plan",https://admin.shopify.com/store/office-central/products/9815803887929
