rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,detected_line,detected_model,reason
1,9924907008313,concorde-high-back-24hr-executive-synchro-tilter-2424,Concorde high back 24HR executive synchro-tilter (2424) — 2424,Global Furniture Group,1920.76,high,14,A-PRIORITY,task-chairs | ergonomic-products | executive-seating,concorde,2424,+5 premium-brand vendor; +5 price>=500; +2 model:2424; +2 line:concorde
2,9666744680761,concorde-high-back-executive-multi-tilter-2424,Concorde high back executive multi-tilter — 2424,Global Furniture Group,2099.99,med,14,A-PRIORITY,task-chairs | ergonomic-products | executive-seating,concorde,2424,+5 premium-brand vendor; +5 price>=500; +2 model:2424; +2 line:concorde
3,9666389967161,ibex-mesh-seat-back-drafting-chair-stool-1,Ibex | mesh seat & back drafting chair stool,Global Furniture Group,549.99,none,13,A-PRIORITY,room-private-office | chair-mats | medium-back-seating,ibex,,+5 premium-brand vendor; +5 price>=500; +2 line:ibex; +1 routing unknown
4,9768066646329,ergo-boss-multi-tilter-chair-2,Ergo boss multi-tilter chair,Global Furniture Group,869.99,high,10,A-PRIORITY,ergonomic-products | task-chairs | all-ergonomic,,,+5 premium-brand vendor; +5 price>=500
5,9771515150649,the-accord-tilter-high-back-chair-1,The accord tilter high back chair,Global Furniture Group,659.99,med,10,A-PRIORITY,task-chairs | ergonomic-products | chair-mats,,,+5 premium-brand vendor; +5 price>=500
6,9982087758137,efloat-quattro-humanscale,Efloat quattro humanscale,Humanscale,3023.00,low,10,A-PRIORITY,desk-top-sit-stand | desktop-sit-stand | sit-stand-workstations,,,+5 premium-brand vendor; +5 price>=500
7,9753585910073,basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,"Basics elora chair - high back - black - leather, luxhide — MVL1893UPU30BL20",Brant Business Interiors,649.99,med,9,B-WORTH-IT,chairs | leather-faux-seating | medium-back-seating,elora,MVL1893UPU30BL20,+5 price>=500; +2 model:MVL1893UPU30BL20; +2 line:elora
8,9827425616185,kensington-universal-charge-sync-tablet-cabinet,Kensington universal charge/sync tablet cabinet,Kensington,978.00,none,9,B-WORTH-IT,fire-resistant-file-cabinets | pedestal-drawers-storage,,,+3 named vendor; +5 price>=500; +1 routing unknown
9,9779951436089,fireking-storage-cabinet-72-high,"Fireking storage cabinet 72"" high — 72""",FireKing,7869.19,high,8,B-WORTH-IT,storage | fire-resistant-file-cabinets-storage | all-storage,,,+3 named vendor; +5 price>=500
10,9983576506681,humanscale-nova-lighting,Humanscale nova lighting,Humanscale,479.99,med,8,B-WORTH-IT,lighting,,,+5 premium-brand vendor; +3 price>=200
