rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,recommended_brand,detected_line,detected_model,tier_a_enriched,inventory_status,reason
1,9666744680761,concorde-high-back-executive-multi-tilter-2424,Concorde high back executive multi-tilter — 2424,Global Furniture Group,2099.99,med,15,A-PRIORITY,task-chairs | medium-back-seating | monitor-arms,Global Furniture Group,Concorde,2424,N,sold-out,+5 premium-brand vendor; +5 price>=500; +2 model number in title; +2 line:concorde; +1 metafields present
2,9924907008313,concorde-high-back-24hr-executive-synchro-tilter-2424,Concorde high back 24HR executive synchro-tilter (2424) — 2424,Global Furniture Group,1920.76,high,15,A-PRIORITY,task-chairs | medium-back-seating | gfg-chairs,Global Furniture Group,Concorde,2424,N,sold-out,+5 premium-brand vendor; +5 price>=500; +2 model number in title; +2 line:concorde; +1 metafields present
3,9666389967161,ibex-mesh-seat-back-drafting-chair-stool-1,Ibex | mesh seat & back drafting chair stool,Global Furniture Group,549.99,none,14,A-PRIORITY,room-private-office | chair-mats | medium-back-seating,Global Furniture Group,Ibex,,N,sold-out,+5 premium-brand vendor; +5 price>=500; +2 line:ibex; +1 metafields present; +1 no claude_confidence (needs manual research)
4,9982087758137,efloat-quattro-humanscale,Efloat quattro humanscale,Humanscale,3023.0,low,12,A-PRIORITY,desk-top-sit-stand | desktop-sit-stand | sit-stand-workstations,Humanscale,,,N,sold-out,+5 premium-brand vendor; +5 price>=500; +1 metafields present; +1 multi-option variants
5,9768066646329,ergo-boss-multi-tilter-chair-2,Ergo boss multi-tilter chair,Global Furniture Group,869.99,med,11,A-PRIORITY,task-chairs | lounge-chairs-seating | gfg-chairs,Global Furniture Group,,,N,sold-out,+5 premium-brand vendor; +5 price>=500; +1 metafields present
6,9771515150649,the-accord-tilter-high-back-chair-1,The accord tilter high back chair,Global Furniture Group,659.99,med,11,A-PRIORITY,task-chairs | chair-mats | medium-back-seating,Global Furniture Group,,,N,sold-out,+5 premium-brand vendor; +5 price>=500; +1 metafields present
7,9702670467385,ranger-steel-4-post-table-42-w-x-30-d-with-drawer-safco,Ranger steel 4-post table 42”w x 30”d with drawer safco,Safco,4299.99,none,10,A-PRIORITY,desk-top-dividers | drafting-tables | end-tables-tables,Safco,,,N,sold-out,+3 named brand vendor; +5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
8,9827425616185,kensington-universal-charge-sync-tablet-cabinet,Kensington universal charge/sync tablet cabinet,Kensington,978.0,none,10,A-PRIORITY,fire-resistant-file-cabinets | pedestal-drawers-storage,Kensington,,,N,sold-out,+3 named brand vendor; +5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
9,9779951436089,fireking-storage-cabinet-72-high,"Fireking storage cabinet 72"" high — 72""",FireKing,7869.19,high,9,B-WORTH-IT,storage | fire-resistant-file-cabinets-storage | gfg-storage,FireKing,,,N,sold-out,+3 named brand vendor; +5 price>=500; +1 metafields present
10,9843066274105,circular-reception-unit-w-41-r,Circular reception unit — W-41-R,Brant Business Interiors,6224.0,none,9,B-WORTH-IT,lounge-reception | room-reception | desk-top-sit-stand,Brant Business Interiors,,W-41,N,sold-out,+5 price>=500; +2 model number in title; +1 metafields present; +1 no claude_confidence (needs manual research)
11,9828305142073,sora-mesh-back-chair-6941-6942,Sora mesh back chair 6941 — 6942,Brant Business Interiors,799.99,none,9,B-WORTH-IT,chair-mats | medium-back-seating | mesh-seating,Brant Business Interiors,,6941,N,sold-out,+5 price>=500; +2 model number in title; +1 metafields present; +1 no claude_confidence (needs manual research)
