value,proposed_hex,appearances,css_named_fallback,needs_review,example_product,example_option
Black,,124,yes,no,2-seater-couch,Colour
White,,77,yes,no,2-seater-couch,Colour
Silver,,50,yes,no,bar-height-table,Base Colour
Grey,,41,yes,no,2600-series-4-drawer-vertical-file-legal-26-451,Colour Options
Charcoal,#36454F,14,no,auto-suggested,desk-top-dividers-1,Color
White Oak,#DDC9A3,12,no,auto-suggested,efloat-quattro-humanscale,Top Colour
Continental Walnut,#4E3A2C,12,no,auto-suggested,efloat-quattro-humanscale,Top Colour
Natural Rift Oak,#C8AB81,12,no,auto-suggested,efloat-quattro-humanscale,Top Colour
Stone Grey,#A8A8A8,12,no,auto-suggested,efloat-quattro-humanscale,Top Colour
Carbon Black,#1A1A1A,12,no,auto-suggested,efloat-quattro-humanscale,Top Colour
Cloud White,#F2EFE9,12,no,auto-suggested,efloat-quattro-humanscale,Top Colour
Chrome,#C5CDD3,5,no,auto-suggested,arlo-lounge-swivel-task-chair-1,Base Colour
Blue,,4,yes,no,2-seater-couch,Colour
Chrome & White,#E0E5E8,2,no,auto-suggested,coffee-table-chrome,Colour Options
Chrome & Black,#3A3A3A,2,no,auto-suggested,coffee-table-chrome,Colour Options
Chrome & Espresso,#5C4033,2,no,auto-suggested,coffee-table-chrome,Colour Options
Platinum,#E5E4E2,2,no,auto-suggested,dual-monitor-arm,Colour
Red,,2,yes,no,foundations-sport-splash-3-seat-strollers,Colour Options
Green,,2,yes,no,foundations-sport-splash-3-seat-strollers,Colour Options
Brown,,2,yes,no,polycarbonate-chairmat-for-hard-floors-hard-floor-60x-46-demo,Color
Upholstered Seat,,1,no,yes,guest-chair-6960-moda,Colour
Gray,,1,yes,no,impromptu-lectern-1,Color
Tan,,1,yes,no,metal-folding-chair,Color
Oak,#B07F44,1,no,auto-suggested,primacare-ht-patient-mid-back-bariatric-open-arms-gc3638-1,Leg Colour
"Black Base 36"" Round",#000000,1,no,auto-suggested,round-table-29-high-8-colours,Table Base Colours
"Silver Base 36"" Round",#C0C0C0,1,no,auto-suggested,round-table-29-high-8-colours,Table Base Colours
"Black Base 42"" Round",#000000,1,no,auto-suggested,round-table-29-high-8-colours,Table Base Colours
"Silver Base 42"" Round",#C0C0C0,1,no,auto-suggested,round-table-29-high-8-colours,Table Base Colours
White/Silver,#F2F2F2,1,no,auto-suggested,sit2stand-series-sit-stand-workstation,Colour Options
Flat Black,#1A1A1A,1,no,auto-suggested,sphere-power,Colour
Orange 77ORN,#E96E2A,1,no,auto-suggested,stax-stacking-chair-8-colour-options,Colour Choices
Yellow 77YEL,#F4C430,1,no,auto-suggested,stax-stacking-chair-8-colour-options,Colour Choices
Red 77RED,#C8102E,1,no,auto-suggested,stax-stacking-chair-8-colour-options,Colour Choices
Linen 77LNN,#E8DCC4,1,no,auto-suggested,stax-stacking-chair-8-colour-options,Colour Choices
Charcoal 77CHA,#36454F,1,no,auto-suggested,stax-stacking-chair-8-colour-options,Colour Choices
Sky Blue 77SKY,#7EC0EE,1,no,auto-suggested,stax-stacking-chair-8-colour-options,Colour Choices
White 77WHT,#FFFFFF,1,no,auto-suggested,stax-stacking-chair-8-colour-options,Colour Choices
Black 77BLK,#000000,1,no,auto-suggested,stax-stacking-chair-8-colour-options,Colour Choices
Beige (Nevada),#C8B79E,1,no,auto-suggested,storage-cabinet-medium-duty-72x18x36w,Colour
Black Top,#0F0F0F,1,no,auto-suggested,two-stage-electric-height-adjustable-table,Colour
Rustic Wood Top,#8B5A2B,1,no,auto-suggested,two-stage-electric-height-adjustable-table,Colour
Black Mesh,#2A2A2A,1,no,auto-suggested,zim-synchro-tilter-chair-high-back-mesh-mesh-back-black,"Please select a ""Back"" colour"
Grey Mesh,#6E6E6E,1,no,auto-suggested,zim-synchro-tilter-chair-high-back-mesh-mesh-back-black,"Please select a ""Back"" colour"
