title,handle,gid,first_sku,prefix,current_vendor,proposed_vendor,bucket,flag
Desk u-shape,desk-u-shape-mlp205-1,9039376023865,NLP321,NLP,Brant Business Interiors,,A,orphan;sub-brand-Newland-likely-Global
Honor roll table desk,honor-roll-dsq-1824-pb-table-desk...,9039401713977,(null),(no-sku),Brant Business Interiors,,A,no-sku
Boat shaped conference table,boat-shaped-conference-table-96-x-36-x-29,9103188459833,BURO-CTBO 9636+ HB9636,BURO,Brant Business Interiors,Heartwood Manufacturing,A,subcode-confirm
Desk double pedestal,desk-double-pedestal,9455162884409,NLP109,NLP,Brant Business Interiors,,A,orphan;sub-brand-Newland-likely-Global
Desk l-shape with drawers,desk-l-shape-with-drawers,9455233368377,(null),(no-sku),Brant Business Interiors,,A,no-sku
Table desk 13 colour options,table-desk-13-colour-options,9455249195321,NLP224 WCR,NLP,Brant Business Interiors,,A,orphan;sub-brand-Newland-likely-Global
Indoor planter,indoor-planter,9469554262329,WS48-PLANTER/B,WS48,Brant Business Interiors,,A,orphan
U-shape height adjust desk,u-shape-height-adjust-desk,9499674050873,INNO-LAYOUT 67,INNO,Brant Business Interiors,Heartwood Manufacturing,A,none
High back tilter with arms,high-back-tilter-with-arms,9664277971257,(null),(no-sku),Brant Business Interiors,,A,no-sku
Dual sided height adjustable table,dual-sided-height-adjustable-table,9665415807289,WS48 AGE2DSD126/#_F INV2448TOP,WS48,Brant Business Interiors,,A,orphan;composite-INV-present
Bar height table,bar-height-table,9666375647545,900-SQU20BARSIL-INVSQ24,900/SQU,Brant Business Interiors,,A,orphan;composite-INV-present
Dual monitor arm,dual-monitor-arm,9666433220921,(null),(no-sku),Brant Business Interiors,,A,no-sku
Stacking chair popcorn 6711,stacking-chair-popcorn-6711,9667777626425,6621,(numeric),Brant Business Interiors,,A,orphan;likely-Global-numeric-model
Stacking chair sonic 6508,stacking-chair-sonic-6508,9667781034297,6508,(numeric),Brant Business Interiors,,A,orphan;likely-Global-numeric-model
Gas lift monitor riser,gas-lift-monitor-riser,9667825598777,SPR-LLR99554,SPR,Brant Business Interiors,,A,orphan
Soft pods,soft-pods,9667868524857,Soft Pods-1,(placeholder),Brant Business Interiors,,A,orphan;no-real-code
Recycled plastic picnic tables,recycled-plastic-picnic-tables,9676931498297,scn-nd426,SCN,Brant Business Interiors,,A,scn-undecoded-steve-confirm
Boulevard system 3,boulevard-system-3,9682812207417,(null),(no-sku),Brant Business Interiors,,A,no-sku
Diet,diet,9682813813049,(null),,Brant Business Interiors,[UNPUBLISH],C,placeholder-unpublish
Pod phone booths,pod-phone-booths,9683089654073,(null),(no-sku),Brant Business Interiors,,A,no-sku
