id,handle,status,current_vendor,expected_vendor,confidence,classification,problem,prefix,sku,evidence,title
9039328477497,ultra-armless-high-back-tilter-black,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Ultra | Armless High Back Tilter Black
9039374582073,workstation-u-shape,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Workstation U Shape
9039376023865,desk-u-shape-mlp205-1,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,NLP,NLP321,no resolving signal; prefix=NLP,Desk u-shape
9039381201209,unisource-promeltslice-ice-melting-compound-crystal-20-kg,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Unisource PromeltSlice Ice Melting Compound - Crystal - 20 kg
9039398764857,haag-shell-jacket-mens-4x-large-black-1,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),"Haag Shell Jacket, Men's, 4X-Large, Black"
9039399780665,haag-shell-jacket-mens-4x-large-black-2,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),"Haag Shell Jacket, Men's, 4X-Large, Black"
9039401713977,honor-roll-dsq-1824-pb-table-desk-square-leg-base-4-legs-x-24-table-top-width-x-18-table-top-depth-5-each,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),"Honor roll -dsq-1824-pb table desk - square leg base - 4 legs x 24"" table top wi"
9039403024697,1-1-2-drawer-high-lateral-cabinet-4,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),1 1/2 Drawer High Lateral Cabinet
9039407841593,original-hydro-parkas-mens-medium-navy-blue,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),"Original ""Hydro"" Parkas, Men's, Medium, Navy Blue"
9103188459833,boat-shaped-conference-table-96-x-36-x-29,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,BURO,BURO-CTBO 9636+ HB9636,no resolving signal; prefix=BURO,"Boat shaped conference table — 96"" x 36"" x 29"""
9455162884409,desk-double-pedestal,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,NLP,NLP109,no resolving signal; prefix=NLP,Desk double pedestal
9455233368377,desk-l-shape-with-drawers,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Desk l-shape with drawers
9455249195321,table-desk-13-colour-options,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,NLP,NLP224 WCR,no resolving signal; prefix=NLP,Table desk 13 colour options — 13 colour
9469554262329,indoor-planter,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,WS,WS48-PLANTER/B,no resolving signal; prefix=WS,Indoor planter
9499674050873,u-shape-height-adjust-desk,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,INNO,INNO-LAYOUT 67,no resolving signal; prefix=INNO,U-shape height adjust desk
9664277971257,high-back-tilter-with-arms,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),High back tilter with arms
9665415807289,dual-sided-height-adjustable-table,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,WS,WS48 AGE2DSD126/#_F INV2448TOP,no resolving signal; prefix=WS,Dual sided height adjustable table
9666375647545,bar-height-table,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,900-SQU20BARSIL-INVSQ24,no resolving signal; prefix=(none),Bar height table
9666433220921,dual-monitor-arm,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Dual monitor arm
9667777626425,stacking-chair-popcorn-6711,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,6621,no resolving signal; prefix=(none),Stacking chair popcorn — 6711
9667781034297,stacking-chair-sonic-6508,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,6508,no resolving signal; prefix=(none),Stacking chair sonic — 6508
9667825598777,gas-lift-monitor-riser,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,SPR,SPR-LLR99554,no resolving signal; prefix=SPR,Gas lift monitor riser
9667868524857,soft-pods,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,SOFT,Soft Pods-1,no resolving signal; prefix=SOFT,Soft pods
9676931498297,recycled-plastic-picnic-tables,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,SCN,scn-nd426,no resolving signal; prefix=SCN,Recycled plastic picnic tables
9682495111481,student-desk,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,DSQ,DSQ1824OAKBLK,no resolving signal; prefix=DSQ,Student Desk
9682497536313,student-desk-1,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,DTS,DTS1828P,no resolving signal; prefix=DTS,Student Desk
9682812207417,boulevard-system-3,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Boulevard system 3
9682813813049,diet,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Diet
9683089654073,pod-phone-booths,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Pod phone booths
9683498795321,sonoma,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,SANOMA,Sanoma,no resolving signal; prefix=SANOMA,Sonoma
9683645563193,ryno-patio-furniture-waterproof-polyethylene,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Ryno patio furniture waterproof polyethylene
9683649954105,recliners-by-ryno,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Recliners by Ryno
9685432140089,foundations-next-gen-serenity-safereach-compact-crib,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Foundations Next Gen Serenity SafeReach Compact Crib
9685598110009,willow-bariatric-chair,ACTIVE,Lesro Industries,Global Furniture Group,HIGH,NON-BBI-CONFLICT,vendor disagrees with evidence,GLB,"GLB-W530AUU, 02NS, 39WFA",Global-family prefix GLB->Global Furniture Group (parent manufacturer),Willow bariatric chair
9686666871097,uni-flip-training-tables-7-sizes,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,WS,WS48-MFLIP080/BF-WS101003-7981,no resolving signal; prefix=WS,Flip Top Training Tables 7 Sizes
9688164958521,duet-tablet-chair,ARCHIVED,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,6620TR,no resolving signal; prefix=(none),Duet Tablet Chair
9688170398009,agile-double-sided-8-pod-height-adjustable-shared-desk,ACTIVE,Brant Business Interiors,,AMBIGUOUS,AMBIGUOUS,vendor=BBI/blank,,,no resolving signal; prefix=(none),Agile double sided 8-pod height adjustable shared desk
