handle,url,http_code,has_nav,has_footer,has_breadcrumb,has_product_tiles,liquid_error,status
seating,https://brantbusinessinteriors.com/collections/seating,200,False,False,True,True,False,PASS
desks,https://brantbusinessinteriors.com/collections/desks,200,False,False,True,True,WARN-transient,WARN
storage,https://brantbusinessinteriors.com/collections/storage,200,False,False,True,True,False,PASS
tables,https://brantbusinessinteriors.com/collections/tables,200,False,False,True,True,False,PASS
boardroom,https://brantbusinessinteriors.com/collections/boardroom,200,False,False,True,True,False,PASS
accessories,https://brantbusinessinteriors.com/collections/accessories,200,False,False,True,True,False,PASS
ergonomic-products,https://brantbusinessinteriors.com/collections/ergonomic-products,200,False,False,True,True,False,PASS
panels-room-dividers,https://brantbusinessinteriors.com/collections/panels-room-dividers,200,False,False,True,True,False,PASS
quiet-spaces,https://brantbusinessinteriors.com/collections/quiet-spaces,200,False,False,True,True,False,PASS
business-furniture,https://brantbusinessinteriors.com/collections/business-furniture,200,False,False,True,True,False,PASS
