slot_id,slot_type,parent_template,block_key,collection_handle,collection_title,lead_product_id,lead_product_handle,lead_product_title,lead_product_image_src,selection_reason,target_spec,current_image,current_image_status,action
seating-hero,hero,collection.seating.json,,seating,Seating,9039326609721,obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort high back chair — 1240-3,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/ObusForme-Comfort-High-back-Chair-_Fabric_-1240-3-Business-Interiors-16681932.png?v=1764338025,bestseller,1920x1080,shopify://shop_images/seating-space.jpg,legacy_stocky,REPLACE
seating-tile-office-chairs,tile,collection.seating.json,tile-office-chairs,task-chairs,Task Chairs,9938954748217,mvl2786-yoho-armless-low-back-task-chair,MVL2786 yoho | armless low back task chair,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-black-mvl2786-yoho-armless-low-back-task-chair-43286138093881.png?v=1759098279,bestseller,1200x900,shopify://shop_images/seating-product.jpg,legacy_stocky,REPLACE
seating-tile-guest-seating,tile,collection.seating.json,tile-guest-seating,guest-seating,Guest (Seating),9699268591929,sidero-guest-chair-28-colour-options,Sidero guest chair 28 colour options — 28 colour,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Sidero-Guest-Chair-28-Colour-Options-Business-Interiors-16732543.jpg?v=1750121450,bestseller,1200x900,shopify://shop_images/task-seating-product.jpg,legacy_stocky,REPLACE
seating-tile-training,tile,collection.seating.json,tile-training,stacking-seating,Stacking (Seating),10043552071993,sonic-armchair-polypropylene-seat-back-6513,"Sonic armchair, polypropylene seat & back (6513) — 6513",https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2025-11-18180027.png?v=1767457390,first_in_collection,1200x900,shopify://shop_images/OCI-Education-1.jpg,legacy_stocky,REPLACE
seating-tile-stools,tile,collection.seating.json,tile-stools,stools,Stools,9666389082425,ibex-mesh-back-drafting-stool-task-chair-with-arms,Ibex mesh back drafting stool task chair with arms,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ibex-Mesh-Back-Drafting-Stool-Task-Chair-with-Arms-Business-Interiors-16700463.png?v=1750114859,bestseller,1200x900,shopify://shop_images/Inspiration-Meeting-1.jpg,legacy_stocky,REPLACE
seating-tile-lounge,tile,collection.seating.json,tile-lounge,lounge-seating,Lounge Seating,10002251514169,citi-lounge-seating-3-sizes-available,Lounge seating (3 sizes available) — 3 sizes,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot_2025-10-07_105845.png?v=1767457393,bestseller,1200x900,shopify://shop_images/Lounge-Carousel-Image6.jpg,legacy_stocky,REPLACE
seating-tile-outdoor,tile,collection.seating.json,tile-outdoor,outdoor-seating,Outdoor Seating,9676932350265,outdoor-steel-bench,Outdoor steel bench,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Outdoor-Steel-Bench-Business-Interiors-16714234.png?v=1750117496,bestseller,1200x900,shopify://shop_images/OCI-Hospitality-1.jpg,legacy_stocky,REPLACE
desks-hero,hero,collection.desks.json,,desks,Desks & Workstations,9687458873657,height-adjustable-table-5-sizes,Electric height adjustable sit to stand desks,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Height-Adjustable-Sit-to-Stand-Desks-Business-Interiors-16722765.png?v=1750119363,bestseller,1920x1080,shopify://shop_images/desks-space.jpg,legacy_stocky,REPLACE
desks-tile-height-adjustable,tile,collection.desks.json,tile-height-adjustable,height-adjustable-tables-desks,Height Adjustable Tables (Desks),9687458873657,height-adjustable-table-5-sizes,Electric height adjustable sit to stand desks,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Height-Adjustable-Sit-to-Stand-Desks-Business-Interiors-16722765.png?v=1750119363,bestseller,1200x900,shopify://shop_images/ergonomic-products-product.jpg,legacy_stocky,REPLACE
desks-tile-l-shape,tile,collection.desks.json,tile-l-shape,l-shape-desks,L-Shape Desks,9666764865849,l-shape-desk-hutch,L-shape desk & hutch,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L-Shape-Desk-_-Hutch-Business-Interiors-16705555.png?v=1750115631,bestseller,1200x900,shopify://shop_images/desks-space.png,legacy_stocky,REPLACE
