keyword,volume,kd,position,etv,type,intent,url
hon dealers,18100,HIGH,3,1761.1,LANDING,navigational,https://atwork.ca/brand/hon-furniture_canada/
office seating,33100,HIGH,9,1552.4,LANDING(home),transactional,https://atwork.ca/
receptionist at desk,2400,HIGH,4,729.6,COLLECTION,navigational,https://atwork.ca/product-category/desks/reception-desks/
artopex,4400,MEDIUM,6,290.0,LANDING,navigational,https://atwork.ca/brand/artopex_canada/
lovers at work,880,MEDIUM,1,267.5,LANDING,informational,https://atwork.ca/locations/lovers-atwork-office-furniture-london-ontario/
lovers office furniture,880,MEDIUM,1,267.5,LANDING,navigational,https://atwork.ca/locations/lovers-atwork-office-furniture-london-ontario/
reception desk,2400,HIGH,5,233.5,COLLECTION,navigational,https://atwork.ca/product-category/desks/reception-desks/
at work office furniture,590,HIGH,1,179.4,LANDING(home),transactional,https://atwork.ca/
tayco,2400,LOW,6,158.2,LANDING,informational,https://atwork.ca/brand/tayco_canada/
office furniture and,5400,HIGH,8,138.2,LANDING(home),navigational,https://atwork.ca/
office pod,720,HIGH,2,116.6,COLLECTION,transactional,https://atwork.ca/product-category/office-phone-booth-pod/
hon,4400,LOW,11,112.6,LANDING,informational,https://atwork.ca/brand/hon-furniture_canada/
desk chair white,1000,HIGH,4,97.3,COLLECTION,transactional,https://atwork.ca/shop/office_chairs/shorter-smaller-office-chairs/humanscale-modern-white-office-chair/
desk chairs leather,1000,HIGH,4,97.3,COLLECTION,transactional,https://atwork.ca/shop/office_chairs/executive/icon-l2-executive-leather-office-chair/
at work furniture,320,LOW,1,97.3,LANDING(home),navigational,https://atwork.ca/
blair's atwork office furniture,320,LOW,1,97.3,LANDING,navigational,https://atwork.ca/locations/blairs-atwork-office-furniture-toronto-gta/
boardroom table,880,HIGH,4,85.6,COLLECTION,transactional,https://atwork.ca/product-category/tables/boardroom-conference-tables/
corner desk with storage,480,HIGH,3,77.8,COLLECTION,transactional,https://atwork.ca/product-category/desks/corners-l-shapes/
conference table,720,HIGH,4,70.1,COLLECTION,transactional,https://atwork.ca/product-category/tables/boardroom-conference-tables/
steelcase canada,720,HIGH,3,70.1,COLLECTION,navigational,https://atwork.ca/shop/office_chairs/task_office_chairs/reconditioned-steelcase-leap-office-chairs-assembled/
office phone booth,210,HIGH,2,63.8,COLLECTION,transactional,https://atwork.ca/product-category/office-phone-booth-pod/
small reception counters,210,HIGH,2,63.8,COLLECTION,transactional,https://atwork.ca/product-category/desks/reception-desks/
work pod,210,HIGH,3,63.8,COLLECTION,transactional,https://atwork.ca/product-category/office-phone-booth-pod/
hon ignition 2,390,HIGH,3,63.2,COLLECTION,transactional,https://atwork.ca/shop/office_chairs/white-office-chairs/hon-ignition-2-0-headrest-mesh-back-task-chair-all-finishes/
ignition 2.0 hon,390,HIGH,2,63.2,COLLECTION,transactional,https://atwork.ca/shop/office_chairs/white-office-chairs/hon-ignition-2-0-headrest-mesh-back-task-chair-all-finishes/
newmarket office furniture,390,MEDIUM,2,63.2,LANDING,navigational,https://atwork.ca/locations/office-furniture-newmarket-canada/
office furniture near me,1300,HIGH,9,61.0,LANDING(home),transactional,https://atwork.ca/
2nd hand office chair,590,HIGH,7,57.4,LANDING,transactional,https://atwork.ca/used-categories/chairs/
used office desk and chair,590,HIGH,7,57.4,LANDING(home),transactional,https://atwork.ca/used-office-furniture-deals/
at work office interiors,320,LOW,2,51.8,LANDING(home),informational,https://atwork.ca/
atwork office interiors,320,LOW,2,51.8,LANDING,navigational,https://atwork.ca/locations/bakers-atwork-office-furniture-cambridge-waterloo/
cubicle desk,170,HIGH,2,51.7,COLLECTION,transactional,https://atwork.ca/product-category/office-cubicles-panels/cubicles/
meeting pod,170,HIGH,2,51.7,COLLECTION,informational,https://atwork.ca/product-category/office-phone-booth-pod/
office cubicle desks,170,HIGH,2,51.7,COLLECTION,transactional,https://atwork.ca/product-category/office-cubicles-panels/cubicles/
reception desk for sale,170,HIGH,2,51.7,COLLECTION,transactional,https://atwork.ca/product-category/desks/reception-desks/
office pods canada,140,HIGH,2,42.6,COLLECTION,navigational,https://atwork.ca/product-category/office-phone-booth-pod/
steelcase leap v2 canada,260,HIGH,3,42.1,COLLECTION,transactional,https://atwork.ca/shop/office_chairs/task_office_chairs/reconditioned-steelcase-leap-office-chairs-assembled/
gremlins bicycle emporium,880,LOW,5,41.3,LANDING(home),navigational,https://atwork.ca/gremlins-bicycle-emporium-the-go-to-bike-shop-for-commuters-in-london-ontario/
spec furniture,1600,LOW,8,41.0,LANDING,navigational,https://atwork.ca/brand/spec-furniture_canada/
fire safe file cabinet,390,HIGH,4,37.9,COLLECTION,transactional,https://atwork.ca/shop/filing-storage/fire-resistant-security/gardex-classique-25-4-dwr-fire-resistant-legal/
