keyword,volume,kd,position,etv,type,intent,url
office products supplies,5400,MEDIUM,5,874.8,LANDING(home),transactional,https://www.grandandtoy.com/
office supplies and,5400,MEDIUM,4,874.8,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies supplier,5400,MEDIUM,5,874.8,LANDING(home),commercial,https://www.grandandtoy.com/
office depot,8100,MEDIUM,4,788.1,LANDING(home),navigational,https://www.grandandtoy.com/
office consumables,5400,MEDIUM,5,525.4,LANDING(home),transactional,https://www.grandandtoy.com/
office suppliers,5400,MEDIUM,6,525.4,LANDING(home),commercial,https://www.grandandtoy.com/
office supply stores,1600,LOW,4,486.4,LANDING(home),commercial,https://www.grandandtoy.com/
office equipment stores near me,2400,LOW,5,388.8,LANDING(home),navigational,https://www.grandandtoy.com/
office products stores near me,2400,LOW,6,388.8,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies stores near me,2400,LOW,6,388.8,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies,5400,MEDIUM,7,355.9,LANDING(home),transactional,https://www.grandandtoy.com/
office stationery stores,1600,LOW,7,105.4,LANDING(home),commercial,https://www.grandandtoy.com/
office depot canada,590,HIGH,2,95.6,LANDING(home),navigational,https://www.grandandtoy.com/
desk organizer,4400,HIGH,9,86.7,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1713_27
desktop organizer,880,HIGH,3,85.6,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1713_37
office supplies calgary,210,HIGH,4,63.8,LANDING(home),navigational,https://www.grandandtoy.com/
office stores canada,320,HIGH,2,51.8,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies canada,320,HIGH,2,51.8,LANDING(home),commercial,https://www.grandandtoy.com/
office supplies toronto,170,HIGH,4,51.7,LANDING(home),navigational,https://www.grandandtoy.com/
office organizer,480,HIGH,4,46.7,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1713_27
home and office supplies,90,MEDIUM,6,27.4,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies vancouver,140,HIGH,5,22.7,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies edmonton,170,HIGH,5,21.5,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies company,70,MEDIUM,4,21.3,LANDING(home),commercial,https://www.grandandtoy.com/
stationery office supplies,210,HIGH,8,20.4,LANDING(home),transactional,https://www.grandandtoy.com/
office supplies hamilton ontario,110,HIGH,5,17.8,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies winnipeg,170,HIGH,6,16.5,LANDING(home),navigational,https://www.grandandtoy.com/
office supply companies canada,50,HIGH,2,15.2,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies halifax,70,HIGH,5,11.3,LANDING(home),navigational,https://www.grandandtoy.com/
id holder retractable,320,HIGH,8,10.8,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1713_638
office supplies regina,140,HIGH,7,9.2,LANDING(home),navigational,https://www.grandandtoy.com/
office whiteboards,140,HIGH,6,9.2,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1733_398
logitech mx vertical ergonomic mouse,590,LOW,12,8.9,PDP,transactional,https://www.grandandtoy.com/en/product/910-005447_Logitech_MX_Vertical_Advanced_Ergonomic_Mouse_-_Optical_-_CableWireless_-_BluetoothRadio_Frequency_-_Graphite_-_USB_Type_C_-_4000_dpi_-_Scroll_Wheel_-.aspx
canadian office supply companies,50,HIGH,3,8.1,LANDING(home),commercial,https://www.grandandtoy.com/
office supply store canada,50,HIGH,5,8.1,LANDING(home),navigational,https://www.grandandtoy.com/
office supplies hamilton,110,HIGH,7,7.2,LANDING(home),commercial,https://www.grandandtoy.com/
office supplies co,70,MEDIUM,3,6.8,LANDING(home),navigational,https://www.grandandtoy.com/
home office products,90,MEDIUM,5,5.9,LANDING(home),transactional,https://www.grandandtoy.com/
index dividers insertable tabs,90,HIGH,5,5.9,PDP,commercial,https://www.grandandtoy.com/en/product/99026_Grand__Toy_Insertable_Tab_Index_Dividers%2C_Buff_With_Clear_Tabs%2C_Letter-Size%2C_5-TabsST%2C_1-S_-_Blank_Tab(s)_-_5_Tab(s)Set_-_1_60_(40_64_mm)_Tab_Height_-.aspx
office depot saskatoon,90,HIGH,8,5.9,LANDING(home),navigational,https://www.grandandtoy.com/
office supply deals,90,LOW,5,5.9,LANDING(home),commercial,https://www.grandandtoy.com/
g and l furniture,1000,HIGH,15,5.9,LANDING(home),navigational,https://www.grandandtoy.com/
clear desk mat,170,HIGH,7,5.7,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1713_34
lenovo thinkcentre m93p desktop,140,HIGH,9,4.7,LANDING,transactional,https://assets.grandandtoy.com/assets/Manufacturer-Brochure/10/29/1029283773.pdf
grand furniture,480,HIGH,17,4.4,LANDING(home),navigational,https://www.grandandtoy.com/
clear desk pad,170,HIGH,10,4.4,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1713_34
foldable table grey,110,HIGH,8,3.7,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1733_110
grand's furniture,480,HIGH,17,3.6,LANDING(home),transactional,https://www.grandandtoy.com/
desktop file holder,70,HIGH,6,3.3,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1713_37
office supplies montreal,70,HIGH,8,3.3,LANDING(home),navigational,https://www.grandandtoy.com/
office supply kelowna,70,HIGH,8,3.3,LANDING(home),navigational,https://www.grandandtoy.com/
rocelco desk riser,70,HIGH,5,3.3,LANDING(home),transactional,https://www.grandandtoy.com/ProductDetails?productCode=ROADR+BLACK
logitech ergo k860 ergonomic keyboard,390,LOW,17,2.9,PDP,transactional,https://www.grandandtoy.com/en/product/920-009166_Logitech_ERGO_K860_Split_Ergonomic_Keyboard_-_Wireless_Connectivity_-_BluetoothRF_-_32_81_ft_(10000_mm)_-_2_40_GHz_-_USB_Interface_-_Windows%2C_Mac_OS_-.aspx
office depot and max,320,LOW,16,2.9,LANDING(home),navigational,https://www.grandandtoy.com/
obusforme chair,170,HIGH,11,2.5,PDP,transactional,https://www.grandandtoy.com/en/product/1260-3-TC74_Global_ObusForme_Comfort_High_Back_Multi-Tilter%2C_Schukra_-_Black_Seat_Color_-_Black_Back_Color_-_High_Back_-_5-star_Base_-_Armrest_-_1_Each.aspx
athena standing desk,70,HIGH,8,2.4,PDP,transactional,https://www.grandandtoy.com/en/product/A2448-2L-EZSL_HDL_Athena_Sit-stand_Desk_-_Contemporary_Style_-_220_lb_(99_79_kg)_Capacity_-_Height_Adjustable_-_48_(1219_20_mm)_Table_Top_Width_x_24_(609_60_mm)_Tab.aspx
office supplies moncton,70,HIGH,9,2.4,LANDING(home),navigational,https://www.grandandtoy.com/
retractable badge clip,70,HIGH,7,1.8,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1713_638
cubicle accessories,90,HIGH,11,1.8,LANDING,transactional,https://www.grandandtoy.com/en/elsearch/search?categoryId=1713_32
vancouver office depot,110,MEDIUM,13,1.6,LANDING(home),navigational,https://www.grandandtoy.com/
printer table,590,HIGH,25,1.4,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1733_177
cubicle hooks,70,HIGH,11,1.4,LANDING,transactional,https://www.grandandtoy.com/en/elsearch/search?categoryId=1713_32
sit-stand desktop,70,HIGH,10,1.4,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?categoryId=1733_132
brant office supply,210,MEDIUM,16,1.2,LANDING(home),navigational,https://www.grandandtoy.com/
furniture supply,70,HIGH,12,1.0,LANDING(home),commercial,https://www.grandandtoy.com/
sit-stand desktop riser,70,HIGH,12,1.0,LANDING,transactional,https://www.grandandtoy.com/EN/elsearch/search?fl=U1lTX0NBVEFMT0dfUEFUSFMucGF0aDoxNzMzXzEzNQ==
querney's office plus,210,LOW,18,0.9,LANDING(home),navigational,https://www.grandandtoy.com/
office furniture regina sk,140,HIGH,21,0.6,LANDING(home),navigational,https://www.grandandtoy.com/
logitech ergo k860 wireless ergonomic keyboard,70,HIGH,19,0.4,PDP,transactional,https://www.grandandtoy.com/en/product/920-009166_Logitech_ERGO_K860_Split_Ergonomic_Keyboard_-_Wireless_Connectivity_-_BluetoothRF_-_32_81_ft_(10000_mm)_-_2_40_GHz_-_USB_Interface_-_Windows%2C_Mac_OS_-.aspx
office and shop furniture,140,LOW,22,0.3,LANDING(home),navigational,https://www.grandandtoy.com/
