keyword,volume,kd,position,etv,type,intent,url
poi,12100,LOW,6,797.4,LANDING(home),informational,https://www.poi.ca/about-us/
poi business interiors,1300,LOW,1,395.2,LANDING(home),navigational,https://www.poi.ca/
roserock place,590,LOW,2,95.6,LANDING(home),navigational,https://www.poi.ca/roserock-place/
dirtt,880,LOW,6,58.0,PDP,informational,https://www.poi.ca/products/architecture-space-division/walls-work-walls/dirtt/
audio visual technology,480,LOW,8,46.7,BLOG,informational,https://www.poi.ca/blog/audio-visual-technology-trends-solutions-2020/
limberlost place,2900,LOW,10,43.5,LANDING(home),navigational,https://www.poi.ca/limberlost-place/
steelcase series 1,590,HIGH,4,38.9,PDP,transactional,https://store.poi.ca/products/series-1
office relocation service,170,LOW,6,27.5,LANDING,commercial,https://www.poi.ca/connected-solutions/moves-and-relocation/
poi furniture,90,MEDIUM,1,27.4,LANDING(home),navigational,https://www.poi.ca/
40 king street west,2400,LOW,14,21.8,LANDING,navigational,https://www.poi.ca/our-work/kingsettcapital/
3389 steeles ave e north york on m2h 3s8,170,LOW,6,16.5,LANDING(home),navigational,https://www.poi.ca/poi-locations/
sickkids patient support centre,3600,LOW,19,15.5,LANDING(home),navigational,https://www.poi.ca/sick-kids/
kingsett,720,LOW,11,14.2,LANDING,informational,https://www.poi.ca/our-work/kingsettcapital/
40 king st toronto,2400,LOW,18,13.4,LANDING,navigational,https://www.poi.ca/our-work/kingsettcapital/
40 king st west toronto,2400,LOW,18,12.2,LANDING,navigational,https://www.poi.ca/our-work/kingsettcapital/
40 king west toronto,2400,LOW,19,12.2,LANDING,navigational,https://www.poi.ca/our-work/kingsettcapital/
office relocation company,170,LOW,7,11.2,LANDING,commercial,https://www.poi.ca/connected-solutions/moves-and-relocation/
steelcase leap plus,110,HIGH,3,10.7,PDP,transactional,https://store.poi.ca/products/leap-plus
40 king street west toronto,2400,LOW,21,10.3,LANDING,navigational,https://www.poi.ca/our-work/kingsettcapital/
steelcase chairs,2900,HIGH,24,9.6,PDP,transactional,https://store.poi.ca/products/series-1
surgically clean air,480,HIGH,13,9.5,BLOG,informational,https://www.poi.ca/blog/elevate-indoor-air-quality-with-surgically-clean-air-jade-2-0s-air-purification/
40 king st w,720,LOW,12,8.1,LANDING,navigational,https://www.poi.ca/our-work/kingsettcapital/
steelcase gesture canada,170,HIGH,5,8.0,PDP,navigational,https://store.poi.ca/products/gesture-x
audio visual solution,210,LOW,10,7.1,LANDING,commercial,https://www.poi.ca/connected-solutions/av-technology/
leap chair,210,HIGH,8,7.1,PDP,transactional,https://store.poi.ca/products/leap-x
steelcase leap v2 canada,260,HIGH,9,6.7,PDP,transactional,https://store.poi.ca/products/leap-x
business interiors,140,MEDIUM,5,6.6,LANDING(home),commercial,https://www.poi.ca/
steelcase store,140,MEDIUM,7,6.6,PDP,navigational,https://store.poi.ca/products/series-1
kingsett capital toronto office,90,LOW,5,5.9,LANDING,navigational,https://www.poi.ca/our-work/kingsettcapital/
audiovisual solutions,210,LOW,11,5.4,LANDING,commercial,https://www.poi.ca/connected-solutions/av-technology/
modular office furniture,140,HIGH,10,4.7,BLOG,transactional,https://www.poi.ca/blog/maximizing-space-efficiency-with-modular-office-furniture-solutions/
steelcase leap headrest,70,MEDIUM,5,4.6,PDP,transactional,https://store.poi.ca/products/leap-with-head-rest
steelcase leap v2 with headrest,170,MEDIUM,9,4.4,PDP,transactional,https://store.poi.ca/products/leap-with-head-rest
amia,720,LOW,16,4.2,PDP,informational,https://store.poi.ca/products/amia
furniture for education,90,MEDIUM,7,4.2,LANDING,commercial,https://www.poi.ca/environments/education/
steelcase canada,720,HIGH,20,4.0,LANDING(home),navigational,https://www.poi.ca/
jade 2.0 air purifier,110,HIGH,9,3.7,BLOG,transactional,https://www.poi.ca/blog/elevate-indoor-air-quality-with-surgically-clean-air-jade-2-0s-air-purification/
ergonomic furniture for home office,140,LOW,10,3.6,BLOG,commercial,https://www.poi.ca/blog/best-ergonomically-designed-home-office-furniture/
finastra mississauga,140,LOW,8,3.6,LANDING,navigational,https://www.poi.ca/our-work/finastra/
jade air purifier,170,HIGH,12,3.3,BLOG,transactional,https://www.poi.ca/blog/elevate-indoor-air-quality-with-surgically-clean-air-jade-2-0s-air-purification/
steelcase leap canada,70,HIGH,7,3.3,PDP,navigational,https://store.poi.ca/products/leap-x
cpl mississauga,90,LOW,9,3.0,LANDING,navigational,https://www.poi.ca/our-work/cpl/
office furniture london ontario,110,HIGH,9,2.8,LANDING(home),navigational,https://www.poi.ca/poi-london/
steelcase amia canada,110,HIGH,8,2.2,PDP,commercial,https://store.poi.ca/products/amia-air
av solutions toronto,70,LOW,10,1.8,LANDING,navigational,https://www.poi.ca/connected-solutions/av-technology/
surgically clean air purifier,90,HIGH,12,1.8,BLOG,transactional,https://www.poi.ca/blog/elevate-indoor-air-quality-with-surgically-clean-air-jade-2-0s-air-purification/
dirtt walls,140,LOW,14,1.6,PDP,transactional,https://www.poi.ca/products/architecture-space-division/walls-work-walls/dirtt/
solutions business interiors,260,LOW,14,1.5,LANDING(home),navigational,https://www.poi.ca/connected-solutions/
relocation company,260,LOW,21,1.5,LANDING,commercial,https://www.poi.ca/connected-solutions/moves-and-relocation/
steelcase gesture office chair,590,LOW,26,1.4,PDP,transactional,https://store.poi.ca/products/gesture-x
steelcase series 2,320,HIGH,19,1.4,PDP,transactional,https://store.poi.ca/products/series-2
surgically clean air jade,90,MEDIUM,13,1.4,BLOG,transactional,https://www.poi.ca/blog/elevate-indoor-air-quality-with-surgically-clean-air-jade-2-0s-air-purification/
gesture chair,110,HIGH,14,1.2,PDP,transactional,https://www.poi.ca/products/gesture-2/
steelcase gesture chair,210,HIGH,18,1.2,PDP,transactional,https://store.poi.ca/products/gesture-with-headrest
steelcase chairs canada,260,HIGH,23,1.1,PDP,commercial,https://store.poi.ca/products/series-1
dirt walls,110,LOW,16,1.0,PDP,transactional,https://www.poi.ca/products/architecture-space-division/walls-work-walls/dirtt/
commercial furniture,170,HIGH,20,1.0,LANDING,commercial,https://www.poi.ca/connected-solutions/furniture/
steelcase canada ltd,170,LOW,20,0.9,LANDING(home),navigational,https://www.poi.ca/
steelcase karman,260,HIGH,25,0.9,PDP,transactional,https://store.poi.ca/products/karman
finastra canada,140,LOW,15,0.8,LANDING,navigational,https://www.poi.ca/our-work/finastra/
workplace consultant,70,LOW,15,0.8,BLOG,navigational,https://www.poi.ca/blog/invest-workplace-consulting-create-workspace-tomorrow/
steelcase canada limited,170,LOW,18,0.7,LANDING,navigational,https://www.poi.ca/steelcase_module/canadian-steelcase-dealer-advantage/
office lockers,90,HIGH,16,0.7,PDP,transactional,https://www.poi.ca/products/personal-lockers/
aviva markham office,140,LOW,19,0.6,LANDING,navigational,https://www.poi.ca/our-work/aviva-hq/
limberlost place george brown,50,LOW,14,0.6,LANDING(home),informational,https://www.poi.ca/limberlost-place/
personal desk,50,HIGH,12,0.6,BLOG,transactional,https://www.poi.ca/blog/toronto-workers-look-shopping-home-office-desk/
evolution office,90,LOW,15,0.5,BLOG,navigational,https://www.poi.ca/blog/evolution-of-the-office-from-generations-past-to-the-future-workspace/
inspired business interiors inc,90,LOW,14,0.5,LANDING(home),navigational,https://www.poi.ca/our-work/
concept3 business interiors,210,LOW,26,0.5,LANDING(home),informational,https://www.poi.ca/
poi source,90,LOW,18,0.5,BLOG,informational,https://www.poi.ca/blog/canadian-at-the-core-why-partnering-with-poi-means-investing-in-canada/
