keyword,volume,kd,position,etv,type,intent,url
office with chairs,33100,HIGH,3,10062.4,COLLECTION,commercial,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating
office seating,33100,HIGH,3,5362.2,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating
office desk,9900,HIGH,1,3009.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations
hon dealers,18100,HIGH,2,2932.2,LANDING,navigational,https://www.sourceofficefurniture.ca/brand/hon
filing cabinet,12100,HIGH,3,1960.2,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/filing-cabinets
offices furniture,5400,HIGH,4,1641.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations
source office furniture,4400,HIGH,1,1337.6,LANDING(home),navigational,https://www.sourceofficefurniture.ca/
office desk chairs canada,2900,HIGH,1,881.6,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating
cabinet and storage,8100,HIGH,4,788.1,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/bookshelves-and-storage/storage-cabinets-and-racks
reception desk,2400,HIGH,2,729.6,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/reception-and-waiting-area-furniture/reception-desks
office table,1900,HIGH,2,577.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations
office equipment store,1600,LOW,4,486.4,LANDING(home),navigational,https://www.sourceofficefurniture.ca/
home office desk,2900,HIGH,3,469.8,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations
office furniture near me,1300,HIGH,4,395.2,LANDING(home),transactional,https://www.sourceofficefurniture.ca/office-furniture-langley-british-columbia
2 drawer filing cabinet,1000,HIGH,2,304,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/filing-cabinets
comfort chairs for office,1000,HIGH,2,304,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating
source furniture,1000,HIGH,1,304,LANDING(home),navigational,https://www.sourceofficefurniture.ca/
source office furniture edmonton,1000,MEDIUM,1,304,LANDING(home),navigational,https://www.sourceofficefurniture.ca/edmonton-alberta-showroom
hutch,8100,HIGH,9,273.8,COLLECTION,informational,https://www.sourceofficefurniture.ca/shop/bookshelves-and-storage/hutches
boardroom table,880,HIGH,1,267.5,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/conference-and-boardroom-tables
l shaped office desk,880,HIGH,1,267.5,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations/corner-and-l-shaped-desks
source office furniture calgary,880,MEDIUM,1,267.5,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-calgary-alberta
office furniture and,5400,HIGH,6,253.3,LANDING(home),navigational,https://www.sourceofficefurniture.ca/
conference table,720,HIGH,2,218.9,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/conference-and-boardroom-tables
office desks canada,720,HIGH,1,218.9,COLLECTION,commercial,https://www.sourceofficefurniture.ca/shop/desks-and-workstations
source office furniture brampton,720,LOW,1,218.9,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-brampton-ontario
l desk,1300,HIGH,3,210.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations/corner-and-l-shaped-desks
stacking chairs,1300,HIGH,3,210.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating/stacking-and-folding-chairs
workplace desks,1300,HIGH,3,210.6,COLLECTION,transactional,https://www.sourceofficefurniture.ca/shop/desks-and-workstations/team-workstations
office chairs edmonton,590,HIGH,4,179.4,COLLECTION,navigational,https://www.sourceofficefurniture.ca/shop/office-chairs-and-seating
office furniture stores,590,MEDIUM,4,179.4,LANDING(home),commercial,https://www.sourceofficefurniture.ca/
source office furniture markham,590,LOW,1,179.4,LANDING(home),navigational,https://www.sourceofficefurniture.ca/office-furniture-markham-ontario
