keyword,volume,kd,position,etv,type,intent,url
desk chair office,33100,HIGH,3,5362.2,COLLECTION,transactional,https://www.staples.ca/collections/office-chairs-65
game gaming chair,27100,HIGH,4,2636.8,COLLECTION,transactional,https://www.staples.ca/collections/gaming-chairs-6877
tablets apple ipad air,49500,HIGH,8,2321.6,COLLECTION,transactional,https://www.staples.ca/collections/ipad-air-8412
tablet,22200,HIGH,6,2160.1,COLLECTION,transactional,https://www.staples.ca/collections/android-tablets-106
staples office chairs,6600,HIGH,1,2006.4,COLLECTION,transactional,https://www.staples.ca/collections/office-chairs-65
office consumables,5400,MEDIUM,2,1641.6,COLLECTION,transactional,https://www.staples.ca/collections/office-supplies-189
office products supplies,5400,MEDIUM,4,1641.6,COLLECTION,transactional,https://www.staples.ca/collections/office-supplies-189
office supplies and,5400,MEDIUM,2,1641.6,COLLECTION,navigational,https://www.staples.ca/collections/office-supplies-189
office supplies near me,4400,MEDIUM,4,1337.6,LANDING(home),transactional,https://stores.staples.ca/
tablets apple ipad,33100,HIGH,8,1118.8,COLLECTION,transactional,https://www.staples.ca/collections/ipads-105
staples head office,3600,LOW,2,1094.4,LANDING,navigational,https://www.staples.ca/a/content/media-information
computer desk,9900,HIGH,3,963.3,COLLECTION,transactional,https://www.staples.ca/collections/computer-desks-6883
gaming chair,27100,HIGH,8,916.0,COLLECTION,transactional,https://www.staples.ca/collections/gaming-chairs-6877
portable monitor for laptop,2900,HIGH,1,881.6,LANDING(home),transactional,https://www.staples.ca/search?query=portable%20monitor
office seating,33100,HIGH,11,847.4,COLLECTION,transactional,https://www.staples.ca/collections/office-chairs-65
filing cabinet,12100,HIGH,5,797.4,COLLECTION,transactional,https://www.staples.ca/collections/filing-cabinet-68
tablet surface pro,12100,HIGH,7,797.4,COLLECTION,transactional,https://www.staples.ca/collections/surface-pro-7179
ergonomic mouse,8100,HIGH,5,788.1,LANDING(home),transactional,https://www.staples.ca/search?query=ergonomic%20mouse
desk chair near me,2400,HIGH,4,729.6,COLLECTION,transactional,https://www.staples.ca/collections/office-chairs-65
office equipment stores near me,2400,LOW,4,729.6,LANDING(home),navigational,https://www.staples.ca/
office products stores near me,2400,LOW,5,729.6,LANDING(home),navigational,https://www.staples.ca/
office supplies stores near me,2400,LOW,5,729.6,LANDING(home),navigational,https://www.staples.ca/
office supply shop near me,2400,LOW,4,729.6,LANDING,navigational,https://stores.staples.ca/bc/victoria/office-supplies-ca-64.html
printable stickers staples,2400,HIGH,1,729.6,LANDING(home),transactional,https://www.staples.ca/search?query=print%20stickers
desk organizer,4400,HIGH,2,712.8,COLLECTION,transactional,https://www.staples.ca/collections/desk-workspace-organization-216
computer chair,5400,HIGH,3,682.3,COLLECTION,transactional,https://www.staples.ca/collections/office-chairs-65
bookcases bookshelves,9900,HIGH,5,652.4,COLLECTION,transactional,https://www.staples.ca/collections/bookcases-bookshelves-8919
office,110000,LOW,15,649,LANDING(home),informational,https://www.staples.ca/search?query=Microsoft%20office
lenovo tablet,6600,HIGH,5,642.2,LANDING(home),transactional,https://www.staples.ca/search?query=lenovo%20tablet
laptop desk,3600,HIGH,3,583.2,LANDING(home),transactional,https://www.staples.ca/search?query=portable%20laptop%20desk
desk staplers,1900,HIGH,3,577.6,COLLECTION,transactional,https://www.staples.ca/collections/staplers-6769
office chair floor mat,1900,HIGH,1,577.6,COLLECTION,transactional,https://www.staples.ca/collections/chairmats-69
portable ssd,1900,HIGH,2,577.6,COLLECTION,transactional,https://www.staples.ca/collections/solid-state-drives-ssd-8740
staples chairs,1900,HIGH,1,577.6,COLLECTION,transactional,https://www.staples.ca/collections/office-chairs-65
staples desks,1900,HIGH,1,577.6,COLLECTION,transactional,https://www.staples.ca/collections/desks-workstations-66
gamers chair,27100,HIGH,12,533.9,COLLECTION,transactional,https://www.staples.ca/collections/gaming-chairs-6877
l-shaped desk,8100,HIGH,6,533.8,COLLECTION,transactional,https://www.staples.ca/collections/corner-l-desks-6884
chair mat,1600,HIGH,1,486.4,COLLECTION,transactional,https://www.staples.ca/collections/chairmats-69
office products store,1600,LOW,4,486.4,COLLECTION,navigational,https://www.staples.ca/collections/office-supplies-189
staples coupons printable,1600,LOW,2,486.4,LANDING,commercial,https://www.staples.ca/a/content/coupon-centre
staples filing cabinet,1600,HIGH,1,486.4,COLLECTION,transactional,https://www.staples.ca/collections/filing-cabinet-68
locker lock,2900,HIGH,3,469.8,COLLECTION,transactional,https://www.staples.ca/collections/locks-6767
ms office,40500,HIGH,13,457.6,COLLECTION,transactional,https://www.staples.ca/collections/microsoft-office-7308
chair mat for carpet,1300,HIGH,2,395.2,COLLECTION,transactional,https://www.staples.ca/collections/chairmats-69
computer desk floor mat,1300,HIGH,2,395.2,COLLECTION,transactional,https://www.staples.ca/collections/chairmats-69
locker shelf,1300,HIGH,1,395.2,LANDING(home),transactional,https://www.staples.ca/search?query=locker%20shelf%20
locker shelves,1300,HIGH,1,395.2,LANDING(home),transactional,https://www.staples.ca/search?query=locker%20shelf%20
office chair near me,2400,HIGH,6,388.8,COLLECTION,transactional,https://www.staples.ca/collections/office-chairs-65
power bank portable charger,2400,HIGH,3,388.8,COLLECTION,transactional,https://www.staples.ca/collections/power-banks-35445
folding table,14800,HIGH,10,378.9,LANDING(home),transactional,https://www.staples.ca/search?query=folding%20tables
task chair canada,2900,HIGH,4,366.4,COLLECTION,informational,https://www.staples.ca/collections/office-chairs-65
office suppliers,5400,MEDIUM,7,355.9,LANDING(home),commercial,https://www.staples.ca/
wacom tablet,3600,HIGH,4,350.3,PDP,transactional,https://www.staples.ca/products/3027472-en-wacom-one-creative-pen-tablet-medium
ergonomic office seating,9900,HIGH,9,334.6,COLLECTION,transactional,https://www.staples.ca/collections/ergonomic-chairs-6879
microsoft tablet surface pro,12100,HIGH,9,309.8,COLLECTION,transactional,https://www.staples.ca/collections/surface-pro-7179
wireless speaker portable bluetooth,12100,LOW,10,309.8,COLLECTION,commercial,https://www.staples.ca/collections/bluetooth-speakers-8585
