keyword,volume,kd,position,etv,type,intent,url
office furniture shop,590,MEDIUM,1,179.4,LANDING(home),commercial,https://theofficeshop.ca/
the office shop,390,MEDIUM,1,118.6,LANDING(home),navigational,https://theofficeshop.ca/
office furniture stores,590,MEDIUM,6,57.4,LANDING(home),commercial,https://theofficeshop.ca/
office furniture gta,320,MEDIUM,5,51.8,LANDING(home),commercial,https://theofficeshop.ca/
global total office,480,LOW,3,46.7,LANDING,navigational,https://theofficeshop.ca/product_brands/global-total-office/
office furniture toronto,480,HIGH,5,46.7,LANDING(home),navigational,https://theofficeshop.ca/
globalcontract,590,LOW,5,27.7,LANDING,informational,https://theofficeshop.ca/product_brands/global-contract/
office & shop furniture,170,LOW,2,27.5,LANDING(home),navigational,https://theofficeshop.ca/
office rent furniture,90,HIGH,4,27.4,LANDING(home),commercial,https://theofficeshop.ca/rentals/
the office shop inc,90,MEDIUM,1,27.4,LANDING(home),navigational,https://theofficeshop.ca/
2nd hand office furniture,880,HIGH,10,22.5,LANDING,transactional,https://theofficeshop.ca/product_brands/used-office-furniture/
iof furniture,480,LOW,5,22.5,LANDING,navigational,https://theofficeshop.ca/product_brands/iof/
global contract,720,LOW,8,18.4,LANDING,informational,https://theofficeshop.ca/product_brands/global-contract/
global contract canada,720,LOW,7,18.4,LANDING,commercial,https://theofficeshop.ca/product_brands/global-contract/
reception desk,2400,HIGH,17,18,LANDING,navigational,https://theofficeshop.ca/product_category/reception/
office furniture and desks,110,HIGH,5,17.8,LANDING(home),transactional,https://theofficeshop.ca/
office furniture london ontario,110,HIGH,2,17.8,LANDING,navigational,https://theofficeshop.ca/locations/london/
office and shop furniture toronto,170,LOW,3,16.5,LANDING(home),navigational,https://theofficeshop.ca/
global office furniture,320,HIGH,9,15.0,LANDING,navigational,https://theofficeshop.ca/product_brands/global-total-office/
keilhauer office chair,90,HIGH,4,14.6,LANDING,transactional,https://theofficeshop.ca/product_brands/keilhauer/
office furniture and,5400,HIGH,22,14.6,LANDING(home),navigational,https://theofficeshop.ca/
office furniture installation,90,LOW,5,14.6,LANDING,commercial,https://theofficeshop.ca/services/office-installation-and-reconfiguration/
office furniture vaughan ontario,90,HIGH,5,14.6,LANDING,navigational,https://theofficeshop.ca/locations/vaughan/
offices furniture,5400,HIGH,23,14.6,LANDING(home),transactional,https://theofficeshop.ca/
vaughan office furniture,90,HIGH,5,14.6,LANDING,navigational,https://theofficeshop.ca/locations/vaughan/
office equipment stores near me,2400,LOW,17,14.2,LANDING,navigational,https://theofficeshop.ca/locations/ottawa/
office and shop furniture,140,LOW,3,13.6,LANDING(home),navigational,https://theofficeshop.ca/
office furniture markham,140,HIGH,6,13.6,LANDING(home),navigational,https://theofficeshop.ca/
tayco,2400,LOW,17,13.4,LANDING,informational,https://theofficeshop.ca/product_brands/tayco/
used office furniture toronto,480,HIGH,7,12.3,LANDING,commercial,https://theofficeshop.ca/product_brands/used-office-furniture/
