keyword,volume,ncomp,score,comps,bbi_pos
office,110000,1,110000,staples,absent
office seating,33100,3,99300,"atwork,sourceofficefurniture,staples",absent
office with chairs,33100,2,66200,"sourceofficefurniture,staples",absent
tablets apple ipad air,49500,1,49500,staples,absent
ms office,40500,1,40500,staples,absent
hon dealers,18100,2,36200,"atwork,sourceofficefurniture",absent
desk chair office,33100,1,33100,staples,absent
tablets apple ipad,33100,1,33100,staples,absent
game gaming chair,27100,1,27100,staples,absent
gaming chair,27100,1,27100,staples,absent
gamers chair,27100,1,27100,staples,absent
filing cabinet,12100,2,24200,"sourceofficefurniture,staples",absent
tablet,22200,1,22200,staples,absent
office furniture and,5400,3,16200,"atwork,sourceofficefurniture,theofficeshop",absent
offices furniture,5400,3,16200,"atwork,sourceofficefurniture,theofficeshop",absent
l-shaped desk,8100,2,16200,"sourceofficefurniture,staples",absent
folding table,14800,1,14800,staples,absent
poi,12100,1,12100,poi,absent
tablet surface pro,12100,1,12100,staples,absent
microsoft tablet surface pro,12100,1,12100,staples,absent
wireless speaker portable bluetooth,12100,1,12100,staples,absent
office products supplies,5400,2,10800,"grandandtoy,staples",absent
office supplies and,5400,2,10800,"grandandtoy,staples",absent
office consumables,5400,2,10800,"grandandtoy,staples",absent
office suppliers,5400,2,10800,"grandandtoy,staples",absent
office desk,9900,1,9900,sourceofficefurniture,absent
computer desk,9900,1,9900,staples,absent
bookcases bookshelves,9900,1,9900,staples,absent
ergonomic office seating,9900,1,9900,staples,absent
desk organizer,4400,2,8800,"grandandtoy,staples",absent
cabinet and storage,8100,1,8100,sourceofficefurniture,absent
hutch,8100,1,8100,sourceofficefurniture,absent
stand,8100,1,8100,sourceofficefurniture,absent
office depot,8100,1,8100,grandandtoy,absent
ergonomic mouse,8100,1,8100,staples,absent
reception desk,2400,3,7200,"atwork,sourceofficefurniture,theofficeshop",absent
office equipment stores near me,2400,3,7200,"grandandtoy,staples,theofficeshop",absent
office chair near me,2400,3,7200,"sourceofficefurniture,staples,theofficeshop",absent
