Tier,Revenue,Status,Handle,Title,VariantCount,OptionNames,RepSKU,AllSKUs,ProbableManufacturer,ManufacturerWebsite,URL1,URL2,RawPaste,Notes
A,16900.86,active,l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),8,Size Option (WxD) (Desk + Return),HDLINV3060DS-INV2430RS-INVFPUF,HDLINV3060DS-INV2430RS-INVFPUF; HDLINV3060DS-INV2436RS-INVFPUF; HDLINV3060DS-INV2442RS-INVFPUF; HDLINV3066DS-INV2436RS-INVFPUF; HDLINV3066DS-INV2442RS-INVFPUF; HDLINV3066DS-INV2448RS-INVFPUF; HDLINV3072DS-INV2442RS-INVFPUF; HDLINV3072DS-INV2448RS-INVFPUF,Heartwood (Innovation line),https://www.heartwooddl.com/products/innovation,,,,
A,14479.91,active,l-shape-desk-hutch,L-Shape Desk & Hutch,3,Size,HDL-INV-LAYOUT 10A,HDL-INV-LAYOUT 10A; HDL-INV-LAYOUT 5A & INV-66HDRS; HDL-INV-LAYOUT 6A,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
A,10299.87,active,height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,18,Top Size; Leg Colour,CLIE1-INV2442TOP,CLIE1-INV2442TOP; CLIE12LEG- INV2448TOP (Reduced); CLIE12LEG-INV3060TOP (Reduced); CLIE12LEG-INV3072TOP,Heartwood Client series,https://www.heartwooddl.com/,,,,
A,9795.95,active,medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,4,Size,MTY- E48RSLDMW,MTY- E48RSLDMW; MTY- E72MED#; MTY- E96MED#; MTY- E120CRESMED#,Mity-Lite,https://www.mitylite.com/,,,,
A,9289.79,active,training-flip-top-tables-1,Training Flip Top Tables,3,Size Options,GLB-NL4824FT,GLB-NL4824FT; GLB-NL6024FT; GLBNL7224FT,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
A,9119.98,active,u-shape-height-adjust-desk,U-Shape Height Adjust Desk,1,,INNO-LAYOUT 67,INNO-LAYOUT 67,,,,,,
A,8879.93,active,premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",24,Drawers; Width; Fixed or Recessed Fronts,GLB9330-2F1H,GLB9330-2F1H; GLB9330-2R1H; GLB9336-2F1H; GLB9336-2R1H; GLB9342-2F1H; GLB9342-2R1H; GLB9330-3F1H; GLB9330-3R1H; GLB9336-3F1H; GLB9336-3R1H; ...+14 more,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
A,8527.87,active,obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort High back Chair 1240-3,1,,GLB-1240-3,GLB-1240-3,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
A,5399.88,active,roma-1900-nesting-chair,Roma 1900 Nesting Chair,1,,GLO-1900,GLO-1900,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
A,5299.87,active,overtime-high-back-multi-tilter-chair-mvl2756,Overtime | High Back Multi-Tilter Chair MVL2756,1,,GLB-MVL2756,GLB-MVL2756,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
A,5198.0,active,l-shape-height-adjustable-desk-set,L-Shape Height Adjustable Desk Set,1,,HT-ADJ-Layout 5,HT-ADJ-Layout 5,,,,,,
A,5099.87,active,loop-leg-table,LOOP Leg Table,6,Table Size,HDL-INV-2436TBL-LOOP,HDL-INV-2436TBL-LOOP; HDL-INV-2442TBL-LOOP; HDL-INV-2448TBL-LOOP; HDL-INV-3060TBL-LOOP; HDL-INV-3066TBL-LOOP; HDL-INV-3072TBL-LOOP,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
A,4899.96,active,premium-height-adjustable-table-1,Premium Height Adjustable Table,4,Top Size,HDL-CALE1-INV-2442TOP,HDL-CALE1-INV-2442TOP; HTWCAL2448TBL2L (Reduced); HTWCAL3060TBL2L (Reduced); HTWCAL3072TBL2L (Reduced),Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
A,4869.89,active,ibex-upholstered-seat-mesh-back-multi-tilter-1,Ibex | Upholstered Seat & Mesh Back Multi-Tilter MVL2803,1,,MVL2803,MVL2803,Global (MVL line),https://www.globalfurnituregroup.com/,,,,
A,3899.87,active,mvl11886-caman-high-back-tilter-bonded-leather,MVL11886 Caman | High Back Tilter Bonded Leather,1,,GLOMVL11886,GLOMVL11886,Global (MVL line),https://www.globalfurnituregroup.com/,,,,
A,3839.88,active,ashmont-medium-back-guest-chair-mvl2782,Ashmont | Medium Back Guest Chair MVL2782,1,,GLB MVL2782,GLB MVL2782,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
A,3799.98,active,executive-u-shape-desk-set,Executive U-Shape Desk Set,1,,INNOVATIONS PKG,INNOVATIONS PKG,,,,,,
A,3779.86,active,sidero-guest-chair-28-colour-options,Sidero Guest Chair 28 Colour Options,1,,GLO-6900,GLO-6900,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
A,3499.9,active,square-table-x-base-3-sizes,Square Table - X-Base 3 Sizes,3,Height,GLBNL36SX22,GLBNL36SX22; GLBNL36SX; GLBNL36SX42,Offices to Go (via Global),https://www.officestogo.com/,,,,
A,3479.96,active,ergo-boss-high-back-multi-tilter-chair-1,Ergo Boss™ High Back Multi-Tilter Chair,1,,GLB=BAO2872-3,GLB=BAO2872-3,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
A,3399.98,active,height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,4,Top Sizes (Base included),HDL-CAL-E1-3LEG-3060+2448 Top,HDL-CAL-E1-3LEG-3060+2448 Top; HDL-CAL-E1-3LEG-3066+2436 Top; HDL-CAL-E1-3LEG-3072+2442 Top; HDL-CAL-E1-3LEG-3066+2442 Top,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
A,3119.94,active,ibex-mesh-seat-back-multi-tilter-1,Ibex | Mesh Seat & Back Multi-Tilter,1,,MVL2823,MVL2823,Global (MVL line),https://www.globalfurnituregroup.com/,,,,
B,3079.96,active,pneumatic-height-adjustable-table,Pneumatic Height Adjustable Table,3,Size Options,OSP-HAT60241,OSP-HAT60241; OSP-HAT60251; OSP-HAT60261,Office Star Products,https://www.officestar.net/,,,,
B,2900.0,active,outdoor-steel-bench,Outdoor Steel Bench,1,,SCN-NJ200,SCN-NJ200,unknown,,,,,
B,2716.0,active,vion-mesh-high-back-chair-1,VION Mesh High Back Chair,1,,GLB-6321-3,GLB-6321-3,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
B,2399.98,active,innovation-l-shape-curved-corner,Innovation L-Shape Curved Corner,4,Size Options,HDL-INV3660CM-HPF-2430RSBR,HDL-INV3660CM-HPF-2430RSBR; HDL-INV3666CM-FPUF-2430RSBR; HDL-INV3672CM-FPUF-2436RSBR; HDL-INV-2448RSBR-3672CM-FPUF,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
B,2399.98,active,credenza-scmsu,Credenza SCMSU,1,,HDL-INV2236CX+2236UFLX+2272TOP,HDL-INV2236CX+2236UFLX+2272TOP,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
B,2399.98,active,wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,16,"Width, Height & Depth Options",IOF-UN3066SC/FD/21,IOF-UN3066SC/FD/21; IOF-UN3072SC/FD/21; IOF-UN3078SC/FD/21; IOF-UN3084SC/FD/21; IOF-UN3666SC/FD/21; IOF-UN3672SC/FD/21; IOF-UN3678SC/FD/21; IOF-UN3684SC/FD/21; IOF-UN3066SC/FD/24; IOF-UN3072SC/FD/24; ...+6 more,IOF Laminated Products,https://iof-products.com/,,,,
B,2399.94,active,format-high-mesh-back-synchro-tilter,Format | High Mesh Back Synchro-Tilter,1,,GLB-MVL3191,GLB-MVL3191,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
B,2369.96,active,chevron-ultra-high-back-multi-tilter-chair-high-back-bao11203-1,Chevron Ultra High Back Multi-Tilter Chair - High Back BAO11203,1,,GLB-BAO1120-3G5,GLB-BAO1120-3G5,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
B,2322.0,active,chair-black-steel-frame-2,Chair Black Steel Frame,1,,GLBMVL2748JN02,GLBMVL2748JN02,Global (MVL line),https://www.globalfurnituregroup.com/,,,,
