slot_id,source,new_src,width,height,new_uri
seating-hero,upgrade,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/8E4LI2VFy_gh2Z0o1Iigv_aa54c50065904a55832143043e6af4de.jpg?v=1777596912,1024,1024,shopify://shop_images/bbi-coll-img-seating-hero-v4.jpg
seating-tile-office-chairs,upgrade,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-black-mvl2786-yoho-armless-low-back-task-chair-43286138061113.png?v=1759098282,624,624,shopify://shop_images/bbi-coll-img-seating-tile-office-chairs-v4.jpg
seating-tile-guest-seating,keep,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Sidero-Guest-Chair-28-Colour-Options-Business-Interiors-16732543.jpg?v=1750121450,794,794,shopify://shop_images/bbi-coll-img-seating-tile-guest-seating-v4.jpg
seating-tile-training,keep,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2025-11-18180027.png?v=1767457390,422,422,shopify://shop_images/bbi-coll-img-seating-tile-training-v4.jpg
seating-tile-stools,upgrade,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/fZmAbUMGrZhb4i06lu_wv_544cbb921a03445caaaa3b6efa4d88d5.jpg?v=1777759831,1024,1024,shopify://shop_images/bbi-coll-img-seating-tile-stools-v4.jpg
seating-tile-lounge,upgrade,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot_2025-10-07_105910.png?v=1767457392,1084,1084,shopify://shop_images/bbi-coll-img-seating-tile-lounge-v4.jpg
seating-tile-outdoor,upgrade,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/jcT0oZzZeoGJ0Or3WTwTd_5dbcb5a2cb934a02a63540081f693b3f.jpg?v=1777925302,1024,1024,shopify://shop_images/bbi-coll-img-seating-tile-outdoor-v4.jpg
desks-hero,upgrade,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ys0LrKaBlyet_QC54T4QI_9f7995e23bef4a6fa12b1e15b841833a.jpg?v=1777641886,1024,1024,shopify://shop_images/bbi-coll-img-desks-hero-v4.jpg
desks-tile-height-adjustable,upgrade,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ys0LrKaBlyet_QC54T4QI_9f7995e23bef4a6fa12b1e15b841833a.jpg?v=1777641886,1024,1024,shopify://shop_images/bbi-coll-img-desks-tile-height-adjustable-v4.jpg
desks-tile-l-shape,upgrade,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/NIL9qH3ifo8Par-X_cJrZ_fd6e2d4d9abe4d20b63981b9e76a956f.jpg?v=1777759896,1024,1024,shopify://shop_images/bbi-coll-img-desks-tile-l-shape-v4.jpg
